time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
543,12,340,-13.90746333,6565,20.92,0.00073,-28.68789291381836,0.13150717318058014,3564,26.17764663696289,-107.80528259277344
565,11,350,-13.667135,6729,20.28,0.00073,-25.994495391845703,0.12480583786964417,3728,30.87396240234375,-121.95528411865234
590,11,360,-13.790978890000002,6914,20.2,0.00073,-18.104198455810547,0.11865348368883133,3913,33.376407623291016,-125.5749282836914
616,11,370,-13.7824223,7112,20.11,0.00073,-17.415647506713867,0.11242130398750305,4111,28.18999481201172,-111.5931625366211
645,11,380,-13.473542880000002,7328,20.19,0.00073,-19.66425132751465,0.10664094984531403,4327,42.38227844238281,-124.64751434326172
671,11,390,-13.3280329,7530,20.16,0.00073,-8.947854042053223,0.10182538628578186,4529,29.513107299804688,-111.97745513916016
698,11,400,-12.611105089999997,7729,19.94,0.00073,-24.458900451660156,0.09798231720924377,4728,25.067819595336914,-111.63668823242188
727,10,410,-12.289406640000003,7941,19.9,0.00073,-9.224409103393555,0.09407125413417816,4940,44.843902587890625,-107.58150482177734
755,10,420,-12.4807819,8156,20.27,0.00073,-10.603734016418457,0.09150536358356476,5155,28.65793228149414,-107.77507781982422
785,10,430,-12.16552316,8382,20.03,0.00073,-0.41435742378234863,0.08833791315555573,5381,24.5074462890625,-119.22323608398438
814,10,440,-12.33159663,8595,20.3,0.00073,-3.9235191345214844,0.08701751381158829,5594,26.479286193847656,-105.7216567993164
840,10,450,-12.328098409999997,8789,20.6,0.00073,-4.865276336669922,0.08667894452810287,5788,35.58696746826172,-104.05109405517578
865,10,460,-12.4441295,8974,20.6,0.00073,2.2614097595214844,0.08574121445417404,5973,31.68521499633789,-105.34705352783203
902,10,470,-13.063838760000001,9251,21.39,0.00073,-7.326826572418213,0.08503307402133942,6250,22.099573135375977,-98.77447509765625
925,10,480,-12.93442961,9421,20.93,0.00073,1.7660675048828125,0.08355559408664703,6420,26.30720329284668,-103.72748565673828
951,10,490,-13.02366641,9623,20.93,0.00073,-5.423842906951904,0.0818188413977623,6622,46.147308349609375,-95.94161987304688
984,10,500,-13.119594750000001,9866,21.37,0.00073,-7.710293769836426,0.07887565344572067,6865,20.908597946166992,-89.97201538085938
1022,9,510,-13.57256136,10149,22.08,0.00073,-1.9022845029830933,0.07776010781526566,7148,29.398983001708984,-95.00994873046875
1047,9,520,-13.27393399,10341,21.85,0.00073,-7.841734886169434,0.0770350769162178,7340,38.010093688964844,-91.60360717773438
1078,9,530,-13.566039099999998,10567,21.85,0.00073,-9.542337417602539,0.07358032464981079,7566,30.33941650390625,-84.51647186279297
1112,9,540,-13.86173252,10822,22.27,0.00073,-2.133096933364868,0.07082176208496094,7821,23.07245635986328,-83.70930480957031
1146,9,550,-14.035786640000001,11071,22.82,0.00073,2.974757671356201,0.06829193979501724,8070,25.75646209716797,-83.70481872558594
1182,9,560,-14.105245750000003,11346,23.72,0.00073,-7.573480606079102,0.0668821632862091,8345,16.86379051208496,-77.0694808959961
1210,9,570,-13.86817074,11555,23.04,0.00073,0.7379990816116333,0.06459550559520721,8554,20.55677032470703,-82.2922134399414
1245,9,580,-14.53881419,11815,23.94,0.00073,-4.103480815887451,0.06386218965053558,8814,22.192686080932617,-78.82276916503906
1273,9,590,-14.481587410000001,12028,24.05,0.00073,-8.626837730407715,0.06210523843765259,9027,21.22308921813965,-70.59852600097656
1297,9,600,-14.224151959999997,12208,23.42,0.00073,-4.9232635498046875,0.060477402061223984,9207,21.182662963867188,-73.06846618652344
1320,9,610,-13.253036409999998,12378,22.29,0.00073,-10.226198196411133,0.06021442636847496,9377,18.902355194091797,-63.647483825683594
1354,9,620,-13.541593030000001,12632,22.91,0.00073,-1.8866641521453857,0.06077846884727478,9631,19.18320083618164,-65.5486831665039
1394,9,630,-13.63229882,12927,23.6,0.00073,4.397505760192871,0.06078662723302841,9926,22.764034271240234,-74.01370239257812
1419,9,640,-13.03638279,13119,22.97,0.00073,2.7556815147399902,0.05992044135928154,10118,19.923717498779297,-75.62980651855469
1448,9,650,-12.9658162,13332,22.61,0.00073,-0.969061017036438,0.05983922258019447,10331,20.21831512451172,-71.16373443603516
1475,9,660,-12.695715420000004,13528,21.82,0.00073,4.490584850311279,0.06125207617878914,10527,23.250856399536133,-73.06730651855469
1502,9,670,-12.42745165,13730,21.75,0.00073,-18.317861557006836,0.06392662972211838,10729,26.935871124267578,-63.031707763671875
1534,9,680,-12.262043509999998,13961,21.46,0.00073,-8.075725555419922,0.058834780007600784,10960,23.870220184326172,-68.31048583984375
1567,9,690,-12.753054710000004,14206,21.78,0.00073,-12.584766387939453,0.05715786665678024,11205,14.88244342803955,-61.024391174316406
1609,9,700,-13.319384249999995,14518,23.1,0.00073,-0.8630671501159668,0.05704857036471367,11517,22.06468963623047,-65.94440460205078
1646,8,710,-13.899785360000003,14785,24.07,0.00073,-12.267067909240723,0.05526960641145706,11784,19.23236656188965,-61.59941101074219
1676,8,720,-13.62635108,14999,23.67,0.00073,-4.55002498626709,0.053811173886060715,11998,17.032840728759766,-59.88147735595703
1704,8,730,-14.0791995,15208,22.81,0.00073,5.231322765350342,0.05215930938720703,12207,21.41580581665039,-60.852210998535156
1738,8,740,-14.503103299999998,15465,23.46,0.00073,-0.48297643661499023,0.05113440006971359,12464,16.67174530029297,-58.143959045410156
1765,8,750,-14.548673599999999,15660,23.28,0.00073,2.423434257507324,0.05236455425620079,12659,21.765207290649414,-55.32701873779297
1801,8,760,-15.307515790000002,15931,24.03,0.00073,10.640962600708008,0.05445811524987221,12930,20.18279266357422,-59.01815414428711
1833,8,770,-15.603610890000002,16169,24.39,0.00073,2.1383585929870605,0.0565309077501297,13168,20.512405395507812,-66.31895446777344
1863,8,780,-15.52758222,16391,24.3,0.00073,-15.820341110229492,0.05662348493933678,13390,20.510560989379883,-61.286354064941406
1896,8,790,-15.30320094,16636,24.3,0.00073,-6.937102317810059,0.055797744542360306,13635,18.322040557861328,-64.33317565917969
1935,8,800,-15.37939055,16927,24.09,0.00073,-8.002339363098145,0.05588729307055473,13926,17.611122131347656,-58.37223815917969
1966,8,810,-15.504501350000004,17162,23.77,0.00073,-1.2208428382873535,0.054545775055885315,14161,20.45668601989746,-64.1888656616211
1993,8,820,-15.928670520000002,17361,23.62,0.00073,25.986204147338867,0.05542806535959244,14360,28.603870391845703,-68.31295776367188
2020,8,830,-15.24879131,17559,23.51,0.00073,2.4752047061920166,0.05471500754356384,14558,21.988136291503906,-62.109214782714844
2057,8,840,-15.0836846,17836,23.71,0.00073,6.646173000335693,0.05499458312988281,14835,20.26405906677246,-64.15101623535156
2091,8,850,-15.221628139999996,18085,24.25,0.00073,-2.4461278915405273,0.05537167936563492,15084,15.692803382873535,-56.454429626464844
