rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/n_updates
-17.01718111,40.43,16126,1839,490,8,0.00073,0.15457755327224731,5.424378395080566,0.006183043587952852,-14.321639060974121,13125
-15.318894680000003,40.74,16626,1907,500,8,0.00073,0.10871736705303192,-14.844303131103516,0.005182348657399416,-10.995238304138184,13625
-15.32989792,40.74,17126,1975,510,8,0.00073,0.12235807627439499,-4.069389343261719,0.004309484269469976,-6.4334797859191895,14125
-14.903144269999999,41.66,17499,2024,520,8,0.00073,0.11584952473640442,2.9002742767333984,0.003831417765468359,-4.055830478668213,14498
-14.902993839999999,43.89,17843,2071,530,8,0.00073,0.15390607714653015,1.9886178970336914,0.0034500951878726482,-2.207517147064209,14842
-14.03003,45.94,18220,2122,540,8,0.00073,0.08835167437791824,4.277207374572754,0.0033244614023715258,-0.039879150688648224,15219
-11.045458579999996,45.94,18720,2189,550,8,0.00073,0.1064026802778244,9.446911811828613,0.0030020202975720167,0.35459691286087036,15719
-8.58165199,45.94,19220,2256,560,8,0.00073,0.09228838980197906,-11.967087745666504,0.003077397821471095,1.2842422723770142,16219
-9.185687640000001,45.6,19686,2319,570,8,0.00073,0.15209214389324188,-6.118677616119385,0.0028274215292185545,1.577427625656128,16685
-9.246944029999998,45.08,20134,2380,580,8,0.00073,0.22965219616889954,-8.309855461120605,0.0026061341632157564,1.5647916793823242,17133
-8.508674129999998,45.08,20634,2447,590,8,0.00073,0.059670403599739075,3.0601003170013428,0.0026138455141335726,1.9985544681549072,17633
-6.9383304699999995,44.45,21071,2506,600,8,0.00073,0.06082003563642502,4.944467544555664,0.002531391102820635,2.520838737487793,18070
-6.340399119999998,42.64,21390,2549,610,8,0.00073,0.5767093896865845,-10.090567588806152,0.00259490218013525,2.172680139541626,18389
-5.23954306,43.18,21817,2606,620,8,0.00073,0.14043284952640533,2.3565673828125,0.002719225361943245,2.7958598136901855,18816
-4.568615639999999,44.56,22299,2671,630,8,0.00073,0.054644614458084106,5.475521087646484,0.002762817544862628,2.5078020095825195,19298
-3.7251962099999987,45.72,22792,2739,640,8,0.00073,0.1271212100982666,-9.880009651184082,0.002921218750998378,2.695718288421631,19791
-3.9999187699999994,43.8,23100,2780,650,8,0.00073,0.05265822634100914,2.3801448345184326,0.0028883337508887053,1.6629084348678589,20099
-4.2713055099999995,40.1,23230,2798,660,8,0.00073,0.04835042357444763,-12.835383415222168,0.002884828019887209,2.6788620948791504,20229
-3.12098561,39.79,23665,2858,670,8,0.00073,0.16357272863388062,5.601306915283203,0.002843395806849003,1.6826119422912598,20664
-1.70731551,39.86,24120,2919,680,8,0.00073,0.11824452131986618,-3.369901180267334,0.0029828399419784546,1.7471933364868164,21119
-1.1887396700000001,39.51,24585,2982,690,8,0.00073,0.06718987226486206,-5.638225078582764,0.0030923562590032816,1.7887389659881592,21584
-0.9753663000000001,39.96,25067,3047,700,8,0.00073,0.055968277156353,-12.114154815673828,0.0032136684749275446,1.8834776878356934,22066
-0.17999025999999982,40.4,25430,3096,710,8,0.00073,0.07654577493667603,-4.826480388641357,0.0033211340196430683,0.9726354479789734,22429
-1.3744367799999997,40.38,25855,3154,720,8,0.00073,0.4041094481945038,20.665700912475586,0.003943799529224634,0.12281845510005951,22854
2.31540668,39.28,26227,3204,730,8,0.00073,0.6460206508636475,32.056339263916016,0.004833224229514599,-1.2142046689987183,23226
0.4582846199999996,38.71,26663,3263,740,8,0.00073,2.7275161743164062,25.548954010009766,0.009677590802311897,-8.69020938873291,23662
0.45420400999999927,39.32,27032,3313,750,8,0.00073,6.089231014251709,76.36843872070312,0.015421189367771149,-22.157203674316406,24031
2.2677717700000004,42.09,27439,3368,760,8,0.00073,9.265501022338867,62.27925109863281,0.024927940219640732,-50.152870178222656,24438
1.00163979,42.74,27939,3437,770,8,0.00073,24.475513458251953,26.64760971069336,0.03543570265173912,-86.72615814208984,24938
-0.7252853500000004,42.61,28381,3498,780,8,0.00073,19.48410987854004,25.273874282836914,0.04265039041638374,-114.66796875,25380
-0.3187507200000004,42.36,28821,3558,790,8,0.00073,25.476116180419922,22.703937530517578,0.050432730466127396,-137.71139526367188,25820
-2.2972496600000003,42.54,29321,3626,800,8,0.00073,60.655921936035156,3.794173002243042,0.0579582154750824,-165.09310913085938,26320
-3.97093732,43.16,29746,3683,810,8,0.00073,48.21636962890625,10.24732780456543,0.07064010947942734,-211.16993713378906,26745
-3.2659258700000002,40.71,29926,3707,820,8,0.00073,62.179969787597656,10.915352821350098,0.07560093700885773,-221.08087158203125,26925
-7.56577465,38.43,30070,3727,830,8,0.00073,40.7284049987793,-1.3358018398284912,0.0774964764714241,-233.60028076171875,27069
-8.00249599,37.17,30380,3769,840,8,0.00073,152.86105346679688,15.797422409057617,0.08128217607736588,-255.3035888671875,27379
-10.491878740000002,37.61,30793,3825,850,8,0.00073,303.8052062988281,1.8091087341308594,0.08680785447359085,-289.3447265625,27792
-13.3402082,35.88,31027,3857,860,8,0.00073,103.23722839355469,-6.585874557495117,0.08994804322719574,-290.3680419921875,28026
-14.042645980000001,33.55,31294,3892,870,8,0.00073,81.66593933105469,2.7632174491882324,0.09299721568822861,-307.65972900390625,28293
-14.371463550000001,34.13,31794,3959,880,8,0.00073,120.36090087890625,1.590194821357727,0.11765816807746887,-339.4551086425781,28793
-15.210274500000002,34.49,32270,4022,890,8,0.00073,107.65077209472656,-1.7328898906707764,0.1299118995666504,-397.91497802734375,29269
-13.69786276,33.43,32664,4075,900,8,0.00073,609.0686645507812,2.721845865249634,0.1384553462266922,-433.4797058105469,29663
-14.16891439,34.18,33164,4142,910,8,0.00073,175.28140258789062,5.934210300445557,0.1512274146080017,-483.904541015625,30163
-15.24753513,37.38,33664,4210,920,7,0.00073,872.2103271484375,0.712279200553894,0.16086140275001526,-548.9864501953125,30663
-16.58274921,40.94,34164,4277,930,7,0.00073,482.51214599609375,-1.8260877132415771,0.1825057417154312,-598.0120239257812,31163
-15.82152697,42.84,34664,4345,940,7,0.00073,244.17498779296875,1.5912091732025146,0.19524267315864563,-670.1885375976562,31663
-15.978866250000001,43.71,35164,4412,950,7,0.00073,723.2431640625,-1.9448463916778564,0.20641522109508514,-740.0941162109375,32163
-16.50219235,46.37,35664,4481,960,7,0.00073,581.9752197265625,3.7950000762939453,0.21846535801887512,-813.4118041992188,32663
-15.450721840000002,48.7,36164,4550,970,7,0.00073,332.3668212890625,1.2606630325317383,0.24526315927505493,-865.2321166992188,33163
-12.840213580000002,48.07,36601,4608,980,7,0.00073,884.2095947265625,-1.2754493951797485,0.25933507084846497,-937.750732421875,33600
-12.947334719999999,48.24,37094,4674,990,7,0.00073,900.4053955078125,2.175715923309326,0.28051048517227173,-967.7230224609375,34093
-13.155488680000001,47.51,37415,4718,1000,7,0.00073,472.2445068359375,0.5498853921890259,0.2975323796272278,-1028.386474609375,34414
-11.98877712,47.51,37915,4785,1010,7,0.00073,694.2835693359375,-2.5542361736297607,0.30382877588272095,-1080.5927734375,34914
-11.085930549999999,47.51,38415,4852,1020,7,0.00073,664.5855712890625,-1.8712329864501953,0.3102743625640869,-1163.819580078125,35414
-10.54105173,46.24,38788,4903,1030,7,0.00073,923.817138671875,1.7809535264968872,0.32546669244766235,-1224.7265625,35787
-10.96156224,43.09,38973,4928,1040,7,0.00073,946.029052734375,2.9885196685791016,0.34439894556999207,-1249.3714599609375,35972
-9.152991120000001,39.57,39121,4948,1050,7,0.00073,4477.119140625,2.9282493591308594,0.3495860993862152,-1276.0628662109375,36120
-8.577819260000002,38.57,39521,5001,1060,7,0.00073,1371.335205078125,1.4986721277236938,0.3632855713367462,-1327.168701171875,36520
-8.897700159999998,38.57,40021,5069,1070,7,0.00073,1266.673583984375,0.47874003648757935,0.3860037624835968,-1388.65087890625,37020
-11.93327339,39.2,40521,5137,1080,7,0.00073,4404.37939453125,-2.4672458171844482,0.3957464098930359,-1411.9056396484375,37520
-13.15555199,38.99,40993,5201,1090,7,0.00073,993.7053833007812,1.015572428703308,0.4246290624141693,-1482.17041015625,37992
-13.7383339,40.78,41493,5270,1100,7,0.00073,1081.9273681640625,-0.4960162937641144,0.48431459069252014,-1571.770751953125,38492
