time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
360,-13.36000022,21.11,6816,11,580,0.00073,-53.80372619628906,0.09094808250665665,3815,-63.41382598876953,7.052639484405518
370,-13.252567430000001,21.04,7022,11,608,0.00073,-51.107723236083984,0.08136170357465744,4021,-50.27748107910156,10.618673324584961
380,-13.284164049999998,21.0,7222,11,636,0.00073,-49.737525939941406,0.07380370050668716,4221,-48.63193130493164,7.89500617980957
390,-13.498137999999999,21.1,7445,11,666,0.00073,-49.122501373291016,0.06607183814048767,4444,-44.45566940307617,5.7578887939453125
400,-13.223968929999998,21.49,7672,11,696,0.00073,-47.67584991455078,0.05981319397687912,4671,-42.25912857055664,5.620034217834473
410,-13.03827045,21.35,7891,10,726,0.00073,-42.7973747253418,0.054692693054676056,4890,-51.88606262207031,4.654825687408447
420,-13.085668550000001,21.08,8079,10,751,0.00073,-48.06553649902344,0.05073801800608635,5078,-33.37940216064453,6.067586898803711
430,-13.20674706,21.09,8282,10,778,0.00073,-41.92555236816406,0.04672630876302719,5281,-53.224761962890625,5.379116058349609
440,-13.199476070000003,20.97,8485,10,806,0.00073,-41.262176513671875,0.04280025139451027,5484,-50.21635818481445,4.0516767501831055
450,-12.97658676,20.7,8689,10,833,0.00073,-33.21436309814453,0.03910112380981445,5688,-43.87254333496094,4.441778182983398
460,-13.167470919999998,20.88,8904,10,865,0.00073,-32.25881576538086,0.036152713000774384,5903,-39.81325912475586,4.2837066650390625
470,-13.53959018,21.27,9149,10,900,0.00073,-30.678979873657227,0.033137332648038864,6148,-38.93608856201172,2.7074413299560547
480,-13.669429369999998,21.54,9376,9,939,0.00073,-26.435991287231445,0.03048260323703289,6375,-29.601383209228516,3.5437846183776855
490,-13.88864866,21.76,9621,9,972,0.00073,-30.1140193939209,0.028228333219885826,6620,-17.825414657592773,2.96966814994812
500,-13.83809706,21.73,9845,9,1003,0.00073,-22.877389907836914,0.0264419075101614,6844,-25.62444496154785,3.1580400466918945
510,-13.970094710000001,21.9,10081,9,1035,0.00073,-23.006027221679688,0.02455076202750206,7080,-14.799112319946289,2.6075868606567383
520,-13.74816628,22.07,10286,9,1064,0.00073,-22.081933975219727,0.02287515252828598,7285,-24.182552337646484,2.634410858154297
530,-13.44759085,21.87,10469,9,1089,0.00073,-18.621278762817383,0.021315302699804306,7468,-17.507423400878906,2.0409698486328125
540,-13.30750516,21.74,10659,9,1115,0.00073,-20.29551887512207,0.019918564707040787,7658,-2.929746389389038,1.9943937063217163
550,-13.31223559,22.04,10893,9,1147,0.00073,-16.66937828063965,0.019177749752998352,7892,-9.753059387207031,2.30387282371521
560,-13.282606399999999,22.55,11159,9,1185,0.00073,-15.686153411865234,0.018238743767142296,8158,-4.956851482391357,1.772308588027954
570,-12.867291639999998,22.55,11404,9,1220,0.00073,-16.32387924194336,0.01832985319197178,8403,-8.533100128173828,1.5316171646118164
580,-13.12130437,23.56,11732,9,1266,0.00073,-17.80327606201172,0.018768243491649628,8731,1.108107089996338,1.3269217014312744
590,-12.74308789,23.48,11969,9,1299,0.00073,-18.250852584838867,0.018584974110126495,8968,9.711437225341797,1.2063615322113037
600,-12.996759059999999,23.74,12219,9,1335,0.00073,-15.976526260375977,0.017632978036999702,9218,-9.977657318115234,1.5554029941558838
610,-13.22628518,24.39,12520,9,1376,0.00073,-13.944795608520508,0.016199342906475067,9519,-13.413409233093262,1.2716187238693237
620,-13.35583153,24.97,12783,9,1414,0.00073,-11.615403175354004,0.01521323062479496,9782,-17.584335327148438,1.024942398071289
630,-13.607414809999998,25.15,12984,9,1442,0.00073,-11.073862075805664,0.014019128866493702,9983,-8.367694854736328,1.0170555114746094
640,-13.755954220000001,25.28,13187,8,1471,0.00073,-9.563979148864746,0.012260887771844864,10186,-18.267330169677734,0.7678729295730591
650,-13.80167878,25.56,13449,8,1508,0.00073,-7.671656608581543,0.010718421079218388,10448,-3.4635472297668457,1.0228863954544067
660,-13.3629376,24.8,13639,8,1535,0.00073,-5.290513038635254,0.010128225199878216,10638,-14.403522491455078,0.6174571514129639
670,-13.15314418,24.58,13862,8,1567,0.00073,-5.629864692687988,0.00958533026278019,10861,2.481656312942505,0.6961926221847534
680,-12.864571590000002,23.55,14087,8,1599,0.00073,-4.922129154205322,0.00963087473064661,11086,0.7209188938140869,0.6016735434532166
690,-12.600256470000001,23.27,14296,8,1629,0.00073,-4.290013313293457,0.009457102045416832,11295,-19.357532501220703,0.7362171411514282
700,-12.495922929999997,23.87,14606,8,1672,0.00073,-4.367110252380371,0.009232413955032825,11605,-3.7306711673736572,0.5313217043876648
710,-12.075220380000001,22.84,14804,8,1700,0.00073,-3.7419114112854004,0.008954854682087898,11803,8.029813766479492,0.45993709564208984
720,-11.92187964,21.94,14977,8,1725,0.00073,-3.724411964416504,0.008491123095154762,11976,-4.791481018066406,0.4222050905227661
730,-12.031405120000002,21.92,15176,8,1753,0.00073,-3.740337610244751,0.0077691650949418545,12175,0.5358996391296387,0.45697474479675293
740,-12.41999751,21.65,15352,8,1778,0.00073,-2.381415367126465,0.007477738428860903,12351,-4.444540023803711,0.4694637954235077
750,-12.281385149999998,20.86,15535,8,1805,0.00073,-2.495817184448242,0.007665916346013546,12534,4.238311290740967,0.3918627202510834
760,-12.578952489999999,21.42,15781,8,1840,0.00073,-2.430453300476074,0.007692431099712849,12780,-4.10436487197876,0.4659658670425415
770,-12.86698226,22.03,16065,8,1880,0.00073,-2.1821129322052,0.0073610590770840645,13064,-9.420032501220703,0.3333236575126648
780,-12.758876879999997,22.43,16330,8,1918,0.00073,-2.3168420791625977,0.008084530010819435,13329,4.526517868041992,0.4022928476333618
790,-13.229089609999999,22.83,16579,8,1953,0.00073,-2.512760639190674,0.0077361492440104485,13578,-21.50070571899414,0.4440716803073883
800,-13.455223500000002,22.48,16854,8,1991,0.00073,-2.0579471588134766,0.00714371632784605,13853,-0.6883029937744141,0.42325541377067566
810,-13.544846459999999,22.75,17079,8,2023,0.00073,-1.7902264595031738,0.006500325631350279,14078,-17.498516082763672,0.3855550289154053
820,-13.71436299,23.53,17330,8,2058,0.00073,-1.1346609592437744,0.006462287623435259,14329,-1.695082187652588,0.2718139588832855
830,-13.61399817,23.67,17543,8,2088,0.00073,-0.8829742670059204,0.006438251119107008,14542,-7.5423264503479,0.3280225992202759
840,-13.152926649999998,24.12,17764,8,2120,0.00073,-1.0377907752990723,0.006293656770139933,14763,-6.667829513549805,0.30914849042892456
850,-13.060469889999997,24.14,17949,8,2146,0.00073,-0.39423227310180664,0.0058704582042992115,14948,14.191601753234863,0.27311617136001587
860,-12.966568089999999,23.67,18148,8,2174,0.00073,0.057851649820804596,0.005776973441243172,15147,-5.273957252502441,0.2689952254295349
870,-12.882606369999998,23.74,18439,8,2215,0.00073,-0.48303911089897156,0.006151043344289064,15438,-3.57696795463562,0.27997004985809326
880,-12.87823531,23.73,18703,8,2252,0.00073,-0.04813724011182785,0.005859391763806343,15702,4.988005638122559,0.2399195432662964
890,-12.893055850000003,23.64,18943,8,2286,0.00073,-0.11183106899261475,0.005527867004275322,15942,-0.08770751953125,0.23684421181678772
900,-12.31010082,22.6,19114,8,2310,0.00073,-0.1954619139432907,0.005527361296117306,16113,-3.256558895111084,0.23448090255260468
910,-12.157383509999999,22.26,19305,8,2337,0.00073,0.31825050711631775,0.005187503527849913,16304,-4.486015796661377,0.2817283272743225
920,-12.0901305,21.86,19516,8,2366,0.00073,0.25858795642852783,0.005167417228221893,16515,-15.1859712600708,0.2517399191856384
930,-12.009743360000002,21.93,19736,8,2397,0.00073,0.833078145980835,0.004985634237527847,16735,-15.743621826171875,0.22769325971603394
940,-12.041391970000001,22.07,19971,8,2430,0.00073,0.7089397311210632,0.004776423331350088,16970,-4.278921127319336,0.23539507389068604
950,-12.450003539999997,23.1,20259,8,2469,0.00073,0.8247716426849365,0.004868140909820795,17258,-6.741403102874756,0.19011357426643372
960,-12.644144939999999,24.24,20572,8,2513,0.00073,1.0996897220611572,0.004642670042812824,17571,-0.4396653175354004,0.19026097655296326
970,-12.394656050000002,23.45,20784,8,2542,0.00073,1.2918620109558105,0.004496106877923012,17783,-4.894465446472168,0.13228370249271393
