time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/ent_coef,train/critic_loss,train/actor_loss,train/ent_coef_loss
10,-26.2512894,87.7,44,877,19,,,,,,
20,-24.539890050000004,92.05,42,1841,43,,,,,,
30,-25.605432566666664,90.9,42,2727,64,,,,,,
40,-24.963122724999998,93.175,22,3727,168,726,0.00073,0.5957351922988892,1.3290505409240723,-30.303264617919922,-4.048863410949707
50,-22.981381899999995,94.54,15,4727,301,1726,0.00073,0.2898096442222595,0.6861110925674438,-36.22295379638672,-9.908354759216309
60,-22.08596745,95.45,13,5727,434,2726,0.00073,0.14083613455295563,0.24989618360996246,-28.597475051879883,-14.910102844238281
70,-19.862385514285716,96.1,11,6727,567,3726,0.00073,0.0704663097858429,0.1617608368396759,-20.174278259277344,-17.273738861083984
80,-16.538861075,96.5875,11,7727,701,4726,0.00073,0.03819069266319275,0.18698377907276154,-14.000177383422852,-16.022048950195312
90,-14.062590877777778,96.96666666666667,10,8727,837,5726,0.00073,0.02439817786216736,0.574759840965271,-12.259215354919434,-9.454379081726074
100,-8.52715478,97.27,9,9727,974,6726,0.00073,0.019551102072000504,0.6945886611938477,-13.810663223266602,-2.481842279434204
110,-6.5833124,98.5,9,10727,1108,7726,0.00073,0.01908295787870884,0.6602768898010254,-17.572134017944336,-2.65523362159729
120,-3.10501322,98.86,9,11727,1244,8726,0.00073,0.020469730719923973,0.6824737787246704,-19.54944610595703,1.8189845085144043
130,-0.02482438999999917,100.0,9,12727,1381,9726,0.00073,0.024747120216488838,0.9897505044937134,-22.908504486083984,0.17981094121932983
140,6.489864130000001,100.0,9,13727,1518,10726,0.00073,0.028023574501276016,1.201298713684082,-27.689451217651367,0.3273068368434906
150,11.13055804,100.0,8,14727,1656,11726,0.00073,0.032175593078136444,1.5907957553863525,-32.1834831237793,-0.5327830910682678
160,12.158302589999998,100.0,8,15727,1794,12726,0.00073,0.03315294161438942,1.4391546249389648,-33.23355484008789,-1.4217240810394287
170,13.202170089999997,100.0,8,16727,1933,13726,0.00073,0.03246283158659935,1.7255775928497314,-38.64494705200195,-0.1241326630115509
180,15.6751333,100.0,8,17727,2068,14726,0.00073,0.036958299577236176,1.5810329914093018,-39.989097595214844,-0.5430495738983154
190,28.18673357,100.0,8,18727,2206,15726,0.00073,0.044142164289951324,2.083108425140381,-46.11378479003906,-2.1576995849609375
200,28.460648019999994,100.0,8,19727,2343,16726,0.00073,0.04514480382204056,2.5391974449157715,-51.95286560058594,0.023855060338974
210,31.35207293,100.0,8,20727,2482,17726,0.00073,0.045036159455776215,2.4229438304901123,-51.177001953125,-0.4946509897708893
220,43.03014125999999,100.0,8,21727,2619,18726,0.00073,0.05038394778966904,3.6336283683776855,-56.14118957519531,0.15707117319107056
230,51.087077340000015,100.0,8,22727,2756,19726,0.00073,0.0494382344186306,2.9726004600524902,-62.42947769165039,0.30755120515823364
240,47.257762899999996,100.0,8,23727,2893,20726,0.00073,0.04465702548623085,4.0140910148620605,-67.59811401367188,-0.4625368118286133
250,45.2577736,100.0,8,24727,3033,21726,0.00073,0.05006992816925049,3.425943613052368,-67.78011322021484,0.3663499355316162
260,49.94824521,100.0,8,25727,3171,22726,0.00073,0.0520089790225029,3.5228772163391113,-74.54749298095703,-0.08321318030357361
270,57.135806200000005,100.0,8,26727,3309,23726,0.00073,0.054133620113134384,4.4187750816345215,-78.03759765625,0.7083406448364258
280,62.11919564,100.0,8,27727,3450,24726,0.00073,0.050555091351270676,5.057753562927246,-79.20060729980469,0.5901274085044861
290,59.417300049999994,100.0,8,28727,3588,25726,0.00073,0.04752371460199356,5.067461967468262,-81.52944946289062,0.44912949204444885
300,64.95586837,100.0,7,29727,3727,26726,0.00073,0.04821758344769478,5.158254623413086,-76.95172882080078,-0.6502682566642761
310,71.22080049,100.0,7,30727,3866,27726,0.00073,0.05011872947216034,4.775425910949707,-85.70011138916016,0.3057054281234741
320,61.42516399,100.0,7,31727,4006,28726,0.00073,0.04496954008936882,5.089343070983887,-78.5910415649414,0.29118019342422485
330,65.0448008,100.0,7,32727,4144,29726,0.00073,0.04859570041298866,3.9512743949890137,-72.42228698730469,-0.8376928567886353
340,71.98574062,99.77,7,33704,4280,30703,0.00073,0.051876988261938095,4.119891166687012,-74.30343627929688,-1.0078635215759277
350,75.70908439,99.77,7,34704,4418,31703,0.00073,0.04904494062066078,5.434075355529785,-84.6214370727539,-0.3235870599746704
360,87.41782021,99.77,7,35704,4557,32703,0.00073,0.05045431852340698,4.9220662117004395,-69.62572479248047,-0.5525309443473816
370,87.66032596999999,99.77,7,36704,4694,33703,0.00073,0.051572300493717194,4.560079574584961,-79.40493774414062,-1.0236958265304565
380,91.29906365000001,99.77,7,37704,4833,34703,0.00073,0.05096987262368202,6.315713882446289,-84.67649841308594,-0.9136053919792175
390,87.96690000000002,99.77,7,38704,4973,35703,0.00073,0.05546119436621666,6.441507339477539,-80.99954223632812,-0.20228171348571777
400,93.13222930999999,99.77,7,39704,5112,36703,0.00073,0.05878834053874016,4.856203556060791,-85.13577270507812,0.5859328508377075
410,89.59875003,99.77,7,40704,5250,37703,0.00073,0.05740935727953911,6.576325416564941,-84.14237976074219,-0.30936866998672485
420,99.65997169,99.77,7,41704,5390,38703,0.00073,0.05861647054553032,6.467823028564453,-83.66031646728516,-0.36354321241378784
430,94.95251698,99.77,7,42704,5529,39703,0.00073,0.05884572118520737,6.669057846069336,-88.69389343261719,-0.8042812943458557
