time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss
37095,4623,8,159.20487444,97.85,600,8.53689193725586,0.00073,0.036251574754714966,34094,4.813514232635498,-202.02220153808594
38095,4757,8,192.97885098999998,99.64,610,8.639638900756836,0.00073,0.03622741624712944,35094,-3.4725074768066406,-200.03707885742188
39095,4892,7,218.20855828,99.71,620,8.264792442321777,0.00073,0.03399079665541649,36094,5.018206596374512,-195.394287109375
40095,5027,7,253.61869589999998,100.0,630,6.6662187576293945,0.00073,0.03403214365243912,37094,3.901163339614868,-192.13705444335938
41095,5162,7,278.07731746,100.0,640,6.900182723999023,0.00073,0.03412235900759697,38094,1.8428153991699219,-193.97427368164062
42095,5297,7,306.88256254,100.0,650,6.06430196762085,0.00073,0.03330758586525917,39094,2.1850125789642334,-192.05197143554688
43095,5431,7,332.05140878,100.0,660,4.653984069824219,0.00073,0.03222789987921715,40094,-4.095975875854492,-190.69839477539062
44095,5566,7,348.29606449999994,100.0,670,5.699061393737793,0.00073,0.03205888345837593,41094,9.82489013671875,-187.7395782470703
45095,5701,7,353.7026379800001,100.0,680,6.26241397857666,0.00073,0.03205408155918121,42094,2.29095458984375,-189.7049560546875
46095,5836,7,361.71986052,100.0,690,7.581128120422363,0.00073,0.03132876381278038,43094,2.993189811706543,-192.09901428222656
47095,5973,7,369.66918435,100.0,700,7.833288192749023,0.00073,0.030855117365717888,44094,0.2894289493560791,-193.25918579101562
48095,6108,7,370.30252295000014,100.0,710,5.83181095123291,0.00073,0.0311892107129097,45094,3.0392303466796875,-191.8588104248047
49095,6242,7,370.93847277000003,100.0,720,5.040374279022217,0.00073,0.03048553131520748,46094,6.015483379364014,-195.0095977783203
50095,6376,7,368.15633,100.0,730,5.695904731750488,0.00073,0.0310608372092247,47094,-13.0730619430542,-196.89956665039062
51095,6511,7,368.87942678,100.0,740,4.650300025939941,0.00073,0.029327338561415672,48094,4.058490753173828,-195.3406982421875
52095,6646,7,367.24325797000006,100.0,750,4.64727258682251,0.00073,0.029189687222242355,49094,2.519777536392212,-194.92886352539062
53095,6781,7,371.77970849999997,100.0,760,4.50163459777832,0.00073,0.02819579839706421,50094,-6.583730697631836,-195.00856018066406
54095,6917,7,370.00366677,100.0,770,4.283225059509277,0.00073,0.027843691408634186,51094,-9.382057189941406,-193.7229766845703
55095,7054,7,370.9873171,100.0,780,7.128016471862793,0.00073,0.028061309829354286,52094,3.8920071125030518,-191.62420654296875
56095,7189,7,372.33713349000004,100.0,790,4.571332931518555,0.00073,0.02706644870340824,53094,-1.3540973663330078,-193.58262634277344
57095,7324,7,370.93216526000003,100.0,800,3.6190528869628906,0.00073,0.026515530422329903,54094,-2.0629587173461914,-192.13221740722656
58095,7459,7,371.65754783999995,100.0,810,4.684344291687012,0.00073,0.025938229635357857,55094,-6.910181999206543,-190.6668243408203
59095,7594,7,371.4439294199999,100.0,820,3.855081081390381,0.00073,0.025700652971863747,56094,-0.8471069931983948,-187.7899627685547
60095,7729,7,372.4056387499999,100.0,830,4.218541145324707,0.00073,0.02519429847598076,57094,0.6567428708076477,-189.3686065673828
