rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates
-12.555204180000002,360,591,6901,11,21.7,0.00073,-99.45343017578125,0.07217519730329514,-28.20826530456543,1.810746192932129,3900
-13.047151549999999,370,621,7134,11,22.07,0.00073,-115.70175170898438,0.06202339380979538,-20.113374710083008,1.3991217613220215,4133
-13.02409291,380,647,7331,11,22.04,0.00073,-107.84225463867188,0.054713062942028046,-17.748899459838867,1.4126616716384888,4330
-13.158989140000001,390,675,7546,11,22.05,0.00073,-111.60688018798828,0.04769757017493248,-15.981119155883789,1.1022989749908447,4545
-12.95654827,400,703,7753,11,21.89,0.00073,-116.94268798828125,0.04181934520602226,-14.308545112609863,0.9801481366157532,4752
-13.00524909,410,729,7946,10,21.81,0.00073,-102.15119171142578,0.03716083988547325,-13.644214630126953,1.320656657218933,4945
-13.238775310000001,420,756,8147,10,21.67,0.00073,-93.54088592529297,0.03298624977469444,-12.721251487731934,0.9367097616195679,5146
-13.326178969999999,430,791,8415,10,21.86,0.00073,-94.1805191040039,0.02830483205616474,-8.57157039642334,0.7999787926673889,5414
-13.574728150000004,440,825,8669,10,22.07,0.00073,-88.15184783935547,0.024782227352261543,-9.464003562927246,0.7322362661361694,5668
-13.625502059999999,450,852,8871,10,22.04,0.00073,-83.50491333007812,0.02237473614513874,-8.122514724731445,0.875383734703064,5870
-13.102993329999999,460,881,9091,10,21.9,0.00073,-79.94441986083984,0.02002977579832077,-9.249802589416504,0.8996211290359497,6090
-13.22464237,470,920,9389,10,22.55,0.00073,-73.39633178710938,0.01734464429318905,-7.5590009689331055,0.6310535669326782,6388
-13.373942049999993,480,946,9586,10,22.55,0.00073,-64.48836517333984,0.015785228461027145,-6.187404155731201,0.5385953187942505,6585
-13.073971709999999,490,973,9790,10,22.44,0.00073,-76.66788482666016,0.014304563403129578,-4.5230817794799805,0.43851935863494873,6789
-13.021989789999997,500,997,9976,10,22.23,0.00073,-68.85600280761719,0.01306909043341875,-3.950632095336914,0.4625014364719391,6975
-12.98327982,510,1025,10188,9,22.42,0.00073,-62.706729888916016,0.011821405962109566,-4.421323776245117,0.4257398843765259,7187
-12.834248659999998,520,1050,10377,9,22.3,0.00073,-60.76207733154297,0.01084921509027481,-2.611815929412842,0.4568561613559723,7376
-12.652300740000001,530,1082,10615,9,22.0,0.00073,-48.81550216674805,0.009812559932470322,-2.6935977935791016,0.3175778090953827,7614
-12.707428710000002,540,1121,10900,9,22.31,0.00073,-29.8480224609375,0.008859613910317421,-3.085991621017456,0.4082346260547638,7899
-12.82418023,550,1146,11092,9,22.21,0.00073,-38.20972442626953,0.00832761637866497,-2.863128185272217,0.3870808780193329,8091
-12.884681740000001,560,1172,11284,9,21.93,0.00073,-21.64948844909668,0.007924328558146954,-2.5067121982574463,0.2730313539505005,8283
-12.431164599999997,570,1203,11521,9,21.32,0.00073,-25.511138916015625,0.007446451112627983,-1.8677163124084473,0.3379822373390198,8520
-12.208007460000001,580,1229,11721,9,21.35,0.00073,-22.057342529296875,0.007065288722515106,-1.8348437547683716,0.252543181180954,8720
-12.338587230000003,590,1257,11933,9,21.43,0.00073,-11.30245304107666,0.0067906673066318035,-1.6233975887298584,0.2830255627632141,8932
-12.54729262,600,1293,12202,9,22.26,0.00073,-14.021110534667969,0.006477855611592531,-0.7069658637046814,0.3126367926597595,9201
-12.501797999999999,610,1326,12454,9,22.66,0.00073,1.7747093439102173,0.0062111131846904755,-1.252495288848877,0.23531673848628998,9453
-12.451103600000001,620,1353,12651,9,22.74,0.00073,-38.35871124267578,0.005920160561800003,-0.5080462098121643,0.21956570446491241,9650
-12.39446962,630,1377,12835,9,22.2,0.00073,-28.215408325195312,0.005588597152382135,-0.9764049053192139,0.1971016824245453,9834
-11.970664009999998,640,1401,13021,9,21.21,0.00073,-22.660293579101562,0.005318976007401943,-0.4293048679828644,0.19619697332382202,10020
-11.911014260000002,650,1426,13205,9,21.13,0.00073,5.320694446563721,0.005207250360399485,-0.2591380774974823,0.20481756329536438,10204
-12.109974180000002,660,1460,13456,9,21.72,0.00073,1.2470930814743042,0.005147485062479973,-0.2544935643672943,0.20236268639564514,10455
-12.07181577,670,1492,13697,9,21.76,0.00073,-8.767969131469727,0.004925228655338287,0.5610082745552063,0.14595116674900055,10696
-12.24384198,680,1526,13948,9,22.27,0.00073,14.487236022949219,0.00482832919806242,-0.0013938657939434052,0.18345598876476288,10947
-12.177050280000001,690,1555,14166,9,22.33,0.00073,6.004001617431641,0.004739923868328333,-0.20349889993667603,0.16331873834133148,11165
-11.86355288,700,1581,14358,9,21.56,0.00073,-8.847536087036133,0.004495440050959587,0.5681034326553345,0.12784689664840698,11357
-11.51469939,710,1608,14566,9,21.12,0.00073,-9.499722480773926,0.0042405943386256695,0.8019447922706604,0.15425202250480652,11565
-11.460996129999998,720,1635,14767,9,21.16,0.00073,-4.496705532073975,0.0040926337242126465,0.8856683373451233,0.16373345255851746,11766
-11.26564318,730,1661,14963,9,21.28,0.00073,-18.428565979003906,0.0038515764754265547,1.3528976440429688,0.13818849623203278,11962
-11.24895824,740,1689,15171,8,21.5,0.00073,-12.385993003845215,0.003725967602804303,1.7546913623809814,0.12329503893852234,12170
-11.058302850000002,750,1711,15337,8,21.32,0.00073,12.311161994934082,0.003627461614087224,1.8043891191482544,0.13912194967269897,12336
-10.842598950000001,760,1743,15580,8,21.24,0.00073,-11.193864822387695,0.0036862834822386503,1.774008870124817,0.085189089179039,12579
-11.04480406,770,1781,15867,8,21.7,0.00073,-6.743834495544434,0.003764084540307522,1.5400968790054321,0.1467537134885788,12866
-10.759453169999999,780,1805,16046,8,20.98,0.00073,-3.142033576965332,0.0036623941268771887,1.8444918394088745,0.13894549012184143,13045
-10.86829657,790,1833,16250,8,20.84,0.00073,0.6785109043121338,0.003261930076405406,1.7924386262893677,0.08941017836332321,13249
-10.985195220000001,800,1862,16471,8,21.13,0.00073,12.304985046386719,0.0031034587882459164,2.1476922035217285,0.0887291431427002,13470
-11.207243519999999,810,1889,16673,8,21.07,0.00073,1.7741968631744385,0.003026539459824562,2.0785748958587646,0.09773169457912445,13672
-11.321141530000002,820,1916,16880,8,21.13,0.00073,-8.380117416381836,0.0029794781003147364,2.2257556915283203,0.08795157074928284,13879
-11.513933299999998,830,1945,17097,8,21.34,0.00073,-4.446661472320557,0.0028738209512084723,2.2033634185791016,0.09110905230045319,14096
-11.289146109999997,840,1969,17274,8,21.03,0.00073,-18.972858428955078,0.0028303824365139008,2.346040725708008,0.1032249927520752,14273
-11.19057832,850,1993,17458,8,21.21,0.00073,2.916884422302246,0.0028269754257053137,2.270981788635254,0.07036711275577545,14457
-10.923871450000002,860,2017,17634,8,20.54,0.00073,22.192289352416992,0.002775313565507531,2.6087138652801514,0.07508859038352966,14633
-10.685178650000003,870,2043,17827,8,19.6,0.00073,-8.635552406311035,0.0026835398748517036,2.5071756839752197,0.07793872803449631,14826
-10.94246249,880,2065,17996,8,19.5,0.00073,6.360047340393066,0.00257095810957253,2.5305991172790527,0.09075330942869186,14995
-10.86958781,890,2095,18223,8,19.73,0.00073,-4.371890544891357,0.0027077137492597103,2.9019579887390137,0.07237671315670013,15222
-10.8213665,900,2124,18443,8,19.72,0.00073,4.360854148864746,0.002666039625182748,2.9083759784698486,0.08067537099123001,15442
-11.009203499999998,910,2151,18649,8,19.76,0.00073,-7.184938907623291,0.0025183861143887043,2.9835500717163086,0.06635334342718124,15648
-11.098748909999998,920,2179,18854,8,19.74,0.00073,1.1353987455368042,0.002416613046079874,2.9718027114868164,0.06269142031669617,15853
-10.95200457,930,2202,19034,8,19.37,0.00073,5.955932140350342,0.0022709297481924295,3.1717045307159424,0.06383764743804932,16033
-10.931147269999999,940,2228,19228,8,19.54,0.00073,8.550393104553223,0.002177668735384941,3.0249955654144287,0.07518518716096878,16227
-10.97822273,950,2251,19404,8,19.46,0.00073,-9.211963653564453,0.002194942906498909,3.205787181854248,0.06320037692785263,16403
-11.042742730000002,960,2279,19609,8,19.75,0.00073,4.085259914398193,0.0023076049983501434,3.3616480827331543,0.07380236685276031,16608
-10.99124294,970,2307,19818,8,19.91,0.00073,1.7590124607086182,0.002198377624154091,3.1083972454071045,0.057166099548339844,16817
-10.858969269999998,980,2341,20076,8,20.8,0.00073,-3.482929229736328,0.0022510290145874023,3.2741899490356445,0.06649193912744522,17075
-11.036532569999999,990,2372,20310,8,20.87,0.00073,7.017784118652344,0.0021234226878732443,3.1601593494415283,0.06673943251371384,17309
-10.935771800000003,1000,2401,20526,8,20.83,0.00073,7.863688945770264,0.0020942494738847017,3.395670175552368,0.04676954448223114,17525
-10.43071825,1010,2425,20709,8,20.6,0.00073,2.6249403953552246,0.002108972752466798,3.434821367263794,0.06388162076473236,17708
-10.122200670000002,1020,2450,20899,8,20.45,0.00073,6.173755168914795,0.002083198167383671,3.107987403869629,0.046005770564079285,17898
-10.316137179999998,1030,2484,21156,8,21.22,0.00073,-2.4323198795318604,0.002065244596451521,3.279541492462158,0.04697326570749283,18155
