time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss,train/n_updates
569,260,11,-249.39378682999995,34.21,6694,0.09215588122606277,0.00073,6.330989837646484,-71.74076843261719,53.84286117553711,3693
608,270,11,-247.46936931999997,35.06,6995,0.0784047320485115,0.00073,8.428653717041016,-62.72570037841797,58.42629623413086,3994
654,280,11,-246.92300494,35.46,7353,0.06522392481565475,0.00073,5.649959564208984,-67.29810333251953,60.52509307861328,4352
690,290,11,-241.75303054,35.3,7634,0.05660974234342575,0.00073,5.645546913146973,-62.971649169921875,61.757625579833984,4633
739,300,10,-241.13220450999995,35.42,8009,0.04765499010682106,0.00073,6.111434459686279,-52.433929443359375,62.13370132446289,5008
787,310,10,-238.87354802,35.37,8380,0.04203898087143898,0.00073,7.020489692687988,-36.91707229614258,63.505775451660156,5379
839,320,10,-232.71167297,35.9,8780,0.037067919969558716,0.00073,5.108749866485596,-21.001848220825195,56.72113800048828,5779
911,330,10,-239.41937179999996,37.69,9321,0.03226684406399727,0.00073,6.376870632171631,-25.163000106811523,58.38121032714844,6320
967,340,10,-232.36335019999999,36.54,9749,0.030298635363578796,0.00073,6.027703762054443,5.40960168838501,56.77741622924805,6748
1023,350,9,-232.35381761000005,37.64,10179,0.029950471594929695,0.00073,6.306225776672363,0.44793379306793213,53.59737777709961,7178
1085,360,9,-235.05259358000004,39.62,10656,0.029544752091169357,0.00073,6.103816509246826,-0.047981977462768555,54.66524887084961,7655
1126,370,9,-237.78630426,39.7,10965,0.029793396592140198,0.00073,6.194109916687012,2.9502058029174805,47.363494873046875,7964
1174,380,9,-233.06783307,39.73,11326,0.029632452875375748,0.00073,5.720399856567383,-8.81176471710205,51.944236755371094,8325
1233,390,9,-233.25454330999995,41.18,11752,0.030757028609514236,0.00073,7.695190906524658,0.9876188635826111,55.074398040771484,8751
1301,400,9,-222.97742673000005,42.42,12251,0.031456105411052704,0.00073,7.283027648925781,7.1330766677856445,52.41776657104492,9250
1374,410,9,-223.60226616999998,44.23,12803,0.03190067782998085,0.00073,7.625833511352539,-4.179888725280762,47.630733489990234,9802
1423,420,9,-225.37691380000004,43.93,13173,0.030488861724734306,0.00073,7.709328651428223,-12.727253913879395,49.10454559326172,10172
1467,430,9,-217.84340702999998,41.83,13504,0.030300116166472435,0.00073,7.062560558319092,12.254156112670898,50.01121139526367,10503
1519,440,9,-215.5349449,41.45,13894,0.0314045175909996,0.00073,8.860976219177246,4.337160587310791,54.114234924316406,10893
1573,450,9,-211.86767539000002,41.3,14309,0.03397921845316887,0.00073,8.880802154541016,3.5840003490448,53.79462432861328,11308
1644,460,9,-211.57251944,41.94,14850,0.030986450612545013,0.00073,8.192363739013672,-0.4843416213989258,50.72441864013672,11849
1718,470,8,-210.05745583000004,44.35,15400,0.03119768761098385,0.00073,9.19819164276123,-3.2789974212646484,47.28738784790039,12399
1779,480,8,-208.33953305,45.41,15867,0.030693581327795982,0.00073,8.450054168701172,8.34093952178955,52.64398956298828,12866
1824,490,8,-204.7508735,44.62,16214,0.03043402172625065,0.00073,8.549896240234375,0.5301698446273804,55.718040466308594,13213
1888,500,8,-208.70525443,44.46,16697,0.03308623284101486,0.00073,9.94424819946289,-0.933137059211731,57.93922424316406,13696
1971,510,8,-193.69658616,45.19,17322,0.035293225198984146,0.00073,8.719280242919922,-9.004729270935059,47.37334442138672,14321
2066,520,8,-168.41026567,48.71,18044,0.035415008664131165,0.00073,7.824164867401123,10.848433494567871,38.31346893310547,15043
2144,530,8,-156.63034779,51.39,18643,0.03674966096878052,0.00073,8.92922592163086,0.9368739128112793,44.06797409057617,15642
2229,540,8,-139.1563344,54.02,19296,0.0423894003033638,0.00073,12.118383407592773,2.6806249618530273,35.910987854003906,16295
2318,550,8,-114.59864943999999,56.59,19968,0.04393048211932182,0.00073,10.523751258850098,-3.598752021789551,36.58857727050781,16967
2404,560,8,-97.10742487000002,57.7,20620,0.04421161487698555,0.00073,10.54041576385498,9.797887802124023,24.56247329711914,17619
2471,570,8,-96.07363820999997,57.32,21132,0.04654841125011444,0.00073,13.534894943237305,-1.0286551713943481,16.07489013671875,18131
2561,580,8,-72.47918941,59.45,21812,0.046074073761701584,0.00073,12.569437026977539,7.1623945236206055,19.53755760192871,18811
2646,590,8,-67.15082135,62.51,22465,0.05093462020158768,0.00073,15.996841430664062,3.199977159500122,5.2965087890625,19464
2728,600,8,-56.11328469,63.86,23083,0.04994664341211319,0.00073,18.22191619873047,5.313137054443359,-0.4499831199645996,20082
2827,610,8,-38.940495199999994,64.89,23811,0.053807634860277176,0.00073,16.22848129272461,-5.2092437744140625,2.808520555496216,20810
2921,620,8,-46.516021900000005,64.77,24521,0.054049666970968246,0.00073,17.265079498291016,-6.909699440002441,-6.689241409301758,21520
2999,630,8,-52.31609600000001,64.61,25104,0.052544694393873215,0.00073,18.67403793334961,-0.7374787330627441,-11.362481117248535,22103
3094,640,8,-28.45309245,65.29,25825,0.05824263021349907,0.00073,20.494037628173828,0.9730128049850464,-25.187732696533203,22824
3174,650,8,-28.12225620000001,64.63,26431,0.06337329000234604,0.00073,24.376087188720703,-0.6036283373832703,-31.841413497924805,23430
3248,660,8,-23.95380749,63.62,26982,0.06435318291187286,0.00073,22.569950103759766,-0.11428987979888916,-36.71266174316406,23981
3346,670,8,19.99922625,66.0,27732,0.06956148147583008,0.00073,22.171710968017578,6.913855075836182,-56.19106674194336,24731
3438,680,8,27.22066663,66.13,28425,0.06782491505146027,0.00073,21.84014129638672,0.7717261910438538,-71.62667083740234,25424
3525,690,8,46.68022323,66.04,29069,0.06950728595256805,0.00073,23.288593292236328,1.452528476715088,-71.38461303710938,26068
3619,700,8,73.13111548,66.75,29758,0.06937659531831741,0.00073,23.130756378173828,-4.356589317321777,-64.74419403076172,26757
3683,710,8,57.828046349999994,64.37,30248,0.0708921030163765,0.00073,23.939342498779297,2.1252541542053223,-71.3172607421875,27247
3775,720,8,80.11593707,64.23,30944,0.0739339217543602,0.00073,28.872238159179688,1.067289113998413,-69.82649993896484,27943
3875,730,8,135.15516394,65.9,31694,0.07719656080007553,0.00073,22.980146408081055,4.020570278167725,-91.27173614501953,28693
3961,740,8,118.35889784999999,65.22,32347,0.07697399705648422,0.00073,23.264095306396484,-0.5452837944030762,-104.67328643798828,29346
4037,750,8,112.49220079999999,64.89,32920,0.07635162025690079,0.00073,29.1639404296875,-4.272464275360107,-92.40858459472656,29919
4104,760,8,102.48908695999998,64.38,33420,0.07607025653123856,0.00073,28.81422233581543,9.008415222167969,-97.8634033203125,30419
4199,770,8,104.95924100999999,64.11,34143,0.0778973251581192,0.00073,30.280418395996094,3.3633968830108643,-93.20620727539062,31142
4299,780,8,108.81357310000001,64.54,34879,0.0787007138133049,0.00073,31.08915138244629,2.4620676040649414,-106.54875183105469,31878
4390,790,8,115.45202964000002,64.97,35566,0.08106952905654907,0.00073,27.695934295654297,7.240608215332031,-113.56610870361328,32565
4490,800,8,126.38286839000003,65.57,36315,0.08000297099351883,0.00073,28.061878204345703,-1.7858612537384033,-97.6242904663086,33314
4589,810,8,173.82217622999997,68.17,37065,0.08108014613389969,0.00073,25.502696990966797,1.9904813766479492,-117.93740844726562,34064
4685,820,8,180.88182180999996,68.45,37789,0.08121940493583679,0.00073,29.87270736694336,-1.7530544996261597,-126.8388900756836,34788
4770,830,8,141.5513943,67.34,38428,0.07508765161037445,0.00073,24.822158813476562,3.6159157752990723,-124.73213195800781,35427
4848,840,8,141.23997712000002,66.66,39013,0.07897640019655228,0.00073,24.71051025390625,-0.5703150033950806,-113.44188690185547,36012
4947,850,8,170.70031972,68.39,39759,0.078474260866642,0.00073,26.510618209838867,-4.544520378112793,-124.48469543457031,36758
5047,860,8,216.78759046000002,70.89,40509,0.07845598459243774,0.00073,24.582077026367188,-0.2302795648574829,-127.69940185546875,37508
5122,870,8,190.80513819000004,69.36,41079,0.0775565505027771,0.00073,27.73846435546875,-2.7364766597747803,-108.26168823242188,38078
5215,880,8,188.33307158999997,68.96,41775,0.07560845464468002,0.00073,27.741107940673828,-5.815286636352539,-123.00664520263672,38774
5307,890,7,189.57017049,68.88,42454,0.07719000428915024,0.00073,23.004060745239258,-3.1367642879486084,-125.37476348876953,39453
