rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
-267.69085412000004,11875,100.0,91000,7,910,0.00073,-4.104748725891113,97.25581359863281,0.5534100532531738,0.0042205145582556725,87999
-265.55657332000004,12013,100.0,92000,7,920,0.00073,7.989594459533691,98.66040802001953,0.5324851870536804,0.004162688739597797,88999
-266.35019887,12154,100.0,93000,7,930,0.00073,25.296926498413086,98.33393859863281,0.6537918448448181,0.004078678786754608,89999
-265.4032655699999,12295,100.0,94000,7,940,0.00073,2.7540242671966553,100.06452178955078,0.5093562602996826,0.004163709003478289,90999
-264.55969447999996,12431,100.0,95000,7,950,0.00073,3.294651985168457,100.97749328613281,0.4756755828857422,0.004009989555925131,91999
-264.23428435,12568,100.0,96000,7,960,0.00073,-6.0898871421813965,100.59918212890625,0.531606912612915,0.0039347438141703606,92999
-265.48012539999996,12704,100.0,97000,7,970,0.00073,13.033473014831543,102.01042175292969,0.48535972833633423,0.004082875791937113,93999
-266.40751577,12841,100.0,98000,7,980,0.00073,15.717623710632324,102.87147521972656,0.434831440448761,0.004059961531311274,94999
-265.31419927,12978,100.0,99000,7,990,0.00073,13.917948722839355,104.43142700195312,0.5389435887336731,0.0038170884363353252,95999
-266.67267954999994,13119,100.0,100000,7,1000,0.00073,0.6932169198989868,103.96278381347656,0.4935952126979828,0.003757248865440488,96999
-266.41731801,13256,100.0,101000,7,1010,0.00073,-2.766220808029175,101.95427703857422,0.5632027387619019,0.003954582381993532,97999
-267.88891382,13395,100.0,102000,7,1020,0.00073,0.029234856367111206,103.90145111083984,0.5005538463592529,0.003900156356394291,98999
-266.74329481999996,13532,100.0,103000,7,1030,0.00073,23.73398208618164,104.22917175292969,0.4744420051574707,0.003755719168111682,99999
-265.17447811,13669,100.0,104000,7,1040,0.00073,-8.772736549377441,105.1404800415039,0.4318564832210541,0.003953835461288691,100999
-263.38756392000005,13806,100.0,105000,7,1050,0.00073,9.202726364135742,105.02998352050781,0.4270574450492859,0.0040495325811207294,101999
-260.96506833,13942,100.0,106000,7,1060,0.00073,-7.673210144042969,103.80357360839844,0.5107164978981018,0.003923987038433552,102999
-259.06942402,14078,100.0,107000,7,1070,0.00073,-0.603980541229248,104.73605346679688,0.5165290236473083,0.0037403544411063194,103999
-257.82445343,14216,100.0,108000,7,1080,0.00073,3.417710781097412,104.88203430175781,0.4875631332397461,0.0037276167422533035,104999
-257.26424997000004,14354,100.0,109000,7,1090,0.00073,-1.2383568286895752,104.03076934814453,0.5119118690490723,0.00373638654127717,105999
-253.87299118,14491,100.0,110000,7,1100,0.00073,-8.530122756958008,103.69739532470703,0.44700202345848083,0.003831848967820406,106999
-250.90545109,14636,100.0,111000,7,1110,0.00073,-1.486701488494873,103.01707458496094,0.43736428022384644,0.003696545260027051,107999
-248.59005555999997,14774,100.0,112000,7,1120,0.00073,20.68486976623535,103.06768035888672,0.41533440351486206,0.0036994495894759893,108999
-245.22595173999997,14911,100.0,113000,7,1130,0.00073,1.8734228610992432,104.13313293457031,0.44583046436309814,0.003788221627473831,109999
