rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate
-125.4075304,1000,24,10,100.0,40,,,,,,
-122.54901765,2000,50,20,100.0,39,,,,,,
-110.53761163333336,3000,76,30,100.0,39,,,,,,
-111.0801432,4000,211,40,100.0,18,0.4884084463119507,-19.204730987548828,999,1.0333081483840942,-5.564234733581543,0.00073
-76.10663141999999,5000,350,50,100.0,14,0.25133585929870605,-23.615026473999023,1999,1.8297004699707031,-8.215485572814941,0.00073
-30.287186449999997,6000,491,60,100.0,12,0.14630216360092163,-37.474971771240234,2999,3.9191431999206543,-6.338674068450928,0.00073
-21.53000777142857,7000,627,70,100.0,11,0.10264299809932709,-59.469268798828125,3999,4.544360160827637,-2.5504682064056396,0.00073
-1.0210803749999968,8000,765,80,100.0,10,0.09199773520231247,-74.21209716796875,4999,5.848254680633545,-0.8423144817352295,0.00073
36.48455795555555,9000,904,90,100.0,9,0.11347492039203644,-93.2690200805664,5999,5.908211708068848,0.667205274105072,0.00073
44.05054028000001,10000,1044,100,100.0,9,0.12350574135780334,-112.40762329101562,6999,5.6766357421875,-0.25767433643341064,0.00073
90.65324636999999,11000,1184,110,100.0,9,0.10990434139966965,-126.38409423828125,7999,7.141313076019287,0.03316643834114075,0.00073
134.50179895,12000,1324,120,100.0,9,0.13525792956352234,-142.2666473388672,8999,8.804983139038086,0.47091150283813477,0.00073
188.87319856000002,13000,1465,130,100.0,8,0.15532855689525604,-170.52130126953125,9999,10.198465347290039,0.6674087643623352,0.00073
253.61548115999997,14000,1605,140,100.0,8,0.1590239405632019,-187.92185974121094,10999,13.079734802246094,-0.011834166944026947,0.00073
296.51847083999996,15000,1747,150,100.0,8,0.18857429921627045,-212.23646545410156,11999,16.79068374633789,0.3596556484699249,0.00073
334.32714533,16000,1888,160,100.0,8,0.20182867348194122,-226.45301818847656,12999,12.725582122802734,-0.24024856090545654,0.00073
395.4242479999999,17000,2028,170,100.0,8,0.2023063749074936,-250.75416564941406,13999,16.507808685302734,-0.5273610353469849,0.00073
432.987725,18000,2169,180,100.0,8,0.20115910470485687,-239.66294860839844,14999,15.38973617553711,-0.04150470346212387,0.00073
459.78278424999996,19000,2310,190,100.0,8,0.20520758628845215,-246.22569274902344,15999,12.746578216552734,0.07249617576599121,0.00073
502.34659361999996,20000,2451,200,100.0,8,0.2174205183982849,-251.40420532226562,16999,17.084951400756836,0.10606825351715088,0.00073
530.74822607,21000,2592,210,100.0,8,0.20464041829109192,-261.3852844238281,17999,12.433235168457031,0.18103855848312378,0.00073
553.58802957,22000,2734,220,100.0,8,0.21658621728420258,-263.20843505859375,18999,18.81051254272461,-0.10829855501651764,0.00073
571.01543248,23000,2874,230,100.0,8,0.22361108660697937,-264.8169860839844,19999,13.527769088745117,-0.11252357810735703,0.00073
582.53312796,24000,3016,240,100.0,7,0.22518184781074524,-267.5687255859375,20999,13.299479484558105,-0.13754981756210327,0.00073
591.9720153999999,25000,3159,250,100.0,7,0.22826752066612244,-273.720458984375,21999,20.54842758178711,-0.5096864700317383,0.00073
600.01829972,26000,3300,260,100.0,7,0.23184436559677124,-267.7552490234375,22999,12.698623657226562,0.6515746116638184,0.00073
607.22871246,27000,3441,270,100.0,7,0.22758851945400238,-267.56085205078125,23999,15.589761734008789,-0.5606303215026855,0.00073
626.66138916,28000,3584,280,100.0,7,0.2339046746492386,-261.4297180175781,24999,14.99636459350586,-0.28703197836875916,0.00073
631.7023795099999,29000,3724,290,100.0,7,0.2311636209487915,-273.26019287109375,25999,11.642313003540039,-0.06693607568740845,0.00073
650.3722287000002,30000,3865,300,100.0,7,0.23229505121707916,-278.4159851074219,26999,10.017314910888672,-0.35249412059783936,0.00073
653.96707294,31000,4007,310,100.0,7,0.22978748381137848,-283.72552490234375,27999,11.04865837097168,-0.18979114294052124,0.00073
666.87566491,32000,4150,320,100.0,7,0.2339491993188858,-280.40179443359375,28999,8.581766128540039,0.13474388420581818,0.00073
672.97966273,33000,4292,330,100.0,7,0.231071338057518,-279.9486389160156,29999,11.146842956542969,0.6238996386528015,0.00073
672.7151450599999,34000,4434,340,100.0,7,0.2264995276927948,-276.13623046875,30999,9.09591293334961,-0.19323769211769104,0.00073
684.3385151899998,35000,4579,350,100.0,7,0.22532936930656433,-279.1705017089844,31999,11.713621139526367,0.3222581446170807,0.00073
691.1378220500001,36000,4720,360,100.0,7,0.2259783148765564,-281.5105895996094,32999,13.234319686889648,0.03972257673740387,0.00073
684.7726066999999,37000,4864,370,100.0,7,0.2274930626153946,-282.1138916015625,33999,9.157054901123047,0.40607282519340515,0.00073
678.39616459,38000,5006,380,100.0,7,0.22543077170848846,-290.91705322265625,34999,11.45173454284668,-0.12442341446876526,0.00073
680.93313371,39000,5147,390,100.0,7,0.2220419943332672,-291.0679931640625,35999,11.178757667541504,-0.543128490447998,0.00073
678.7326758199998,40000,5291,400,100.0,7,0.22235631942749023,-294.0968017578125,36999,11.303314208984375,0.010473780333995819,0.00073
682.9761147100002,41000,5434,410,100.0,7,0.22334526479244232,-286.2347412109375,37999,8.930290222167969,-0.1649141162633896,0.00073
684.90589897,42000,5578,420,100.0,7,0.22270062565803528,-297.6907958984375,38999,8.894771575927734,-0.04547732695937157,0.00073
688.99824538,43000,5722,430,100.0,7,0.22230803966522217,-297.36102294921875,39999,7.999972343444824,0.2458576261997223,0.00073
694.12205134,44000,5864,440,100.0,7,0.22003322839736938,-293.47015380859375,40999,8.403669357299805,-0.04749535769224167,0.00073
695.34025774,45000,6008,450,100.0,7,0.21987268328666687,-298.4151611328125,41999,11.517895698547363,-0.1925845742225647,0.00073
