time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
8,-315.88402703,490,42.18,19314,2380,7.3229498863220215,0.00073,0.016406692564487457,16313,4.27813720703125,94.33674621582031
8,-317.10296069,500,42.04,19722,2435,3.3421952724456787,0.00073,0.01691165193915367,16721,3.2736101150512695,94.80736541748047
8,-317.60657281,510,42.07,20136,2490,-2.6172218322753906,0.00073,0.016461068764328957,17135,3.0333664417266846,98.95928955078125
8,-317.45595648,520,42.01,20589,2551,1.8317962884902954,0.00073,0.01614135131239891,17588,2.5970888137817383,95.48683166503906
8,-322.41231611999996,530,42.33,21027,2609,8.026914596557617,0.00073,0.015962444245815277,18026,3.0278267860412598,96.02114868164062
8,-321.77455679999997,540,42.6,21442,2665,4.942955017089844,0.00073,0.01621115766465664,18441,3.0944526195526123,99.25135040283203
8,-324.12124175,550,42.88,21892,2726,-1.6474379301071167,0.00073,0.016892366111278534,18891,3.716046094894409,99.21421813964844
8,-325.09885052,560,42.56,22326,2785,-4.795274257659912,0.00073,0.016350585967302322,19325,3.3267290592193604,97.88804626464844
8,-325.65422602,570,42.28,22749,2841,-7.289122581481934,0.00073,0.016451941803097725,19748,3.282299041748047,94.21617889404297
7,-323.79019678000003,580,42.61,23177,2898,1.4378682374954224,0.00073,0.016811976209282875,20176,3.55137300491333,98.6669692993164
7,-320.79414356,590,42.81,23595,2954,-0.9134259223937988,0.00073,0.016537966206669807,20594,3.4115216732025146,99.35258483886719
7,-320.73647244,600,43.14,24036,3015,7.835762977600098,0.00073,0.016123689711093903,21035,5.145096778869629,98.99285888671875
7,-320.17115124,610,42.96,24432,3068,-4.025270462036133,0.00073,0.016168050467967987,21431,2.7176284790039062,96.77584075927734
7,-319.34214553,620,42.89,24878,3128,-1.4305849075317383,0.00073,0.016131041571497917,21877,3.540964126586914,100.83198547363281
7,-316.45031335999994,630,42.33,25260,3179,10.069962501525879,0.00073,0.01582452282309532,22259,4.143145561218262,98.12635803222656
7,-314.52938854999996,640,42.82,25724,3242,3.008260726928711,0.00073,0.01608586125075817,22723,3.1087682247161865,99.51153564453125
7,-314.46675397,650,43.0,26192,3305,-8.023164749145508,0.00073,0.015989404171705246,23191,3.3258750438690186,95.21868133544922
7,-314.71253735,660,43.17,26643,3365,10.779101371765137,0.00073,0.016434229910373688,23642,3.855703592300415,98.16136932373047
7,-316.64313397999996,670,43.26,27075,3424,1.2876918315887451,0.00073,0.01542911771684885,24074,4.514916896820068,101.40493774414062
7,-319.385042,680,42.97,27474,3477,0.2276855707168579,0.00073,0.015886299312114716,24473,4.30637264251709,97.8221206665039
7,-317.90692187,690,43.15,27910,3537,-2.6010873317718506,0.00073,0.016483061015605927,24909,3.7261743545532227,98.30414581298828
7,-315.58239842,700,43.05,28341,3595,-4.831437110900879,0.00073,0.01695718616247177,25340,4.254501819610596,100.64419555664062
7,-316.19000706,710,43.08,28740,3649,1.374208688735962,0.00073,0.016392210498452187,25739,3.5995569229125977,98.51614379882812
7,-320.23644985,720,42.83,29161,3705,3.561634063720703,0.00073,0.01605324074625969,26160,3.423405170440674,99.47274017333984
