time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/learning_rate
7,37413,-341.45234384999986,4795,930,41.43,5.552335739135742,109.40596771240234,-0.06749582290649414,0.0199081189930439,34412,0.00073
7,37838,-339.3128741500001,4854,940,41.12,5.089094638824463,107.61265563964844,-3.643974781036377,0.02009677328169346,34837,0.00073
7,38236,-335.38023844,4908,950,40.57,5.5847978591918945,104.0559310913086,-1.0594664812088013,0.019351808354258537,35235,0.00073
7,38653,-338.94107942000005,4965,960,40.59,5.138633728027344,106.44027709960938,1.3844655752182007,0.019180241972208023,35652,0.00073
7,39080,-345.05311487,5023,970,40.34,5.431943893432617,111.43952178955078,-4.178010940551758,0.019114172086119652,36079,0.00073
7,39544,-341.3355758,5086,980,41.5,4.439221382141113,113.07037353515625,2.2554540634155273,0.018692180514335632,36543,0.00073
7,39992,-339.32223199,5146,990,42.14,5.4382243156433105,112.97270202636719,-10.354233741760254,0.018323875963687897,36991,0.00073
7,40439,-335.37449151,5208,1000,42.3,4.60194206237793,109.03622436523438,7.85776424407959,0.01916862651705742,37438,0.00073
7,40862,-334.74115441000004,5267,1010,42.25,4.6490864753723145,111.94895935058594,-4.9376606941223145,0.018508678302168846,37861,0.00073
7,41298,-334.9955820199999,5327,1020,42.31,4.0708723068237305,112.04206848144531,-4.3820085525512695,0.018478158861398697,38297,0.00073
7,41692,-338.9897303899999,5381,1030,42.79,7.477372169494629,112.2099838256836,0.5264692306518555,0.01829676702618599,38691,0.00073
7,42114,-344.72693604999995,5439,1040,42.76,4.766958236694336,114.01017761230469,2.862264394760132,0.01852547749876976,39113,0.00073
7,42561,-348.29445733000006,5500,1050,43.25,4.90462589263916,111.93722534179688,-3.3179280757904053,0.018363237380981445,39560,0.00073
7,42989,-350.73198211000005,5558,1060,43.36,6.414913654327393,113.87545776367188,2.558192014694214,0.018381977453827858,39988,0.00073
7,43419,-344.72646976000004,5617,1070,43.39,4.9310455322265625,114.87489318847656,-7.881388187408447,0.01949857361614704,40418,0.00073
7,43837,-345.93559531000005,5674,1080,42.93,5.519891738891602,115.6181411743164,-4.172524929046631,0.018997229635715485,40836,0.00073
7,44249,-343.45586947000004,5730,1090,42.57,5.163334846496582,113.09968566894531,4.102714538574219,0.01953144185245037,41248,0.00073
