time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
30000,300,3726,100.0,737.42008937,8,0.0667635127902031,0.00073,1.1237108707427979,1.214087724685669,-367.81390380859375,26999
31000,310,3863,100.0,738.4658272400002,8,0.06110690161585808,0.00073,-1.4502850770950317,1.439845085144043,-369.40521240234375,27999
32000,320,3999,100.0,738.91492453,8,0.06630667299032211,0.00073,0.20493477582931519,1.2004855871200562,-368.99383544921875,28999
33000,330,4137,100.0,763.0819815,7,0.06535277515649796,0.00073,-1.1471019983291626,1.2364319562911987,-372.09735107421875,29999
34000,340,4275,100.0,763.81607771,7,0.06317813694477081,0.00073,-0.18882831931114197,0.7659358978271484,-374.067626953125,30999
35000,350,4413,100.0,764.26034016,7,0.06006327271461487,0.00073,0.24928447604179382,1.0555294752120972,-372.2187805175781,31999
36000,360,4550,100.0,764.3829103999998,7,0.05749692767858505,0.00073,-1.0569648742675781,1.1485196352005005,-371.82958984375,32999
37000,370,4688,100.0,764.86720103,7,0.05708695203065872,0.00073,-0.27190864086151123,0.8089388608932495,-373.6358337402344,33999
38000,380,4827,100.0,765.02901408,7,0.05390753597021103,0.00073,-0.5004433393478394,1.635647177696228,-376.9054260253906,34999
39000,390,4965,100.0,765.43027506,7,0.050876449793577194,0.00073,0.21952912211418152,0.8930942416191101,-375.26690673828125,35999
40000,400,5106,100.0,765.7923481899999,7,0.05346474051475525,0.00073,0.9731619358062744,0.7274746894836426,-375.1346435546875,36999
41000,410,5245,100.0,766.2362235999999,7,0.05124934762716293,0.00073,1.6831103563308716,0.6674196720123291,-378.44683837890625,37999
42000,420,5384,100.0,765.9522726999999,7,0.049038369208574295,0.00073,-0.8758666515350342,0.6645815372467041,-378.8105773925781,38999
43000,430,5523,100.0,766.3123648799999,7,0.047922879457473755,0.00073,1.2035362720489502,0.9364582896232605,-377.2407531738281,39999
44000,440,5662,100.0,766.55454402,7,0.0472915880382061,0.00073,-0.3310302793979645,0.7156467437744141,-380.4928283691406,40999
45000,450,5802,100.0,766.7153852799999,7,0.046570323407649994,0.00073,-0.052408695220947266,1.9764981269836426,-380.1686706542969,41999
46000,460,5941,100.0,766.8346644500001,7,0.047833364456892014,0.00073,0.03858734667301178,0.9569119811058044,-380.2439270019531,42999
47000,470,6080,100.0,766.75396733,7,0.04749617725610733,0.00073,0.16071555018424988,0.931047260761261,-382.2557067871094,43999
48000,480,6218,100.0,766.9551080300001,7,0.04556496813893318,0.00073,-0.45125144720077515,0.7053395509719849,-382.2771911621094,44999
49000,490,6358,100.0,766.6339022599999,7,0.04217829927802086,0.00073,0.24032828211784363,1.6917946338653564,-380.95147705078125,45999
50000,500,6497,100.0,766.9120630599999,7,0.0418899729847908,0.00073,0.2518501579761505,0.7466235160827637,-379.9840393066406,46999
