time/time_elapsed,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates
403,12,5159,280,20.12,-12.465363380000001,0.00073,-90.75115966796875,8.686031341552734,-65.31739044189453,0.23320984840393066,2158
429,12,5348,290,20.23,-12.691650070000003,0.00073,-70.75794982910156,7.143429756164551,-74.09927368164062,0.20645461976528168,2347
458,12,5565,300,20.68,-12.647608260000002,0.00073,-63.33346176147461,7.422428131103516,-74.59056091308594,0.17926356196403503,2564
487,11,5778,310,20.97,-12.244674690000002,0.00073,-61.021148681640625,6.009833335876465,-76.94258880615234,0.15695986151695251,2777
517,11,5992,320,21.09,-12.060558030000003,0.00073,-55.84852600097656,5.011465549468994,-74.93480682373047,0.1379730999469757,2991
541,11,6164,330,20.82,-12.488553279999998,0.00073,-55.039798736572266,5.434067249298096,-77.50190734863281,0.12456979602575302,3163
568,11,6353,340,20.47,-12.73445927,0.00073,-48.75921630859375,5.20290470123291,-77.9968490600586,0.11125677078962326,3352
596,10,6546,350,20.08,-12.667026510000001,0.00073,-50.62949752807617,4.208630561828613,-77.7929458618164,0.09928274899721146,3545
622,10,6732,360,19.83,-12.84446734,0.00073,-40.02072525024414,3.6068968772888184,-78.2730941772461,0.0890217125415802,3731
664,10,7040,370,20.87,-13.035313930000003,0.00073,-41.20652770996094,3.755957841873169,-71.61080169677734,0.07506178319454193,4039
694,10,7256,380,20.97,-13.02037602,0.00073,-39.63014221191406,3.845736026763916,-70.40946197509766,0.0669097974896431,4255
720,10,7454,390,21.06,-13.15315527,0.00073,-35.17226028442383,3.342381000518799,-67.31942749023438,0.06043117865920067,4453
754,10,7701,400,21.36,-13.24752436,0.00073,-37.080501556396484,3.798917770385742,-52.83994674682617,0.05380246415734291,4700
785,10,7922,410,21.44,-13.644291550000002,0.00073,-36.40142822265625,4.693692207336426,-49.842811584472656,0.04901012033224106,4921
816,9,8144,420,21.52,-13.8571196,0.00073,-33.501163482666016,3.1316840648651123,-38.100440979003906,0.045064933598041534,5143
840,9,8318,430,21.54,-13.37955202,0.00073,-30.81729507446289,2.8443217277526855,-45.337955474853516,0.04214497655630112,5317
869,9,8526,440,21.73,-13.310246300000001,0.00073,-27.75383186340332,2.903562307357788,-42.814910888671875,0.03891410678625107,5525
897,9,8737,450,21.91,-13.384931620000001,0.00073,-29.678110122680664,2.958252191543579,-19.58427619934082,0.03645630180835724,5736
924,9,8929,460,21.97,-13.145278209999999,0.00073,-31.012264251708984,2.541193962097168,-30.94271469116211,0.034651052206754684,5928
954,9,9152,470,21.12,-12.947816469999996,0.00073,-31.627592086791992,2.5086898803710938,-21.523643493652344,0.03288440406322479,6151
984,9,9370,480,21.14,-12.864363209999999,0.00073,-30.000720977783203,3.850508213043213,-8.650534629821777,0.03177746385335922,6369
1010,9,9557,490,21.03,-12.282592059999999,0.00073,-32.36190414428711,3.2451438903808594,3.7660181522369385,0.031120553612709045,6556
1043,9,9789,500,20.88,-12.072322650000004,0.00073,-29.830005645751953,3.10298228263855,-13.989666938781738,0.030067194253206253,6788
1076,9,10015,510,20.93,-11.80405849,0.00073,-32.6430549621582,3.232450485229492,-11.434303283691406,0.02876923233270645,7014
1107,9,10225,520,20.81,-11.794829890000003,0.00073,-28.326539993286133,2.431847333908081,-27.64780616760254,0.027479661628603935,7224
1142,9,10458,530,21.4,-12.00995221,0.00073,-26.805864334106445,2.5749802589416504,-0.7577157020568848,0.026432283222675323,7457
1176,9,10682,540,21.56,-12.24740852,0.00073,-26.042156219482422,2.705173969268799,-9.989642143249512,0.02553771436214447,7681
1208,9,10908,550,21.71,-12.843153269999995,0.00073,-24.086816787719727,2.171351909637451,-2.4392213821411133,0.025666991248726845,7907
1233,8,11091,560,21.62,-12.980911239999998,0.00073,-28.414464950561523,2.7756481170654297,4.531886577606201,0.025736793875694275,8090
1259,8,11276,570,21.24,-12.88345369,0.00073,-24.93778419494629,2.8365683555603027,-10.922218322753906,0.02588913030922413,8275
1287,8,11481,580,21.11,-12.894815600000001,0.00073,-25.29480743408203,2.7596988677978516,-1.6524112224578857,0.02565786801278591,8480
1316,8,11694,590,21.37,-13.29644041,0.00073,-26.625293731689453,2.7518677711486816,-6.972415447235107,0.02519301325082779,8693
1347,8,11917,600,21.28,-13.50066495,0.00073,-26.258541107177734,2.7772297859191895,-4.402181625366211,0.02491600811481476,8916
1381,8,12164,610,21.49,-13.672600910000002,0.00073,-25.033954620361328,3.279165267944336,1.9582316875457764,0.024726903066039085,9163
1412,8,12395,620,21.7,-13.604848140000001,0.00073,-22.94550132751465,2.0338549613952637,-12.140491485595703,0.024257853627204895,9394
1438,8,12584,630,21.26,-13.67799344,0.00073,-20.731170654296875,1.991959571838379,-21.257244110107422,0.022563129663467407,9583
1466,8,12785,640,21.03,-13.20682359,0.00073,-21.45131492614746,1.918116569519043,-5.97109842300415,0.02164086513221264,9784
1499,8,13016,650,21.08,-13.24135934,0.00073,-20.344505310058594,1.6794650554656982,-6.310589790344238,0.02141694910824299,10015
1525,8,13212,660,21.21,-13.258143299999999,0.00073,-22.308815002441406,2.4231317043304443,14.098262786865234,0.02146497741341591,10211
1551,8,13395,670,21.19,-13.136862600000004,0.00073,-19.622676849365234,2.010133743286133,-0.406160831451416,0.021092835813760757,10394
1577,8,13588,680,21.07,-13.02612295,0.00073,-18.152599334716797,1.7615916728973389,-3.9859793186187744,0.020330777391791344,10587
1616,8,13871,690,21.77,-13.47673747,0.00073,-16.944833755493164,2.0327048301696777,0.4514499306678772,0.020262280479073524,10870
1648,8,14104,700,21.87,-13.607081449999999,0.00073,-17.5914306640625,1.5687341690063477,-6.051543712615967,0.018172387033700943,11103
1679,8,14331,710,21.67,-13.670296360000002,0.00073,-16.10875701904297,1.1722625494003296,3.695345401763916,0.01722724549472332,11330
1704,8,14513,720,21.18,-13.90708508,0.00073,-14.177315711975098,1.2244210243225098,-9.435969352722168,0.01790202409029007,11512
1733,8,14720,730,21.36,-13.75192232,0.00073,-15.9032564163208,1.80476713180542,-7.346100330352783,0.016845695674419403,11719
1769,8,14976,740,21.91,-14.064867840000002,0.00073,-14.744134902954102,1.5947930812835693,-5.108798503875732,0.016542918980121613,11975
1800,8,15203,750,21.87,-13.478423389999998,0.00073,-11.99693489074707,1.1552151441574097,-6.0456318855285645,0.015932848677039146,12202
1852,8,15551,760,23.39,-13.924866599999998,0.00073,-14.90640640258789,1.115175724029541,0.04311251640319824,0.015945320948958397,12550
1890,8,15815,770,24.2,-14.09221743,0.00073,-11.16594409942627,1.343503475189209,-12.610424995422363,0.014813704416155815,12814
1929,8,16093,780,25.05,-14.514073069999997,0.00073,-12.324009895324707,1.1093418598175049,20.551185607910156,0.014654264785349369,13092
1966,8,16350,790,24.79,-14.376430319999999,0.00073,-11.883986473083496,1.3334629535675049,-4.228545188903809,0.014671128243207932,13349
1997,8,16570,800,24.66,-14.97422748,0.00073,-10.476755142211914,1.4421132802963257,17.204631805419922,0.01382248941808939,13569
2032,8,16815,810,24.84,-14.999894499999998,0.00073,-9.057787895202637,1.0833914279937744,-3.4960694313049316,0.013937770389020443,13814
2066,8,17057,820,25.44,-14.886056210000001,0.00073,-8.475744247436523,1.0902891159057617,-3.972851276397705,0.013639308512210846,14056
2090,8,17233,830,25.13,-15.00776792,0.00073,-8.358680725097656,1.259690523147583,-5.805697441101074,0.013241840526461601,14232
2120,8,17445,840,24.69,-14.873930340000001,0.00073,-8.581433296203613,1.0654990673065186,-4.029369354248047,0.012940103188157082,14444
2147,8,17641,850,24.38,-14.872461379999999,0.00073,-9.282064437866211,0.8600407838821411,11.008999824523926,0.012307795695960522,14640
2177,8,17864,860,23.13,-14.295599599999997,0.00073,-6.8566813468933105,0.7953188419342041,-15.590503692626953,0.011930580250918865,14863
2226,8,18204,870,23.89,-14.80259304,0.00073,-7.633525371551514,0.9517394304275513,0.344321608543396,0.012086684815585613,15203
2265,8,18484,880,23.91,-14.86128673,0.00073,-7.22435188293457,0.6794989705085754,12.00448989868164,0.01097872480750084,15483
2292,8,18681,890,23.31,-14.17587894,0.00073,-5.9554667472839355,0.6933398246765137,-9.192323684692383,0.010809396393597126,15680
2322,8,18897,900,23.27,-13.387462789999999,0.00073,-5.27283239364624,0.6163995265960693,3.851341724395752,0.010283224284648895,15896
2353,8,19127,910,23.12,-13.19210739,0.00073,-4.969482421875,0.5610824823379517,0.3911171555519104,0.01002919115126133,16126
2380,8,19319,920,22.62,-13.02412374,0.00073,-5.074100971221924,0.5018383860588074,-2.4588687419891357,0.009699082002043724,16318
2412,8,19547,930,23.14,-12.862353930000001,0.00073,-4.797557830810547,0.4857408404350281,7.242064476013184,0.009713299572467804,16546
2452,8,19832,940,23.87,-12.904761070000001,0.00073,-5.184159755706787,0.7193954586982727,1.4712469577789307,0.009353834204375744,16831
