time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss
7,340,200.0,8695,64658,177.44420987,-552.306884765625,0.00073,0.11220317333936691,61657,4.198278427124023,87.99221801757812
7,350,200.0,9014,66658,213.98102237000003,-544.2672729492188,0.00073,0.10413525253534317,63657,0.7964974641799927,86.16378784179688
7,360,200.0,9325,68658,167.89938837000005,-518.2747802734375,0.00073,0.09961637854576111,65657,-2.9967291355133057,67.3055648803711
7,370,200.0,9635,70658,143.10318152000002,-515.0179443359375,0.00073,0.09810831397771835,67657,4.326635837554932,69.83521270751953
7,380,200.0,9943,72658,141.15590323,-509.1478271484375,0.00073,0.09732566028833389,69657,-0.05541481077671051,70.52738952636719
7,390,200.0,10254,74658,122.60431697999996,-480.26336669921875,0.00073,0.09309913218021393,71657,-0.5607887506484985,75.1733627319336
7,400,200.0,10575,76658,162.45090836,-494.75616455078125,0.00073,0.09182429313659668,73657,1.2738286256790161,66.48861694335938
7,410,200.0,10892,78658,262.56220079999997,-500.7169189453125,0.00073,0.09615936130285263,75657,-2.7169008255004883,56.74070739746094
7,420,200.0,11218,80658,248.15247853,-458.59014892578125,0.00073,0.08820559829473495,77657,1.1326228380203247,69.06272888183594
7,430,200.0,11536,82658,306.35232934,-435.341552734375,0.00073,0.0853203684091568,79657,4.4341888427734375,63.22841262817383
7,440,200.0,11851,84658,375.6371481199999,-470.2447509765625,0.00073,0.08118688315153122,81657,-7.461135387420654,58.0711669921875
7,450,200.0,12165,86658,438.10770101,-443.35003662109375,0.00073,0.07931394129991531,83657,-5.286824703216553,77.46292877197266
7,460,200.0,12477,88658,504.9994608999999,-439.332763671875,0.00073,0.07821867614984512,85657,-0.05348402261734009,74.19912719726562
7,470,200.0,12799,90658,504.13617548,-428.8246154785156,0.00073,0.07811790704727173,87657,1.7194020748138428,64.98066711425781
7,480,200.0,13111,92658,554.3267727,-428.4078063964844,0.00073,0.07289876788854599,89657,-1.902442216873169,60.077430725097656
7,490,200.0,13418,94658,620.2334263800001,-402.0909729003906,0.00073,0.07376762479543686,91657,-0.8394149541854858,58.021888732910156
7,500,200.0,13731,96658,644.8927022700001,-422.6699523925781,0.00073,0.07026725262403488,93657,-9.245185852050781,39.37529754638672
