time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/actor_loss
34,1000,28,-353.0709814,100.0,10,,,,,,
34,2000,57,-349.91220035000003,100.0,20,,,,,,
34,3000,86,-352.5403132,100.0,30,,,,,,
18,4000,215,-355.511287,100.0,40,0.49238818883895874,999,0.00073,10.279605865478516,-40.020362854003906,-241.70448303222656
14,5000,345,-357.51397189999994,100.0,50,0.271295428276062,1999,0.00073,25.163801193237305,-46.83507537841797,-347.7874450683594
12,6000,476,-356.60352505000003,100.0,60,0.18437868356704712,2999,0.00073,39.2042236328125,-19.7470760345459,-477.2882385253906
11,7000,609,-357.51482991428566,100.0,70,0.16590198874473572,3999,0.00073,73.40425109863281,0.5479581952095032,-617.9078369140625
10,8000,741,-355.6192969,100.0,80,0.19632947444915771,4999,0.00073,92.80952453613281,8.47520923614502,-815.2531127929688
10,9000,872,-357.2615273888889,100.0,90,0.2378726303577423,5999,0.00073,122.19921875,2.260685682296753,-1014.468505859375
9,10000,1004,-357.29669161,100.0,100,0.25628775358200073,6999,0.00073,192.93038940429688,1.510850429534912,-1136.06689453125
9,11000,1137,-358.08161429,100.0,110,0.26940053701400757,7999,0.00073,194.54281616210938,-0.8939270973205566,-1234.7637939453125
9,12000,1270,-358.16755392000005,100.0,120,0.2731032371520996,8999,0.00073,228.33538818359375,-0.4979168772697449,-1313.420654296875
9,13000,1401,-357.68843805000006,100.0,130,0.2714179754257202,9999,0.00073,225.88124084472656,0.6198261380195618,-1346.3421630859375
9,14000,1535,-358.0131430099999,100.0,140,0.2553890645503998,10999,0.00073,281.8270568847656,0.1571996808052063,-1341.9490966796875
8,15000,1668,-355.51826741,100.0,150,0.25054025650024414,11999,0.00073,238.24618530273438,-2.8384432792663574,-1295.200927734375
8,16000,1799,-357.19019739,100.0,160,0.23575365543365479,12999,0.00073,168.86444091796875,-3.0060622692108154,-1251.9813232421875
8,17000,1931,-356.01349601000004,100.0,170,0.23080526292324066,13999,0.00073,206.1905517578125,-0.3698159456253052,-1213.1776123046875
8,18000,2064,-356.61725126000005,100.0,180,0.21025745570659637,14999,0.00073,152.55941772460938,-1.9976519346237183,-1124.2679443359375
8,19000,2198,-354.69608366,100.0,190,0.19377635419368744,15999,0.00073,143.40992736816406,3.158034086227417,-1065.95751953125
8,20000,2334,-352.72173110999995,100.0,200,0.18049587309360504,16999,0.00073,115.50431060791016,-2.2541093826293945,-987.6249389648438
8,21000,2468,-353.72513997000004,100.0,210,0.16734585165977478,17999,0.00073,115.07266998291016,-1.2328662872314453,-899.4755859375
8,22000,2601,-354.47768616,100.0,220,0.14884604513645172,18999,0.00073,90.54017639160156,-9.00271224975586,-810.0938110351562
8,23000,2735,-353.10429446999996,100.0,230,0.13301052153110504,19999,0.00073,72.48394775390625,-1.7323031425476074,-724.9443969726562
8,24000,2868,-350.55131065999996,100.0,240,0.12333410233259201,20999,0.00073,60.392311096191406,-2.223538637161255,-639.2801513671875
8,25000,3003,-349.84497812000006,100.0,250,0.10895750671625137,21999,0.00073,62.33993911743164,0.9801457524299622,-573.9357299804688
8,26000,3138,-348.49484142,100.0,260,0.09343528002500534,22999,0.00073,32.796688079833984,-0.28573769330978394,-495.77349853515625
8,27000,3270,-347.88237324999994,100.0,270,0.07987725734710693,23999,0.00073,23.657482147216797,-4.090192794799805,-416.8912353515625
8,28000,3405,-347.92526915999997,100.0,280,0.06665658950805664,24999,0.00073,21.853376388549805,-2.67405366897583,-337.0375061035156
8,29000,3538,-347.09980769000003,100.0,290,0.05383297801017761,25999,0.00073,15.136165618896484,-3.863107204437256,-268.99810791015625
8,30000,3672,-347.71460865999995,100.0,300,0.04436294361948967,26999,0.00073,9.747763633728027,0.37310755252838135,-204.36802673339844
8,31000,3807,-345.70227096,100.0,310,0.034372828900814056,27999,0.00073,6.8153533935546875,-4.112683296203613,-143.52981567382812
8,32000,3940,-343.13216032,100.0,320,0.026052994653582573,28999,0.00073,4.598667144775391,2.2440874576568604,-90.56427764892578
8,33000,4073,-340.69938316,100.0,330,0.01828501932322979,29999,0.00073,2.5639166831970215,-5.018428325653076,-44.944908142089844
8,34000,4207,-337.1673115,100.0,340,0.012987392023205757,30999,0.00073,1.9335603713989258,3.7203073501586914,-7.533685207366943
8,35000,4340,-333.96946583,100.0,350,0.00889604538679123,31999,0.00073,1.742323875427246,-3.061586380004883,22.41356086730957
8,36000,4473,-326.59830505,100.0,360,0.006388385780155659,32999,0.00073,1.3355047702789307,-7.879607200622559,43.73371505737305
8,37000,4608,-322.59814302999996,100.0,370,0.005470246076583862,33999,0.00073,1.4165277481079102,1.4278138875961304,57.461326599121094
8,38000,4741,-316.41160619,100.0,380,0.005092815961688757,34999,0.00073,1.4733479022979736,-15.224376678466797,66.52397155761719
7,39000,4875,-312.29192471000005,100.0,390,0.005030627362430096,35999,0.00073,1.136044979095459,-3.5922698974609375,70.20396423339844
7,40000,5009,-306.72261666,100.0,400,0.004534668754786253,36999,0.00073,0.952735960483551,8.355324745178223,74.11888122558594
7,41000,5143,-301.4907567,100.0,410,0.0043387445621192455,37999,0.00073,0.9858703017234802,-5.087237358093262,74.8929672241211
7,42000,5278,-297.10055378,100.0,420,0.004266192205250263,38999,0.00073,0.910688042640686,-8.174322128295898,77.20614624023438
7,43000,5412,-293.90327804000003,100.0,430,0.004290962126106024,39999,0.00073,0.9027669429779053,-2.2741076946258545,79.50371551513672
