time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
2665,-289.91029665,45.02,8,22717,550,19716,2.5894174575805664,2.6156206130981445,0.00073,97.58650970458984,0.01740342378616333
2726,-284.20694626,45.01,8,23172,560,20171,5.448041915893555,3.2470903396606445,0.00073,97.40753173828125,0.017769182100892067
2785,-284.2665602200001,44.99,8,23620,570,20619,-9.62119197845459,3.1967010498046875,0.00073,100.30757141113281,0.017039082944393158
2846,-279.61991901,45.6,8,24080,580,21079,-3.3626255989074707,2.732758045196533,0.00073,101.143310546875,0.016954349353909492
2912,-280.62742779999996,45.74,8,24576,590,21575,6.588247299194336,2.345313549041748,0.00073,97.68495178222656,0.01698298379778862
2975,-282.41602879999994,46.29,8,25048,600,22047,0.5996507406234741,3.0941109657287598,0.00073,100.93519592285156,0.01648927852511406
3034,-286.43872166000006,46.28,8,25497,610,22496,-6.994941234588623,2.4653568267822266,0.00073,105.65558624267578,0.017057552933692932
3100,-279.23056988,46.52,8,25987,620,22986,4.916377067565918,2.8362863063812256,0.00073,99.70831298828125,0.017623865976929665
3164,-273.31118009,46.65,8,26470,630,23469,0.7071089744567871,3.0645334720611572,0.00073,100.01568603515625,0.017411965876817703
3226,-267.4838624,46.64,8,26935,640,23934,-18.39218521118164,2.578916549682617,0.00073,103.74195861816406,0.01721937768161297
3280,-267.8453839,46.26,8,27343,650,24342,5.137101173400879,3.5304031372070312,0.00073,97.56652069091797,0.016978830099105835
3339,-270.22061223000003,46.2,8,27792,660,24791,2.240786075592041,2.703084707260132,0.00073,98.56835174560547,0.01698821596801281
3402,-266.56777443000004,46.42,8,28262,670,25261,-7.1683220863342285,3.6921396255493164,0.00073,98.3974838256836,0.017060227692127228
3465,-268.01326466,46.59,8,28739,680,25738,-5.5158467292785645,2.8263092041015625,0.00073,99.10760498046875,0.017118215560913086
3530,-266.60427408,46.56,8,29232,690,26231,-2.290740966796875,3.8461945056915283,0.00073,95.54536437988281,0.017466207966208458
3595,-261.28361201,46.65,8,29713,700,26712,1.5102622509002686,3.2610301971435547,0.00073,97.35603332519531,0.0172256026417017
3653,-259.51010778999995,46.56,8,30153,710,27152,-13.635605812072754,3.4497621059417725,0.00073,97.6244888305664,0.017263296991586685
3716,-262.48164219,46.36,8,30623,720,27622,0.7130844593048096,3.1218976974487305,0.00073,98.88948822021484,0.016678424552083015
3780,-262.18309547,46.37,8,31107,730,28106,5.130049705505371,3.09688401222229,0.00073,101.61436462402344,0.016980351880192757
3844,-258.79731304000006,46.48,8,31583,740,28582,20.575481414794922,3.160554885864258,0.00073,99.7725601196289,0.01725415326654911
3909,-249.58219780999997,47.18,8,32061,750,29060,-7.183271408081055,3.094860076904297,0.00073,99.5081558227539,0.01744222082197666
3970,-251.94526039000002,47.26,8,32518,760,29517,2.5924768447875977,3.3093488216400146,0.00073,100.64535522460938,0.017064353451132774
4029,-255.13006253,47.01,8,32963,770,29962,-0.49554145336151123,3.919260025024414,0.00073,97.85697937011719,0.016652073711156845
