time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
230,5880,12,-27.328564609999997,464,32.48,0.17277605831623077,0.00073,-232.43028259277344,-40.51851272583008,57.51292419433594,2879
240,6326,12,-29.597777539999996,523,34.81,0.139230877161026,0.00073,-229.79144287109375,-38.96739196777344,16.762649536132812,3325
250,6668,11,-30.808538259999995,569,36.14,0.11919353157281876,0.00073,-229.1038360595703,-29.536041259765625,50.66905212402344,3667
260,6895,11,-30.79295172000001,598,36.34,0.10936348140239716,0.00073,-220.8832550048828,-30.700496673583984,14.887524604797363,3894
270,7289,11,-30.28991763,650,37.01,0.09266407787799835,0.00073,-218.17991638183594,-20.810720443725586,17.268098831176758,4288
280,7640,10,-28.91187171,697,35.52,0.08195624500513077,0.00073,-215.93934631347656,-20.58481216430664,14.721185684204102,4639
290,7889,10,-27.452141410000003,730,33.38,0.07571304589509964,0.00073,-208.54391479492188,-15.032690048217773,19.363706588745117,4888
300,8334,10,-27.881912940000003,790,35.06,0.07027094066143036,0.00073,-213.8946075439453,-19.214780807495117,15.102076530456543,5333
310,8815,10,-29.46987207,854,36.76,0.06209077313542366,0.00073,-200.7550048828125,-4.909579753875732,8.380524635314941,5814
320,9015,10,-28.256773169999995,880,36.11,0.06011659651994705,0.00073,-196.744873046875,-3.2352709770202637,91.43878173828125,6014
330,9216,10,-25.89407679,907,33.36,0.05836435779929161,0.00073,-191.7642364501953,-17.645015716552734,12.17154312133789,6215
340,9626,10,-25.302735159999997,961,33.0,0.05403172969818115,0.00073,-181.06878662109375,-4.2461652755737305,8.220314025878906,6625
350,10025,9,-26.54796628,1014,33.57,0.0494828075170517,0.00073,-172.94979858398438,-4.244589805603027,9.445518493652344,7024
360,10253,9,-26.400171240000006,1044,33.58,0.04739057645201683,0.00073,-163.3593292236328,-20.780433654785156,50.15986633300781,7252
370,10611,9,-26.64116308,1092,33.22,0.04349467158317566,0.00073,-157.22604370117188,2.4561359882354736,17.83108139038086,7610
380,10972,9,-26.80172999,1140,33.32,0.03856464847922325,0.00073,-149.34161376953125,13.61510181427002,9.53609848022461,7971
390,11390,9,-28.256927740000002,1197,35.01,0.03754353150725365,0.00073,-145.3214111328125,-15.199365615844727,4.966611862182617,8389
400,11890,9,-28.021939769999996,1266,35.56,0.03567824140191078,0.00073,-135.54010009765625,-3.8606326580047607,3.2974867820739746,8889
410,12390,9,-27.02171567,1334,35.75,0.03152216225862503,0.00073,-124.68416595458984,-5.442283630371094,6.040327072143555,9389
420,12890,9,-28.72505834,1402,38.75,0.02971646748483181,0.00073,-115.79996490478516,-8.575477600097656,2.4658379554748535,9889
430,13305,9,-28.565957530000006,1457,40.89,0.028614863753318787,0.00073,-108.979736328125,-0.4161510467529297,42.14647674560547,10304
440,13795,9,-28.219650999999995,1522,41.69,0.026445016264915466,0.00073,-101.3430404663086,-7.348184585571289,2.5411620140075684,10794
450,14165,9,-27.242014280000003,1573,41.4,0.023974433541297913,0.00073,-95.64620971679688,-0.9942523241043091,2.776158094406128,11164
