rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef
186.82,5535,7,43926,-2417.0009847,240,0.00073,-9649.2763671875,40925,0.703937292098999,15441.541015625,1.7346230745315552
186.77,5781,7,45746,-2305.74901874,250,0.00073,-7832.203125,42745,0.7010627388954163,11032.22265625,1.4339700937271118
186.77,6052,7,47746,-2269.287463,260,0.00073,-6305.349609375,44745,-0.11596131324768066,16399.59765625,1.1255830526351929
185.47,6295,7,49551,-2170.62226459,270,0.00073,-5138.06982421875,46550,0.22153030335903168,4455.482421875,0.9151803255081177
187.22,6564,7,51551,-1950.3300717899997,280,0.00073,-3912.32373046875,48550,-0.032756611704826355,3061.5107421875,0.7290849685668945
187.22,6834,7,53551,-1848.7039132999998,290,0.00073,-3091.927978515625,50550,-0.08168089389801025,2198.76025390625,0.5692000985145569
192.22,7105,7,55551,-1676.3044570900001,300,0.00073,-2521.267333984375,52550,1.804396152496338,1583.1907958984375,0.4770793616771698
192.22,7376,7,57551,-1535.9150868099998,310,0.00073,-2037.099609375,54550,1.0358315706253052,1064.347900390625,0.39716336131095886
193.05,7625,7,59398,-1336.6239374900001,320,0.00073,-1737.004638671875,56397,3.7374448776245117,840.1700439453125,0.34703782200813293
194.72,7892,7,61398,-951.1860387800001,330,0.00073,-1525.637939453125,58397,1.106621503829956,855.7562255859375,0.31179237365722656
194.72,8163,7,63398,-963.7462252400001,340,0.00073,-1371.55029296875,60397,0.259873628616333,714.746826171875,0.28988224267959595
196.52,8436,7,65398,-811.8935164,350,0.00073,-1215.7357177734375,62397,0.5111924409866333,517.2858276367188,0.2685706913471222
196.52,8712,7,67398,-554.17825799,360,0.00073,-1158.6114501953125,64397,-1.6693365573883057,616.4420166015625,0.24754057824611664
198.47,8990,7,69398,-343.62076548,370,0.00073,-1072.441162109375,66397,-1.1488462686538696,417.01220703125,0.23107723891735077
198.47,9269,7,71398,-266.73204051,380,0.00073,-961.3319091796875,68397,1.5265412330627441,345.8179931640625,0.20914725959300995
198.47,9548,7,73398,-201.62484186,390,0.00073,-905.489013671875,70397,1.3332966566085815,328.95458984375,0.19521428644657135
198.47,9831,7,75398,-136.79906465,400,0.00073,-839.83203125,72397,0.45654189586639404,281.73553466796875,0.18488605320453644
198.47,10116,7,77398,-54.47693787999999,410,0.00073,-824.8068237304688,74397,2.091161012649536,264.06243896484375,0.17463819682598114
200.0,10396,7,79398,-35.834405049999994,420,0.00073,-800.2064208984375,76397,-1.5319205522537231,246.18264770507812,0.1727244108915329
200.0,10675,7,81398,-20.502969109999995,430,0.00073,-785.633544921875,78397,0.46100449562072754,253.06103515625,0.1632905900478363
