rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss
-336.02665112,17000,8,170,100.0,2077,1.2343380451202393,13999,-5395.166015625,0.00073,2587.49755859375,0.08239564299583435
-336.53411797,18000,8,180,100.0,2217,1.3142787218093872,14999,-5872.90771484375,0.00073,2547.519287109375,0.25735530257225037
-337.40666869,19000,8,190,100.0,2355,1.3572059869766235,15999,-6230.3330078125,0.00073,3086.24853515625,-0.1596325933933258
-336.90294853,20000,8,200,100.0,2494,1.4209706783294678,16999,-6510.13720703125,0.00073,3150.9287109375,-0.825143575668335
-338.71276233,21000,7,210,100.0,2632,1.470583200454712,17999,-6863.14501953125,0.00073,3200.1943359375,-0.4605634808540344
-340.02506459999995,22000,7,220,100.0,2769,1.4949733018875122,18999,-7053.53076171875,0.00073,4329.89990234375,0.393170565366745
-339.79334168,23000,7,230,100.0,2908,1.5036420822143555,19999,-7189.2822265625,0.00073,3864.76025390625,0.3206940293312073
-342.31339519,24000,7,240,100.0,3047,1.525862216949463,20999,-7406.72021484375,0.00073,5502.6806640625,0.14922484755516052
-340.94700699000003,25000,7,250,100.0,3190,1.502091646194458,21999,-7524.68505859375,0.00073,4567.82373046875,-0.03171750158071518
-340.2639626400001,26000,7,260,100.0,3335,1.4948890209197998,22999,-7345.04736328125,0.00073,4612.462890625,0.6792659759521484
-340.58603655,27000,7,270,100.0,3480,1.464611291885376,23999,-7353.98828125,0.00073,3955.66845703125,-0.7694215178489685
-341.58456362000004,28000,7,280,100.0,3627,1.4381072521209717,24999,-7326.30419921875,0.00073,4091.208984375,0.19462531805038452
-340.6205162099999,29000,7,290,100.0,3771,1.3936814069747925,25999,-7311.337890625,0.00073,4040.44921875,0.3384608030319214
-341.06447976999993,30000,7,300,100.0,3914,1.3598109483718872,26999,-6940.24560546875,0.00073,4465.09375,-0.4968309700489044
-339.49547726,31000,7,310,100.0,4051,1.3109991550445557,27999,-6796.78955078125,0.00073,3300.93896484375,0.12196050584316254
-338.60770428,32000,7,320,100.0,4189,1.2162983417510986,28999,-6498.8935546875,0.00073,2763.8515625,-0.004396095871925354
-341.35388607,33000,7,330,100.0,4327,1.1886169910430908,29999,-6365.83740234375,0.00073,3291.518310546875,0.47991177439689636
-341.55193304,34000,7,340,100.0,4465,1.111457109451294,30999,-6006.2587890625,0.00073,2792.2783203125,0.11242988705635071
-343.71188938,35000,7,350,100.0,4600,1.0564961433410645,31999,-5712.9052734375,0.00073,2518.77197265625,-0.008369848132133484
-343.6554808,36000,7,360,100.0,4733,0.9819758534431458,32999,-5331.685546875,0.00073,1847.9208984375,-0.0397205613553524
-344.12560584000005,37000,7,370,100.0,4868,0.9079994559288025,33999,-5029.76171875,0.00073,1578.5556640625,0.0675811693072319
-342.2056663599999,38000,7,380,100.0,5002,0.8147866725921631,34999,-4798.57666015625,0.00073,1511.340576171875,-0.09205418825149536
-345.20763224,39000,7,390,100.0,5136,0.7701161503791809,35999,-4372.49755859375,0.00073,1300.213623046875,0.33234235644340515
-343.82170527999995,40000,7,400,100.0,5269,0.7061182260513306,36999,-4105.99853515625,0.00073,1166.4632568359375,-0.024379443377256393
-343.08282674000003,41000,7,410,100.0,5403,0.6283580660820007,37999,-3723.0244140625,0.00073,834.9054565429688,0.1893187165260315
