time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate
8438,9,40.59,882,280,-267.59599634999995,43.41847610473633,6.431723594665527,5437,0.044326797127723694,-25.95807647705078,0.00073
8785,9,40.22,930,290,-269.68425421,43.56864929199219,8.242314338684082,5784,0.0397600494325161,-27.77340316772461,0.00073
9411,9,42.6,1018,300,-255.0535271,43.320289611816406,6.7963972091674805,6410,0.035463329404592514,-7.819750785827637,0.00073
10065,9,45.63,1109,310,-249.59042070000004,40.64676284790039,6.775398254394531,7064,0.034593671560287476,1.7382680177688599,0.00073
10438,8,44.94,1165,320,-251.67461515000002,33.230735778808594,7.972890853881836,7437,0.035729680210351944,0.8411080837249756,0.00073
10798,8,44.52,1223,330,-252.22720829000002,43.83550262451172,10.823307037353516,7797,0.03518463671207428,2.36222505569458,0.00073
11226,8,45.12,1294,340,-246.20593269999998,40.21717071533203,10.960426330566406,8225,0.03585747629404068,2.375871181488037,0.00073
11868,8,45.86,1398,350,-233.08481773,29.256267547607422,9.037845611572266,8867,0.037828121334314346,1.2107372283935547,0.00073
12473,8,48.51,1485,360,-232.72739541,23.105159759521484,10.947078704833984,9472,0.04059027507901192,6.906528472900391,0.00073
13025,8,48.86,1563,370,-237.5957709,23.903705596923828,12.290668487548828,10024,0.04221976920962334,1.7207579612731934,0.00073
13720,8,52.82,1661,380,-232.98940269000002,3.160952091217041,15.505460739135742,10719,0.05029531568288803,0.9341638088226318,0.00073
14337,8,55.52,1749,390,-227.96381366000003,2.89265775680542,14.431705474853516,11336,0.053799692541360855,0.28458818793296814,0.00073
14840,8,54.29,1819,400,-233.39752073999992,-6.298666477203369,11.606746673583984,11839,0.054179199039936066,0.3279845714569092,0.00073
15390,8,53.25,1898,410,-231.80407126999998,-8.504335403442383,15.214117050170898,12389,0.05441061779856682,-2.3561973571777344,0.00073
16000,8,55.62,1986,420,-232.52775026999998,1.7315092086791992,13.671295166015625,12999,0.05432123318314552,-4.343211650848389,0.00073
16553,8,57.55,2065,430,-230.65676130999998,-11.33292007446289,16.60035514831543,13552,0.058378856629133224,1.2721140384674072,0.00073
