rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss
-20.411319099999996,4,198,40,19.8,10,,,,,,
-16.3365497,11,412,34,20.6,20,,,,,,
-13.991404333333337,19,631,32,21.033333333333335,30,,,,,,
-15.289088725,26,848,31,21.2,40,,,,,,
-15.174342339999999,33,1055,31,21.1,50,,,,,,
-15.423646566666665,40,1262,30,21.033333333333335,60,,,,,,
-15.120446014285719,47,1463,30,20.9,70,,,,,,
-15.4123827125,54,1667,30,20.8375,80,,,,,,
-15.097330244444443,61,1862,30,20.68888888888889,90,,,,,,
-15.291778520000001,67,2072,30,20.72,100,,,,,,
-14.54737179,74,2273,30,20.75,110,,,,,,
-15.01031801,81,2476,30,20.64,120,,,,,,
-15.090296069999997,88,2683,30,20.52,130,,,,,,
-14.470834680000003,95,2884,30,20.36,140,,,,,,
-14.206163330000003,110,3080,27,20.25,150,0.00073,-58.09247589111328,-3.7059428691864014,79,0.9446531534194946,99.32991027832031
-15.222906479999999,141,3305,23,20.43,160,0.00073,-122.75518035888672,-13.106403350830078,304,0.8056052923202515,93.09846496582031
-15.716907069999998,181,3595,19,21.32,170,0.00073,-176.41134643554688,-22.791461944580078,594,0.659220278263092,22.137928009033203
-16.85733778,250,4095,16,24.28,180,0.00073,-226.26541137695312,-29.715770721435547,1094,0.48175397515296936,16.256898880004883
-19.016976389999996,315,4564,14,27.02,190,0.00073,-235.18626403808594,-40.902061462402344,1563,0.36497724056243896,20.67804718017578
-19.730780629999998,373,4978,13,29.06,200,0.00073,-234.71595764160156,-42.635257720947266,1977,0.28451475501060486,124.14866638183594
-21.28964539,427,5369,12,30.96,210,0.00073,-222.50799560546875,-48.98072052001953,2368,0.22531092166900635,13.297342300415039
-23.17612563,497,5869,11,33.93,220,0.00073,-207.65322875976562,-48.57780456542969,2868,0.1709415465593338,9.721888542175293
-26.278416960000005,556,6284,11,36.01,230,0.00073,-199.60804748535156,-43.8363151550293,3283,0.1368943303823471,9.640052795410156
-25.771594280000002,594,6554,11,36.7,240,0.00073,-200.94189453125,-42.03927230834961,3553,0.12121610343456268,15.789685249328613
-27.11481552,645,6919,10,38.39,250,0.00073,-196.7037811279297,-15.563713073730469,3918,0.10226943343877792,15.58970832824707
-26.628865780000005,677,7148,10,38.43,260,0.00073,-190.4319610595703,-24.53395652770996,4147,0.09318678081035614,14.595369338989258
-27.594944859999995,736,7562,10,39.67,270,0.00073,-190.4466094970703,-22.384395599365234,4561,0.0802115872502327,15.402327537536621
-26.22767969,764,7758,10,36.63,280,0.00073,-185.69505310058594,-32.03173828125,4757,0.07535997033119202,17.056400299072266
-25.416198329999997,827,8209,9,36.45,290,0.00073,-178.52378845214844,-14.771270751953125,5208,0.06592050194740295,7.255490303039551
-26.218503249999998,880,8591,9,36.13,300,0.00073,-170.89810180664062,-6.732671737670898,5590,0.06013960763812065,13.694032669067383
-24.944868890000002,913,8831,9,34.62,310,0.00073,-170.64801025390625,-2.8209657669067383,5830,0.05656925588846207,13.080403327941895
-23.67964227,954,9122,9,32.53,320,0.00073,-157.595947265625,1.1823861598968506,6121,0.05384902283549309,10.717325210571289
-10.530712119999993,1023,9622,9,33.38,330,0.00073,-153.10462951660156,-8.110254287719727,6621,0.050399865955114365,9.72315788269043
-11.677542639999999,1088,10088,9,35.34,340,0.00073,-156.28697204589844,-9.480239868164062,7087,0.049863070249557495,10.48977279663086
-11.42405285,1135,10424,9,35.05,350,0.00073,-156.61407470703125,10.439531326293945,7423,0.0472494475543499,17.302391052246094
-9.33124288,1174,10706,9,35.58,360,0.00073,-158.57733154296875,6.0575714111328125,7705,0.04993218928575516,12.07996940612793
-9.028190519999999,1225,11076,9,35.14,370,0.00073,-160.0133056640625,0.7552425861358643,8075,0.05142318457365036,13.72053337097168
-3.2989132899999976,1288,11521,8,37.63,380,0.00073,-171.26736450195312,-8.378890037536621,8520,0.05434815213084221,17.239768981933594
-0.3156027899999972,1350,11965,8,37.56,390,0.00073,-181.69366455078125,3.315643548965454,8964,0.0588453970849514,31.314620971679688
-0.3780149999999967,1416,12441,8,38.5,400,0.00073,-190.87693786621094,-2.336948871612549,9440,0.06306997686624527,23.756572723388672
3.645985960000001,1469,12824,8,39.93,410,0.00073,-202.59628295898438,-8.083721160888672,9823,0.07072886824607849,26.730785369873047
3.3239268899999996,1519,13186,8,40.64,420,0.00073,-207.55581665039062,3.177957057952881,10185,0.07333897799253464,20.036956787109375
2.20447154,1573,13570,8,39.48,430,0.00073,-237.55958557128906,13.857196807861328,10569,0.07522336393594742,20.246379852294922
2.9361478100000005,1609,13829,8,37.41,440,0.00073,-240.43048095703125,4.241520404815674,10828,0.0788830816745758,38.19121551513672
2.418088860000001,1646,14101,8,36.77,450,0.00073,-247.5363311767578,5.158641338348389,11100,0.0811571404337883,80.34252166748047
0.5373022599999991,1705,14520,8,38.14,460,0.00073,-271.30560302734375,5.116261005401611,11519,0.08523594588041306,33.63855743408203
2.587690079999999,1775,15020,8,39.44,470,0.00073,-277.4609375,0.6442768573760986,12019,0.08478397130966187,33.52911376953125
-3.4290499899999984,1842,15498,8,39.77,480,0.00073,-306.7816467285156,-0.42063695192337036,12497,0.08579448610544205,40.33660888671875
-5.59993622,1906,15961,8,39.96,490,0.00073,-313.13165283203125,3.9147393703460693,12960,0.08608710020780563,31.65243911743164
-3.62509607,1936,16175,8,37.34,500,0.00073,-314.7115173339844,-3.560106039047241,13174,0.08548017591238022,80.50859069824219
0.39978379999999786,1971,16415,8,35.91,510,0.00073,-319.0578308105469,-0.05842721462249756,13414,0.08859709650278091,45.145599365234375
0.9272060399999995,2005,16661,8,34.75,520,0.00073,-335.2971496582031,-4.922808647155762,13660,0.08857516944408417,38.800506591796875
-4.508404649999999,2064,17080,8,35.1,530,0.00073,-345.4288330078125,8.647746086120605,14079,0.09478363394737244,43.33562469482422
-4.2157703600000005,2132,17560,8,37.31,540,0.00073,-364.345458984375,2.8508243560791016,14559,0.09408002346754074,38.88026428222656
-4.7048679799999995,2198,18034,8,39.33,550,0.00073,-366.60833740234375,-2.1783010959625244,15033,0.09116235375404358,45.518043518066406
5.662337919999999,2263,18490,8,39.7,560,0.00073,-369.57281494140625,-3.367718458175659,15489,0.09664404392242432,63.18182373046875
5.512495049999997,2327,18956,8,39.36,570,0.00073,-381.0914306640625,1.8832722902297974,15955,0.09721596539020538,42.74890899658203
7.886686370000001,2388,19388,8,38.9,580,0.00073,-381.7938537597656,3.7867543697357178,16387,0.09552295506000519,57.15831756591797
10.935203219999998,2452,19822,8,38.61,590,0.00073,-373.02294921875,-4.701336860656738,16821,0.09663913398981094,52.090965270996094
13.019143609999999,2510,20216,8,40.41,600,0.00073,-373.8544921875,-1.474061369895935,17215,0.08906695246696472,45.68830490112305
14.881566359999997,2581,20716,8,43.01,610,0.00073,-384.91461181640625,0.5276048183441162,17715,0.09316296875476837,46.61689376831055
17.78950306,2629,21055,8,43.94,620,0.00073,-387.3398132324219,-6.656663417816162,18054,0.09430284053087234,72.51124572753906
16.900378909999997,2668,21333,7,42.53,630,0.00073,-387.68023681640625,-4.075781345367432,18332,0.09256089478731155,67.46351623535156
20.366808449999997,2718,21688,7,41.28,640,0.00073,-397.2850341796875,2.8875362873077393,18687,0.08969803899526596,69.4765396118164
20.551372640000004,2780,22134,7,41.0,650,0.00073,-403.4923095703125,2.6486010551452637,19133,0.0975864976644516,56.115909576416016
20.488932759999997,2847,22609,7,41.19,660,0.00073,-391.9739685058594,-0.4991760849952698,19608,0.09212159365415573,47.20110321044922
20.0052076,2891,22924,7,39.68,670,0.00073,-401.7532043457031,-4.358248710632324,19923,0.09390079230070114,64.06388092041016
21.157211639999996,2925,23164,7,37.76,680,0.00073,-401.4076232910156,-7.77016019821167,20163,0.09488660097122192,141.32086181640625
18.788088479999995,2956,23389,7,35.67,690,0.00073,-395.343994140625,4.9710211753845215,20388,0.0975237712264061,90.23991394042969
17.45135636,2996,23669,7,34.53,700,0.00073,-397.4740905761719,5.225994110107422,20668,0.0962364673614502,71.75550842285156
7.16198777,3042,23996,7,32.8,710,0.00073,-393.9456481933594,-4.919075012207031,20995,0.09558487683534622,73.25146484375
3.5548743999999988,3087,24318,7,32.63,720,0.00073,-410.5117492675781,-0.3003111183643341,21317,0.09539064019918442,84.58950805664062
7.540371820000002,3153,24795,7,34.62,730,0.00073,-401.7840270996094,3.5323243141174316,21794,0.09537776559591293,122.49909973144531
2.2264057800000003,3208,25194,7,35.06,740,0.00073,-414.33050537109375,4.794538497924805,22193,0.0934196189045906,67.1446533203125
