time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss
794,19,-30.1094396,10,41,79.4,,,,,,
1734,43,-28.205675000000003,20,39,86.7,,,,,,
2663,67,-27.561761433333334,30,39,88.76666666666667,,,,,,
3553,151,-26.923557325,40,23,88.825,0.6730086803436279,552,1.6393617391586304,-3.1151723861694336,0.00073,-25.144451141357422
4553,288,-24.99799134,50,15,91.06,0.3290747404098511,1552,1.0338780879974365,-8.647920608520508,0.00073,-36.84365463256836
5553,423,-24.025572166666667,60,13,92.55,0.1597091108560562,2552,0.20163074135780334,-13.919023513793945,0.00073,-30.429546356201172
6553,559,-22.155893257142857,70,11,93.61428571428571,0.07830572128295898,3552,0.09871669113636017,-18.67169761657715,0.00073,-21.385053634643555
7553,696,-20.417056300000002,80,10,94.4125,0.040009040385484695,4552,0.10340456664562225,-15.796411514282227,0.00073,-13.616599082946777
8553,833,-19.343237555555557,90,10,95.03333333333333,0.02181229740381241,5552,0.04553530365228653,-20.832477569580078,0.00073,-8.640546798706055
9553,971,-17.36983697,100,9,95.53,0.012952405959367752,6552,0.11696995794773102,-4.848465919494629,0.00073,-5.397968292236328
10553,1109,-15.248981350000003,110,9,97.59,0.009868605062365532,7552,0.11257803440093994,-4.634949207305908,0.00073,-5.028665065765381
11553,1247,-13.158152160000002,120,9,98.19,0.008687143214046955,8552,0.2583218216896057,-1.932753086090088,0.00073,-4.670207500457764
12553,1385,-9.07345091,130,9,98.9,0.008560617454349995,9552,0.41363245248794556,-1.276513695716858,0.00073,-5.201469898223877
13553,1524,-6.23470521,140,8,100.0,0.009186063893139362,10552,0.34820640087127686,-0.9739117622375488,0.00073,-7.111126899719238
14553,1661,-1.62251121,150,8,100.0,0.014674829319119453,11552,0.3522520959377289,2.475191593170166,0.00073,-10.207201957702637
15553,1801,4.708316069999999,160,8,100.0,0.02029041200876236,12552,0.5000197887420654,2.1927084922790527,0.00073,-14.024944305419922
16553,1940,7.81793184,170,8,100.0,0.023535050451755524,13552,0.6805849075317383,0.5984871983528137,0.00073,-18.529958724975586
17553,2079,13.167503740000003,180,8,100.0,0.03290944918990135,14552,0.8626877069473267,2.001293897628784,0.00073,-27.451929092407227
18553,2219,18.95614296,190,8,100.0,0.034365102648735046,15552,1.0814253091812134,1.4352779388427734,0.00073,-32.412200927734375
19553,2357,21.190775660000003,200,8,100.0,0.037442609667778015,16552,1.3491554260253906,0.9396353960037231,0.00073,-39.84840393066406
20553,2497,32.74152134,210,8,100.0,0.03703543543815613,17552,1.4985530376434326,1.7505226135253906,0.00073,-40.9639892578125
21553,2637,43.21860954999999,220,8,100.0,0.046815112233161926,18552,2.450228691101074,1.1674983501434326,0.00073,-50.072532653808594
22553,2777,61.73537685,230,8,100.0,0.057434093207120895,19552,2.396135091781616,-0.3165258765220642,0.00073,-56.20417785644531
23553,2916,66.68189765,240,8,100.0,0.06170225888490677,20552,3.2472145557403564,0.3825594484806061,0.00073,-68.07383728027344
24553,3056,72.01835326,250,8,100.0,0.062134698033332825,21552,5.151654243469238,-0.0923348143696785,0.00073,-75.82135009765625
25553,3197,86.32754754,260,7,100.0,0.06526761502027512,22552,4.083235740661621,1.035230278968811,0.00073,-82.02193450927734
26553,3338,94.26736726000001,270,7,100.0,0.06783726811408997,23552,5.227309226989746,0.6441516876220703,0.00073,-88.94058990478516
27553,3478,95.22284690999997,280,7,100.0,0.06847234070301056,24552,5.679416656494141,0.8184463977813721,0.00073,-94.9373550415039
28553,3619,105.01925180000002,290,7,100.0,0.07383372634649277,25552,5.048306465148926,-0.18371786177158356,0.00073,-97.75891876220703
29553,3761,111.16301643999999,300,7,100.0,0.07385409623384476,26552,6.209420204162598,0.4426368474960327,0.00073,-102.82615661621094
30553,3901,103.1769456,310,7,100.0,0.07621884346008301,27552,6.922845363616943,-0.503490686416626,0.00073,-101.66608428955078
31553,4042,102.66841040000001,320,7,100.0,0.07697230577468872,28552,7.704888343811035,0.8294184803962708,0.00073,-104.28875732421875
32553,4184,103.29869154,330,7,100.0,0.0807233676314354,29552,6.734729766845703,0.03661268949508667,0.00073,-107.16265869140625
33553,4326,117.11165752999999,340,7,100.0,0.08188388496637344,30552,7.390862464904785,-0.28509584069252014,0.00073,-114.23539733886719
34553,4467,122.26061631,350,7,100.0,0.078000009059906,31552,8.25350284576416,0.3859003782272339,0.00073,-104.32508850097656
35553,4609,114.12139413000001,360,7,100.0,0.082648366689682,32552,7.034820556640625,0.056762054562568665,0.00073,-110.88420104980469
36553,4750,119.53483070000001,370,7,100.0,0.08453606814146042,33552,7.691990375518799,0.7454362511634827,0.00073,-116.05525207519531
37549,4891,122.71566028,380,7,99.96,0.07997491955757141,34548,8.431475639343262,-0.0015207380056381226,0.00073,-122.29815673828125
38549,5032,134.8446323,390,7,99.96,0.08382218331098557,35548,7.643681049346924,-0.2354850172996521,0.00073,-125.90299987792969
39549,5177,134.87258905000002,400,7,99.96,0.07989294826984406,36548,8.756839752197266,1.346124291419983,0.00073,-117.72608184814453
40549,5319,144.33236984999996,410,7,99.96,0.07808329164981842,37548,9.903278350830078,0.35169947147369385,0.00073,-122.46766662597656
41549,5462,143.84313163000002,420,7,99.96,0.0779227539896965,38548,8.472437858581543,-0.8124368190765381,0.00073,-126.66915893554688
42549,5601,139.32492372,430,7,99.96,0.08108998090028763,39548,8.37645149230957,-0.28288865089416504,0.00073,-125.6354751586914
43549,5744,140.81630722,440,7,99.96,0.08188214898109436,40548,8.175675392150879,0.7680244445800781,0.00073,-124.70814514160156
44549,5885,147.81835540999998,450,7,99.96,0.07709914445877075,41548,7.127635955810547,-0.12933598458766937,0.00073,-122.76807403564453
45549,6027,156.42137973,460,7,99.96,0.0751846507191658,42548,11.578459739685059,-0.10592222213745117,0.00073,-125.149169921875
46549,6168,161.90447379,470,7,99.96,0.0789228305220604,43548,9.561927795410156,-0.4493047595024109,0.00073,-122.2142105102539
47549,6312,169.64315818999995,480,7,100.0,0.08373759686946869,44548,10.420181274414062,0.12257272005081177,0.00073,-123.51980590820312
48549,6456,169.31609082000003,490,7,100.0,0.08678562939167023,45548,8.810985565185547,0.5810855627059937,0.00073,-130.68060302734375
49549,6597,174.02124132,500,7,100.0,0.09121392667293549,46548,10.492088317871094,-0.5542011260986328,0.00073,-136.4916534423828
50549,6740,186.85847434000004,510,7,100.0,0.08923808485269547,47548,8.746777534484863,0.8384541869163513,0.00073,-136.7344207763672
51549,6881,186.7625831,520,7,100.0,0.09111644327640533,48548,9.81905460357666,0.36189383268356323,0.00073,-142.51856994628906
52549,7022,200.82203138999998,530,7,100.0,0.0914478749036789,49548,11.097489356994629,0.6557155847549438,0.00073,-123.76947784423828
53549,7163,211.42862765000007,540,7,100.0,0.09264658391475677,50548,10.461552619934082,0.17704910039901733,0.00073,-137.41468811035156
54549,7306,206.75107358000002,550,7,100.0,0.08795326203107834,51548,11.36860466003418,-1.0766205787658691,0.00073,-137.61167907714844
55549,7447,211.78994329,560,7,100.0,0.08706586807966232,52548,9.797810554504395,0.2777789235115051,0.00073,-138.65240478515625
