rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss
41.05,5954,1160,46384,7,-352.69840117,-4.115072250366211,4.90592098236084,0.018260639160871506,0.00073,43383,122.10009765625
41.15,6014,1170,46810,7,-352.03854723999996,3.8723466396331787,4.980259895324707,0.01827363483607769,0.00073,43809,113.69969940185547
41.77,6079,1180,47252,7,-350.98218405,9.84922981262207,7.00750732421875,0.017632607370615005,0.00073,44251,118.82853698730469
41.98,6139,1190,47683,7,-355.7518446,-7.50972843170166,5.811459064483643,0.017749670892953873,0.00073,44682,121.99224853515625
41.65,6197,1200,48093,7,-357.2558343,2.7075424194335938,7.018143177032471,0.017667241394519806,0.00073,45092,121.03742980957031
41.2,6252,1210,48468,7,-354.3248301299999,5.620426177978516,6.469216346740723,0.017480088397860527,0.00073,45467,121.55855560302734
41.42,6309,1220,48873,7,-356.77859372,-1.045954704284668,4.695560455322266,0.017041366547346115,0.00073,45872,120.62545776367188
41.54,6364,1230,49252,7,-353.75964387999994,11.390863418579102,6.203676700592041,0.01689126156270504,0.00073,46251,123.16900634765625
41.56,6421,1240,49650,7,-352.9900308999999,1.2893338203430176,5.250249862670898,0.017219247296452522,0.00073,46649,120.54043579101562
41.15,6475,1250,50031,7,-353.56992842000005,1.6764777898788452,5.5052995681762695,0.017242811620235443,0.00073,47030,121.13724517822266
40.74,6536,1260,50458,7,-347.04083892999995,-1.588552474975586,5.085208415985107,0.017432859167456627,0.00073,47457,119.93829345703125
41.12,6601,1270,50922,7,-341.5197867000001,-4.486299991607666,4.143515586853027,0.01733577251434326,0.00073,47921,122.1119384765625
41.03,6662,1280,51355,7,-337.72945161,3.40922474861145,5.426060676574707,0.01732558384537697,0.00073,48354,121.82817840576172
40.63,6717,1290,51746,7,-331.52991499,11.105756759643555,5.821852684020996,0.01712374947965145,0.00073,48745,122.8897705078125
40.19,6768,1300,52112,7,-330.86968911,-3.9300827980041504,5.258227825164795,0.01702122576534748,0.00073,49111,126.08023071289062
40.68,6829,1310,52536,7,-337.03117101000004,1.5098531246185303,5.232146263122559,0.017305931076407433,0.00073,49535,124.76425170898438
40.64,6885,1320,52937,7,-331.96210809999997,0.3683912754058838,6.091061592102051,0.017406735569238663,0.00073,49936,121.09025573730469
41.07,6945,1330,53359,7,-335.52067963999997,-5.631521701812744,6.129383563995361,0.017206721007823944,0.00073,50358,122.40290832519531
41.18,7004,1340,53768,7,-338.42103158000003,3.3971900939941406,5.976837158203125,0.017435245215892792,0.00073,50767,123.37934112548828
41.56,7065,1350,54187,7,-331.83636649,12.631829261779785,6.032647132873535,0.017004448920488358,0.00073,51186,123.58131408691406
41.62,7126,1360,54620,7,-341.05837032000005,-2.4714767932891846,4.461431980133057,0.017360571771860123,0.00073,51619,125.72615051269531
40.95,7183,1370,55017,7,-343.0977738900001,3.9598007202148438,6.133574962615967,0.01662583462893963,0.00073,52016,122.49353790283203
40.89,7244,1380,55444,7,-342.5655444099999,0.3327261507511139,4.847898483276367,0.017711583524942398,0.00073,52443,122.54718017578125
41.49,7307,1390,55895,7,-346.47412347000005,3.142038345336914,6.008870601654053,0.017198780551552773,0.00073,52894,120.4000015258789
41.92,7365,1400,56304,7,-343.77516550000007,-2.037986993789673,6.761651039123535,0.017486250028014183,0.00073,53303,125.08708190917969
41.32,7418,1410,56668,7,-337.58922026999994,-2.573000431060791,5.499554634094238,0.017522064968943596,0.00073,53667,125.78661346435547
40.84,7469,1420,57021,7,-340.26415266,1.149493932723999,5.63763952255249,0.017779624089598656,0.00073,54020,121.18075561523438
40.84,7529,1430,57443,7,-339.39754244000005,-7.041275978088379,4.919003486633301,0.017931772395968437,0.00073,54442,128.1341094970703
41.27,7594,1440,57895,7,-338.21923119999997,0.5810064077377319,7.553411483764648,0.017814239487051964,0.00073,54894,122.16226959228516
41.74,7660,1450,58361,7,-342.32427636,0.08693993091583252,5.887505531311035,0.01759636588394642,0.00073,55360,124.5203857421875
42.01,7726,1460,58821,7,-332.73326148,3.981025218963623,5.768124103546143,0.017984632402658463,0.00073,55820,125.12816619873047
43.01,7797,1470,59318,7,-335.45345747999994,-15.34746265411377,5.327561378479004,0.018336234614253044,0.00073,56317,121.78109741210938
43.15,7860,1480,59759,7,-334.58133101,3.6008718013763428,5.427660942077637,0.017666473984718323,0.00073,56758,121.65913391113281
43.43,7924,1490,60238,7,-332.71983979000004,10.934255599975586,5.582424163818359,0.01800655759871006,0.00073,57237,122.94976806640625
43.9,7986,1500,60694,7,-332.38420965999995,0.532214879989624,5.4378461837768555,0.017742333933711052,0.00073,57693,122.08743286132812
44.32,8044,1510,61100,7,-331.25587987,-0.913960874080658,6.028894901275635,0.018185587599873543,0.00073,58099,121.01566314697266
45.49,8113,1520,61570,7,-332.41863022000007,-8.113576889038086,5.419586658477783,0.01805238053202629,0.00073,58569,126.60298156738281
45.0,8166,1530,61943,7,-328.05296318999996,6.063675403594971,5.510492324829102,0.01766316406428814,0.00073,58942,123.52812194824219
44.69,8226,1540,62364,7,-324.36496411,-0.1541382074356079,5.168846130371094,0.01762375608086586,0.00073,59363,123.13568115234375
