rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/actor_loss
100.0,-357.1220004,29,10,1000,33,,,,,,
100.0,-361.072056,29,20,2000,68,,,,,,
100.0,-360.9524047333334,29,30,3000,102,,,,,,
100.0,-361.981137825,16,40,4000,246,0.00073,0.4956851899623871,8.588460922241211,999,-38.29182434082031,-253.3241729736328
100.0,-361.6958757,12,50,5000,414,0.00073,0.2703969180583954,21.45758819580078,1999,-46.3613395690918,-352.3233642578125
100.0,-362.7486018166666,10,60,6000,552,0.00073,0.18160422146320343,41.8734016418457,2999,-13.991219520568848,-474.8094177246094
100.0,-360.43227618571433,10,70,7000,689,0.00073,0.17361800372600555,76.5760498046875,3999,4.346955299377441,-652.2409057617188
100.0,-360.5991034375,9,80,8000,824,0.00073,0.19387423992156982,120.01324462890625,4999,7.360448360443115,-812.5586547851562
100.0,-360.01794181111103,9,90,9000,959,0.00073,0.22672274708747864,155.95262145996094,5999,-3.352189779281616,-968.0994262695312
100.0,-361.33149704999994,9,100,10000,1095,0.00073,0.2383541613817215,178.60595703125,6999,-0.37312060594558716,-1084.68896484375
100.0,-361.00194604999996,8,110,11000,1231,0.00073,0.24515701830387115,213.14663696289062,7999,-3.018005847930908,-1149.1243896484375
100.0,-362.5741372399999,8,120,12000,1367,0.00073,0.24046871066093445,179.4208221435547,8999,2.44620418548584,-1206.7513427734375
100.0,-362.75143519,8,130,13000,1503,0.00073,0.22943124175071716,197.76889038085938,9999,4.051595687866211,-1209.4783935546875
100.0,-361.2827853799999,8,140,14000,1639,0.00073,0.22169271111488342,186.3146514892578,10999,-3.0161709785461426,-1182.6922607421875
100.0,-361.89888998000004,8,150,15000,1776,0.00073,0.20428341627120972,130.16616821289062,11999,0.9135263562202454,-1126.970458984375
100.0,-361.27555815,8,160,16000,1912,0.00073,0.18706928193569183,149.72503662109375,12999,-1.0628600120544434,-1025.211181640625
100.0,-362.93023092,8,170,17000,2050,0.00073,0.1632567197084427,104.69961547851562,13999,-4.868630886077881,-919.68212890625
100.0,-363.97121203,8,180,18000,2188,0.00073,0.1472790241241455,82.50016784667969,14999,-8.152177810668945,-813.0652465820312
100.0,-365.8109013799999,8,190,19000,2327,0.00073,0.12363015860319138,62.28191375732422,15999,1.614001750946045,-717.5061645507812
100.0,-362.95894501999993,8,200,20000,2467,0.00073,0.10919126868247986,52.39365005493164,16999,4.862013816833496,-615.64892578125
100.0,-362.83819090000003,8,210,21000,2604,0.00073,0.09124498814344406,48.15492248535156,17999,-2.514927864074707,-517.4536743164062
