time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates
27000,100.0,638.18799683,270,3419,7,12.7996187210083,-299.3544006347656,0.00073,-0.12031210958957672,0.19565518200397491,23999
28000,100.0,648.2594379,280,3560,7,17.044462203979492,-310.7683410644531,0.00073,0.19710543751716614,0.19073541462421417,24999
29000,100.0,655.56515093,290,3700,7,12.149311065673828,-307.312255859375,0.00073,0.1709827482700348,0.18844279646873474,25999
30000,100.0,663.84967181,300,3842,7,14.925638198852539,-309.4501647949219,0.00073,0.02895616553723812,0.187906414270401,26999
31000,100.0,668.2462248699999,310,3982,7,9.709392547607422,-308.63128662109375,0.00073,0.37627556920051575,0.18718287348747253,27999
32000,100.0,673.64193155,320,4124,7,14.168296813964844,-311.64697265625,0.00073,-0.1174386739730835,0.1877059042453766,28999
33000,100.0,676.46354289,330,4265,7,11.702384948730469,-306.9354248046875,0.00073,0.10150568187236786,0.1897171139717102,29999
34000,100.0,681.43095841,340,4411,7,11.162944793701172,-317.32940673828125,0.00073,0.21088385581970215,0.18792539834976196,30999
35000,100.0,678.9551252700002,350,4553,7,12.066725730895996,-313.4665832519531,0.00073,-0.46712183952331543,0.18619368970394135,31999
36000,100.0,678.5264559100002,360,4695,7,10.035913467407227,-311.718017578125,0.00073,0.4782678484916687,0.18669243156909943,32999
37000,100.0,687.5688897,370,4837,7,11.7671480178833,-315.20556640625,0.00073,-0.008715540170669556,0.18459290266036987,33999
38000,100.0,693.9363532699999,380,4978,7,10.121711730957031,-312.19927978515625,0.00073,0.48915544152259827,0.18054959177970886,34999
39000,100.0,688.08710561,390,5120,7,10.438117980957031,-318.9891662597656,0.00073,0.3422171473503113,0.17915967106819153,35999
40000,100.0,690.37365294,400,5262,7,10.834949493408203,-315.88116455078125,0.00073,-0.19207070767879486,0.17577850818634033,36999
41000,100.0,694.0830338400001,410,5405,7,12.115842819213867,-319.3011169433594,0.00073,0.7608471512794495,0.1735544204711914,37999
42000,100.0,692.4954830899999,420,5547,7,10.029449462890625,-322.21240234375,0.00073,-0.16142451763153076,0.170458123087883,38999
43000,100.0,693.85032912,430,5690,7,9.515249252319336,-321.79571533203125,0.00073,0.14497067034244537,0.16671177744865417,39999
44000,100.0,694.79524557,440,5838,7,12.802949905395508,-319.60955810546875,0.00073,-0.16392824053764343,0.1682782918214798,40999
45000,100.0,699.80042472,450,5981,7,8.6896390914917,-324.9190979003906,0.00073,0.20652486383914948,0.16250087320804596,41999
46000,100.0,703.27575894,460,6127,7,8.520878791809082,-326.6759338378906,0.00073,0.2241363376379013,0.16403886675834656,42999
47000,100.0,702.70358162,470,6269,7,10.772847175598145,-322.98187255859375,0.00073,-0.3830515742301941,0.16702525317668915,43999
48000,100.0,706.4110369300001,480,6411,7,10.896827697753906,-322.9786376953125,0.00073,-0.6863678693771362,0.16356390714645386,44999
49000,100.0,709.5125599200001,490,6555,7,9.453567504882812,-325.5008544921875,0.00073,0.03621416538953781,0.16115200519561768,45999
50000,100.0,710.32767637,500,6696,7,7.479165554046631,-327.449462890625,0.00073,-0.3435683846473694,0.16235779225826263,46999
51000,100.0,708.62536178,510,6839,7,9.094608306884766,-322.5038757324219,0.00073,-0.12358811497688293,0.16037535667419434,47999
52000,100.0,709.55119935,520,6982,7,8.127603530883789,-319.2041015625,0.00073,-0.667225182056427,0.16115576028823853,48999
53000,100.0,707.8961961300001,530,7129,7,7.848119735717773,-324.46124267578125,0.00073,0.4389617443084717,0.15894745290279388,49999
54000,100.0,706.91310822,540,7271,7,10.150452613830566,-327.7549743652344,0.00073,-0.017529286444187164,0.15898661315441132,50999
55000,100.0,704.70112586,550,7412,7,9.23673152923584,-326.3323974609375,0.00073,-0.062043339014053345,0.15521161258220673,51999
56000,100.0,703.73227929,560,7554,7,9.908477783203125,-330.70062255859375,0.00073,-0.08127093315124512,0.15304136276245117,52999
57000,100.0,708.0025909600001,570,7697,7,8.660540580749512,-329.57733154296875,0.00073,0.6093900203704834,0.15058602392673492,53999
58000,100.0,706.33573061,580,7840,7,6.3326616287231445,-329.6259765625,0.00073,-0.34472501277923584,0.15476550161838531,54999
59000,100.0,711.1022361,590,7982,7,8.595715522766113,-330.9244384765625,0.00073,-0.0290205255150795,0.15028025209903717,55999
60000,100.0,710.1350511300001,600,8124,7,9.073049545288086,-329.4510803222656,0.00073,-0.5274291038513184,0.15029294788837433,56999
61000,100.0,714.71711353,610,8267,7,8.043577194213867,-335.3813781738281,0.00073,-0.12868721783161163,0.14885921776294708,57999
62000,100.0,721.19737475,620,8410,7,8.930278778076172,-325.82861328125,0.00073,0.17821750044822693,0.14653754234313965,58999
63000,100.0,721.2174264099999,630,8552,7,7.511650085449219,-334.8162841796875,0.00073,0.3159838318824768,0.14542274177074432,59999
64000,100.0,719.34263524,640,8695,7,9.805038452148438,-332.60711669921875,0.00073,-0.04913422465324402,0.1420324444770813,60999
65000,100.0,721.7238479299999,650,8839,7,7.4255805015563965,-332.0521240234375,0.00073,-0.06332343816757202,0.14189685881137848,61999
66000,100.0,724.0909797399999,660,8983,7,6.87413215637207,-334.0630187988281,0.00073,0.14930695295333862,0.1419471800327301,62999
67000,100.0,719.9245372400001,670,9126,7,6.449105262756348,-336.99615478515625,0.00073,0.07422825694084167,0.13774575293064117,63999
68000,100.0,720.0994465800001,680,9270,7,7.008342742919922,-335.70379638671875,0.00073,0.060294561088085175,0.14041562378406525,64999
69000,100.0,714.02751057,690,9413,7,7.264428615570068,-334.86669921875,0.00073,-0.21534262597560883,0.13765989243984222,65999
70000,100.0,705.4678384499998,700,9556,7,6.998068332672119,-338.050048828125,0.00073,-0.11283864825963974,0.13659878075122833,66999
71000,100.0,702.0440715299999,710,9699,7,7.7570600509643555,-336.30999755859375,0.00073,0.17068102955818176,0.135807067155838,67999
72000,100.0,697.1872277800001,720,9844,7,6.987112045288086,-333.2408447265625,0.00073,0.16277088224887848,0.13638393580913544,68999
73000,100.0,696.6546897100001,730,9988,7,8.890256881713867,-333.8788146972656,0.00073,0.45091933012008667,0.13316917419433594,69999
74000,100.0,699.3200321699999,740,10132,7,9.68348503112793,-335.3134765625,0.00073,0.4866117238998413,0.1325485110282898,70999
