rollout/ep_rew_mean,time/total_timesteps,time/fps,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
-1472.6126985800004,50563,7,280,6582,193.38,1.5460295677185059,0.00073,302.3292236328125,0.21693821251392365,-1043.6912841796875,47562
-1110.6421501799998,52563,7,290,6856,195.95,-1.9421886205673218,0.00073,268.09197998046875,0.2021758258342743,-936.885009765625,49562
-949.0099958400001,54563,7,300,7130,195.95,0.432748019695282,0.00073,264.2738037109375,0.17801780998706818,-818.5462646484375,51562
-733.2457736000001,56563,7,310,7408,196.44,3.7253713607788086,0.00073,195.3973388671875,0.1770196259021759,-781.7123413085938,53562
-614.3533894699999,58563,7,320,7692,196.44,-2.663398504257202,0.00073,224.9568634033203,0.16873694956302643,-729.941162109375,55562
-511.18623127,60563,7,330,7972,196.44,-1.193750023841858,0.00073,154.93499755859375,0.15173329412937164,-684.4811401367188,57562
-376.8107026700001,62563,7,340,8251,200.0,0.07029899954795837,0.00073,157.13565063476562,0.15024222433567047,-668.7789916992188,59562
-244.52792567,64563,7,350,8529,200.0,-2.3742191791534424,0.00073,131.76803588867188,0.13761697709560394,-659.3229370117188,61562
-215.52792016,66563,7,360,8813,200.0,-3.938284158706665,0.00073,102.90716552734375,0.13598543405532837,-585.634765625,63562
-164.24937162000003,68563,7,370,9095,200.0,1.1283159255981445,0.00073,125.1602554321289,0.13139189779758453,-591.9518432617188,65562
-208.97604964,70563,7,380,9379,200.0,-2.631436347961426,0.00073,124.26164245605469,0.12458357959985733,-603.2545166015625,67562
-289.37903911000006,72563,7,390,9665,200.0,-1.0871636867523193,0.00073,105.69850158691406,0.11995983123779297,-540.5234375,69562
-133.53872070999998,74563,7,400,9950,200.0,3.6808600425720215,0.00073,116.55491638183594,0.11317617446184158,-524.503662109375,71562
-6.282949950000024,76563,7,410,10234,200.0,-0.766685962677002,0.00073,94.82839965820312,0.11618345975875854,-500.1383361816406,73562
32.07356075999996,78563,7,420,10524,200.0,-1.4755778312683105,0.00073,82.78214263916016,0.11009117215871811,-513.0176391601562,75562
130.29393925,80563,7,430,10805,200.0,1.864519476890564,0.00073,101.03509521484375,0.10640427470207214,-493.7038879394531,77562
117.79485677000001,82563,7,440,11087,200.0,-0.8051666021347046,0.00073,94.77080535888672,0.10373946279287338,-477.0827331542969,79562
103.94232246999998,84436,7,450,11355,198.73,-3.2152647972106934,0.00073,77.43443298339844,0.10249104350805283,-472.1174011230469,81435
144.83852879,86436,7,460,11638,198.73,-6.432156562805176,0.00073,73.5241928100586,0.09621595591306686,-458.467529296875,83435
177.84189706,88436,7,470,11923,198.73,4.901583194732666,0.00073,83.49788665771484,0.095244400203228,-441.0821533203125,85435
251.01173113000002,90436,7,480,12208,198.73,-1.5545094013214111,0.00073,92.49100494384766,0.09437994658946991,-450.71014404296875,87435
306.72350522,92436,7,490,12492,198.73,4.685060977935791,0.00073,109.86553955078125,0.09747453778982162,-453.61181640625,89435
247.07038808000001,94436,7,500,12777,198.73,-4.396627902984619,0.00073,114.60844421386719,0.09640709310770035,-456.4625549316406,91435
243.3555730699999,96436,7,510,13063,198.73,-1.5305508375167847,0.00073,80.69610595703125,0.09035100042819977,-439.40814208984375,93435
213.70445234999997,98436,7,520,13347,198.73,-1.362885594367981,0.00073,75.84335327148438,0.08613958209753036,-439.372802734375,95435
208.60450747999997,100436,7,530,13628,198.73,-6.764580249786377,0.00073,71.94837188720703,0.08443233370780945,-414.8672790527344,97435
222.69784245999995,102436,7,540,13908,198.73,-9.90003776550293,0.00073,70.36659240722656,0.08060987293720245,-419.6652526855469,99435
261.71621042,104436,7,550,14189,200.0,3.298731803894043,0.00073,82.02194213867188,0.07669271528720856,-401.3056640625,101435
214.13032793999994,106436,7,560,14471,200.0,-5.7900919914245605,0.00073,63.337562561035156,0.07637665420770645,-399.3472595214844,103435
158.58326848000002,108436,7,570,14757,200.0,0.8826076984405518,0.00073,69.0647964477539,0.07347232103347778,-379.2250671386719,105435
203.71961257000004,110436,7,580,15040,200.0,-1.7978020906448364,0.00073,64.55511474609375,0.07306282967329025,-385.9909362792969,107435
297.58625267,112436,7,590,15324,200.0,2.191476821899414,0.00073,60.849021911621094,0.07073790580034256,-393.7002868652344,109435
450.44992004,114436,7,600,15603,200.0,2.452695846557617,0.00073,66.71493530273438,0.07135389745235443,-351.6720886230469,111435
458.00034386999994,116436,7,610,15881,200.0,5.912454605102539,0.00073,57.311004638671875,0.06757063418626785,-354.7696838378906,113435
540.7316660700001,118318,7,620,16142,198.82,0.17422406375408173,0.00073,67.78315734863281,0.06783583015203476,-378.1569519042969,115317
622.34040628,120318,7,630,16420,198.82,-0.6473961472511292,0.00073,58.5655632019043,0.06740576028823853,-359.0693054199219,117317
696.84118401,122318,7,640,16700,198.82,-5.173103332519531,0.00073,62.10493469238281,0.06500378996133804,-365.46771240234375,119317
702.4684149599998,124318,7,650,16978,198.82,4.755475997924805,0.00073,62.851295471191406,0.06668821722269058,-326.9276123046875,121317
755.19054986,126318,7,660,17257,198.82,1.2823989391326904,0.00073,63.65512466430664,0.06514786183834076,-342.69000244140625,123317
