time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss
39,1590,10,159.0,-2680.3105891,40,,,,,,
33,3118,20,155.9,-2936.1376305500003,94,-38.93109130859375,-5.4495391845703125,0.9189751744270325,0.00073,117,35.40806579589844
14,4953,30,165.1,-2730.1199822333333,333,-598.755859375,-5.998876571655273,0.3790845274925232,0.00073,1952,111.01276397705078
11,6796,40,169.9,-2346.5896173749998,576,-2631.908447265625,4.913853645324707,0.7481206059455872,0.00073,3795,1128.09033203125
10,8650,50,173.0,-2595.66030218,822,-6586.29296875,-2.9264605045318604,1.743486762046814,0.00073,5649,5071.5791015625
9,10617,60,176.95,-2790.715076216667,1080,-10381.84375,-2.8558521270751953,2.4363255500793457,0.00073,7616,12538.095703125
9,12617,70,180.24285714285713,-2853.663317885714,1345,-13369.744140625,-0.04964964836835861,2.8548245429992676,0.00073,9616,16162.0087890625
9,14525,80,181.5625,-2885.6752818625,1598,-15272.6572265625,-0.49133357405662537,2.9865238666534424,0.00073,11524,17283.384765625
8,16362,90,181.8,-2793.876284033334,1844,-15872.7392578125,-0.19511613249778748,2.966038465499878,0.00073,13361,23975.009765625
8,18191,100,181.91,-2882.6180359600007,2089,-16110.9326171875,2.312329053878784,2.8762407302856445,0.00073,15190,27748.6328125
8,20107,110,185.17,-2744.76335565,2345,-15798.1513671875,0.28146666288375854,2.7083375453948975,0.00073,17106,20476.29296875
8,22107,120,189.89,-2683.6521636999996,2613,-14586.4638671875,2.018738031387329,2.3662893772125244,0.00073,19106,16768.109375
8,24035,130,190.82,-2661.53674207,2869,-12911.8623046875,-1.1888915300369263,2.1268599033355713,0.00073,21034,14399.0234375
8,25991,140,191.95,-2589.1313828600005,3129,-11301.6826171875,1.363360047340393,1.74569833278656,0.00073,22990,18213.3359375
8,27548,150,188.98,-2450.06035888,3337,-10092.185546875,1.4985694885253906,1.515431523323059,0.00073,24547,12705.744140625
8,29548,160,189.31,-2274.9294019800004,3606,-8432.1171875,-0.09337469935417175,1.2802196741104126,0.00073,26547,5818.01953125
8,31548,170,189.31,-2065.17038598,3873,-6561.8662109375,0.13551722466945648,0.9658355712890625,0.00073,28547,6559.8349609375
8,33548,180,190.23,-1837.4688148200003,4143,-5061.3154296875,0.15223410725593567,0.744129478931427,0.00073,30547,4893.943359375
8,35548,190,191.86,-1674.9927333,4414,-3821.175048828125,-0.23113037645816803,0.5614597201347351,0.00073,32547,1681.3924560546875
8,37548,200,193.57,-1392.8704020700002,4681,-2890.24365234375,0.33906298875808716,0.4334249794483185,0.00073,34547,1022.2760009765625
7,39548,210,194.41,-1361.1735970600002,4950,-2181.8828125,-1.3591221570968628,0.3336102068424225,0.00073,36547,583.8429565429688
7,41548,220,194.41,-1118.1393421400003,5219,-1668.0469970703125,0.6967368125915527,0.2729770243167877,0.00073,38547,398.66790771484375
7,43548,230,195.13,-952.3062706099997,5494,-1392.248046875,-3.7091145515441895,0.22797314822673798,0.00073,40547,466.4999694824219
7,45548,240,195.57,-914.2163454000001,5767,-1107.879150390625,-0.6973767280578613,0.1939050704240799,0.00073,42547,213.9841766357422
7,47548,250,200.0,-686.20439869,6040,-914.8419189453125,0.7254489660263062,0.15679921209812164,0.00073,44547,148.69589233398438
7,49548,260,200.0,-485.60745263999996,6312,-745.79541015625,-6.604802131652832,0.14010562002658844,0.00073,46547,101.33369445800781
7,51548,270,200.0,-334.07163604,6582,-640.0509033203125,0.9810866117477417,0.11626437306404114,0.00073,48547,81.59886169433594
7,53548,280,200.0,-255.27593636999995,6857,-569.0260009765625,-2.456756830215454,0.10947685688734055,0.00073,50547,58.18902587890625
7,55548,290,200.0,-218.48609469000002,7131,-508.3310852050781,1.355870246887207,0.09965172410011292,0.00073,52547,70.0252685546875
7,57548,300,200.0,-90.12601460000002,7403,-466.3654479980469,1.7816550731658936,0.09257658571004868,0.00073,54547,61.02338409423828
7,59548,310,200.0,-2.738076399999993,7675,-449.9829406738281,1.275581955909729,0.08713967353105545,0.00073,56547,42.25410461425781
7,61548,320,200.0,48.52029949,7949,-437.35394287109375,-2.7867703437805176,0.08279835432767868,0.00073,58547,45.99897384643555
7,63548,330,200.0,104.52082949000001,8224,-422.1404724121094,-3.2303237915039062,0.08299684524536133,0.00073,60547,47.61973571777344
7,65548,340,200.0,189.77384134000008,8512,-413.9881286621094,-3.4853458404541016,0.07774917036294937,0.00073,62547,45.478233337402344
7,67548,350,200.0,242.88450258000003,8788,-389.89031982421875,7.016899108886719,0.07623805850744247,0.00073,64547,39.07410430908203
7,69548,360,200.0,327.92803972999997,9063,-388.08917236328125,-1.380669116973877,0.0752239003777504,0.00073,66547,40.039649963378906
7,71548,370,200.0,308.22165663000004,9338,-372.8695068359375,1.5483037233352661,0.07297865301370621,0.00073,68547,37.538597106933594
7,73548,380,200.0,338.57303078999996,9624,-389.55645751953125,-2.6661787033081055,0.06868423521518707,0.00073,70547,41.26384735107422
7,75548,390,200.0,407.41375227000003,9903,-365.26214599609375,-4.371476173400879,0.06588813662528992,0.00073,72547,38.06892013549805
7,77548,400,200.0,458.14086153000005,10182,-357.3252868652344,13.039944648742676,0.06606317311525345,0.00073,74547,32.513832092285156
7,79548,410,200.0,639.1334533,10462,-351.2265625,1.9105896949768066,0.06728092581033707,0.00073,76547,29.267047882080078
