time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss
75000,10528,750,100.0,7,771.03721914,0.7910978198051453,0.03541155532002449,0.00073,71999,0.6646532416343689,-385.21197509765625
76000,10674,760,100.0,7,770.9989526200001,0.4409083127975464,0.03476409241557121,0.00073,72999,0.46460047364234924,-385.46710205078125
77000,10823,770,100.0,7,770.9624402300001,0.4345853328704834,0.03505956381559372,0.00073,73999,-0.6912685632705688,-385.2574462890625
78000,10970,780,100.0,7,770.92173146,0.8747538328170776,0.036285679787397385,0.00073,74999,1.3374614715576172,-386.6040954589844
79000,11119,790,100.0,7,770.9220556299999,0.6431736946105957,0.034136299043893814,0.00073,75999,2.067729949951172,-383.1239013671875
80000,11263,800,100.0,7,771.08383069,0.467867910861969,0.03498302400112152,0.00073,76999,0.9095350503921509,-384.3264465332031
81000,11411,810,100.0,7,771.12523109,0.644863486289978,0.038818515837192535,0.00073,77999,0.4478057026863098,-387.1207275390625
82000,11555,820,100.0,7,771.2055594199999,1.0472924709320068,0.035193268209695816,0.00073,78999,-0.9629008173942566,-387.4521179199219
83000,11699,830,100.0,7,771.24766666,0.9153796434402466,0.03289931267499924,0.00073,79999,-1.6565816402435303,-387.6897277832031
84000,11844,840,100.0,7,771.1681454800001,0.41505682468414307,0.03171193227171898,0.00073,80999,-1.9165241718292236,-389.15802001953125
85000,11988,850,100.0,7,771.2084963300002,0.6912299394607544,0.03215525671839714,0.00073,81999,-0.9274223446846008,-388.4218444824219
86000,12131,860,100.0,7,771.2492135699998,0.5501586198806763,0.029986325651407242,0.00073,82999,-0.2896859049797058,-387.139404296875
87000,12274,870,100.0,7,771.2878303800001,0.3281092345714569,0.02927972562611103,0.00073,83999,0.7267027497291565,-387.92938232421875
88000,12417,880,100.0,7,771.3312762799999,0.3250935673713684,0.03056112863123417,0.00073,84999,-0.46402692794799805,-387.03790283203125
89000,12565,890,100.0,7,771.2506457199999,0.7193770408630371,0.030672717839479446,0.00073,85999,-0.6659618616104126,-387.59234619140625
90000,12716,900,100.0,7,771.1716637,0.6382856369018555,0.02839425392448902,0.00073,86999,1.7870813608169556,-386.54339599609375
91000,12865,910,100.0,7,771.2528391000001,0.5791131854057312,0.028515411540865898,0.00073,87999,-0.8633500933647156,-388.0997314453125
92000,13011,920,100.0,7,771.2135370000001,0.760178804397583,0.029579373076558113,0.00073,88999,-1.0519715547561646,-389.84136962890625
93000,13159,930,100.0,7,771.2138213,0.5666496753692627,0.026660174131393433,0.00073,89999,3.1895954608917236,-384.306884765625
94000,13306,940,100.0,7,771.1734431399999,2.001387596130371,0.03625065088272095,0.00073,90999,1.9464589357376099,-386.8433837890625
95000,13452,950,100.0,7,770.92852563,0.5894601941108704,0.03327793627977371,0.00073,91999,-1.6388367414474487,-386.69073486328125
96000,13600,960,100.0,7,770.88695883,0.6274646520614624,0.030543042346835136,0.00073,92999,-1.3991955518722534,-385.642578125
97000,13747,970,100.0,7,770.76825846,0.6369119882583618,0.03100302629172802,0.00073,93999,-1.4026963710784912,-386.73394775390625
98000,13894,980,100.0,7,770.7673129299999,0.6001507043838501,0.026281047612428665,0.00073,94999,0.680863618850708,-387.4992980957031
99000,14043,990,100.0,7,770.8500716400001,0.8150378465652466,0.025922512635588646,0.00073,95999,-0.22005733847618103,-388.0559997558594
100000,14192,1000,100.0,7,770.9300982400002,0.4867343306541443,0.025762706995010376,0.00073,96999,2.9437508583068848,-387.41400146484375
101000,14339,1010,100.0,7,770.64808418,0.6041659116744995,0.029170338064432144,0.00073,97999,-0.1521708369255066,-387.75054931640625
102000,14487,1020,100.0,7,770.60867542,0.5330318212509155,0.027102002874016762,0.00073,98999,1.644566297531128,-387.4032897949219
103000,14636,1030,100.0,7,770.4892732899998,0.6689270734786987,0.026819024235010147,0.00073,99999,0.40912801027297974,-389.55450439453125
