time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef
440,84951,10987,7,1240.26788334,200.0,32.327110290527344,1.2475965023040771,81950,-363.8022766113281,0.00073,0.06095001846551895
450,86951,11262,7,1219.58237005,200.0,25.72779655456543,-0.4937145709991455,83950,-380.5242614746094,0.00073,0.058244794607162476
460,88951,11541,7,1320.89139957,200.0,32.213531494140625,12.163473129272461,85950,-374.2231750488281,0.00073,0.056979842483997345
470,90951,11815,7,1371.2971295900002,200.0,22.411378860473633,-2.4057395458221436,87950,-375.34783935546875,0.00073,0.056304167956113815
480,92951,12088,7,1437.21243138,200.0,27.00725555419922,4.954705238342285,89950,-369.5641784667969,0.00073,0.05547698214650154
490,94951,12362,7,1470.5477648499998,200.0,23.26677703857422,8.394840240478516,91950,-372.0576171875,0.00073,0.05467836558818817
500,96951,12638,7,1569.66533039,200.0,30.615089416503906,-3.2716188430786133,93950,-384.4027099609375,0.00073,0.05380624905228615
510,98951,12912,7,1588.8391138499999,200.0,28.343429565429688,4.891272068023682,95950,-385.11328125,0.00073,0.05402880534529686
520,100951,13188,7,1563.27228193,200.0,22.037717819213867,-8.588303565979004,97950,-398.7754211425781,0.00073,0.05287807807326317
530,102951,13462,7,1527.3203122099999,200.0,22.498493194580078,-3.714066982269287,99950,-409.7900085449219,0.00073,0.050951793789863586
540,104951,13739,7,1535.5212872499997,200.0,25.10668182373047,-5.4972758293151855,101950,-414.327880859375,0.00073,0.05087297782301903
550,106951,14011,7,1658.3484254499997,200.0,28.715829849243164,-3.844956636428833,103950,-426.89239501953125,0.00073,0.0518377348780632
560,108951,14283,7,1611.0173629899998,200.0,26.095542907714844,-0.1792219877243042,105950,-406.2449645996094,0.00073,0.04855355620384216
570,110951,14555,7,1630.78053574,200.0,27.700817108154297,-1.1081265211105347,107950,-411.07708740234375,0.00073,0.05139068141579628
580,112951,14828,7,1663.3248261399997,200.0,20.542724609375,-2.3066909313201904,109950,-422.71014404296875,0.00073,0.049629077315330505
590,114951,15100,7,1678.02885371,200.0,26.78741455078125,-3.7317047119140625,111950,-432.1623229980469,0.00073,0.05069848895072937
600,116951,15368,7,1618.9818853499999,200.0,28.087167739868164,-3.7800230979919434,113950,-437.9878234863281,0.00073,0.049448948353528976
610,118951,15638,7,1605.3670401699999,200.0,24.90415382385254,-8.978048324584961,115950,-432.21722412109375,0.00073,0.049459442496299744
620,120951,15911,7,1614.9486239799999,200.0,24.170654296875,10.46768569946289,117950,-416.74169921875,0.00073,0.047992754727602005
630,122951,16186,7,1671.0024766099998,200.0,24.55964469909668,1.8857014179229736,119950,-430.74920654296875,0.00073,0.04881761595606804
640,124951,16460,7,1683.3163584300003,200.0,22.953227996826172,-0.9074593782424927,121950,-455.046630859375,0.00073,0.04713717848062515
650,126951,16734,7,1717.4592538,200.0,25.616004943847656,-3.447986364364624,123950,-449.51275634765625,0.00073,0.047646414488554
660,128951,17007,7,1755.14845488,200.0,23.042816162109375,4.7959818840026855,125950,-434.7638854980469,0.00073,0.04528843238949776
670,130951,17283,7,1756.8734199300002,200.0,24.090042114257812,5.524714469909668,127950,-449.1069641113281,0.00073,0.044707827270030975
680,132951,17559,7,1759.38784883,200.0,27.28923797607422,-3.805239200592041,129950,-449.01300048828125,0.00073,0.04487282782793045
690,134951,17836,7,1758.4152660700001,200.0,22.46364974975586,-7.252705097198486,131950,-461.3953857421875,0.00073,0.045026421546936035
700,136951,18112,7,1832.13097621,200.0,24.06360626220703,-4.7602033615112305,133950,-457.84765625,0.00073,0.04477280005812645
710,138951,18387,7,1881.1146675300001,200.0,22.58506965637207,-7.962141036987305,135950,-466.9910888671875,0.00073,0.04365810751914978
720,140951,18664,7,1931.68231799,200.0,27.569358825683594,-5.420312404632568,137950,-458.35076904296875,0.00073,0.04297184571623802
730,142951,18947,7,1824.69005749,200.0,21.609806060791016,-3.457596778869629,139950,-469.208740234375,0.00073,0.043509867042303085
740,144951,19226,7,1827.7630515600001,200.0,22.658660888671875,7.776920318603516,141950,-452.8216857910156,0.00073,0.04306607320904732
750,146951,19507,7,1813.65011256,200.0,22.55592155456543,-8.157692909240723,143950,-483.52899169921875,0.00073,0.04287898167967796
760,148951,19785,7,1792.2854486899998,200.0,22.983856201171875,-0.23179268836975098,145950,-462.3018493652344,0.00073,0.04202812910079956
770,150951,20064,7,1794.1248210899998,200.0,24.48028564453125,-6.265350341796875,147950,-483.24261474609375,0.00073,0.041516583412885666
780,152951,20342,7,1776.31478561,200.0,15.737393379211426,0.4896951913833618,149950,-470.93023681640625,0.00073,0.04084808751940727
790,154951,20622,7,1774.9394948100003,200.0,19.549699783325195,-6.1284966468811035,151950,-479.52459716796875,0.00073,0.04073212295770645
800,156951,20904,7,1777.0276517,200.0,23.08220100402832,-0.7537262439727783,153950,-470.58135986328125,0.00073,0.04108481481671333
810,158951,21183,7,1694.7445686100002,200.0,21.177467346191406,-1.1464297771453857,155950,-474.7142028808594,0.00073,0.040488723665475845
820,160951,21462,7,1670.35769233,200.0,17.74213218688965,-14.634028434753418,157950,-484.484130859375,0.00073,0.04077606275677681
830,162951,21740,7,1758.3606060999998,200.0,20.213953018188477,-2.2474613189697266,159950,-477.1041259765625,0.00073,0.040469441562891006
840,164951,22016,7,1759.9511207200003,200.0,20.321136474609375,-10.7013521194458,161950,-473.5808410644531,0.00073,0.03973120450973511
850,166951,22291,7,1782.0171221800001,200.0,18.083538055419922,-2.54913330078125,163950,-467.44403076171875,0.00073,0.039230845868587494
860,168951,22566,7,1825.7033233700004,200.0,21.239200592041016,3.82281494140625,165950,-474.5120849609375,0.00073,0.038666825741529465
870,170951,22839,7,1822.3178858999997,200.0,18.597686767578125,-7.243293762207031,167950,-479.5932312011719,0.00073,0.03722139075398445
