time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef
560,7,7429,706.98638406,56000,100.0,52999,-0.1757686585187912,0.8827561736106873,0.00073,-366.4012145996094,0.05144054815173149
570,7,7570,706.7548517099999,57000,100.0,53999,0.26709678769111633,1.2632615566253662,0.00073,-363.908203125,0.05191243812441826
580,7,7710,706.77596951,58000,100.0,54999,0.10691560804843903,1.476069688796997,0.00073,-366.3930358886719,0.050370171666145325
590,7,7852,706.95088904,59000,100.0,55999,-1.4729561805725098,0.8930073976516724,0.00073,-366.92901611328125,0.04803886637091637
600,7,7991,706.97613821,60000,100.0,56999,-0.0992865115404129,1.3136463165283203,0.00073,-366.04766845703125,0.04687923565506935
610,7,8133,707.39116981,61000,100.0,57999,-0.441150426864624,1.1041196584701538,0.00073,-365.9327392578125,0.04755473509430885
620,7,8273,707.46380067,62000,100.0,58999,0.32771363854408264,1.3953673839569092,0.00073,-366.7749328613281,0.05067085102200508
630,7,8415,707.4372118399998,63000,100.0,59999,-1.5141953229904175,1.2875158786773682,0.00073,-368.6653137207031,0.04673708230257034
640,7,8556,707.1562963200001,64000,100.0,60999,-1.0567020177841187,0.635642945766449,0.00073,-369.199462890625,0.04619622230529785
650,7,8697,706.99211678,65000,100.0,61999,0.7959979176521301,1.0755751132965088,0.00073,-367.1353454589844,0.043860968202352524
660,7,8837,707.2505422499999,66000,100.0,62999,0.5010071992874146,1.8546562194824219,0.00073,-367.12890625,0.047752656042575836
670,7,8977,707.31714129,67000,100.0,63999,0.8249235153198242,1.723433017730713,0.00073,-367.6015930175781,0.04096684977412224
680,7,9119,707.5659464600001,68000,100.0,64999,1.240263819694519,0.8618209958076477,0.00073,-368.1313171386719,0.042237602174282074
690,7,9260,707.75620248,69000,100.0,65999,0.5603708028793335,0.9368880987167358,0.00073,-368.9463195800781,0.04026645049452782
700,7,9401,707.7934173599999,70000,100.0,66999,-0.24263164401054382,1.2374558448791504,0.00073,-368.33294677734375,0.03851378336548805
710,7,9543,707.7389432100001,71000,100.0,67999,-1.4856765270233154,0.9441494941711426,0.00073,-369.61187744140625,0.039899930357933044
720,7,9686,707.6737060299997,72000,100.0,68999,1.8266035318374634,0.8575215339660645,0.00073,-368.9296569824219,0.03684704378247261
