time,pro_sup,deviation,flexion,cmc_abduction,cmc_flexion,mp_flexion,ip_flexion,mcp2_flexion,mcp2_abduction,pm2_flexion,md2_flexion,mcp3_flexion,mcp3_abduction,pm3_flexion,md3_flexion,mcp4_flexion,mcp4_abduction,pm4_flexion,md4_flexion,mcp5_flexion,mcp5_abduction,pm5_flexion,md5_flexion
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,1.7418786509245792e-09,-1.934768383232482e-06,-5.643092517586626e-07,9.071556553500269e-07,8.55231663381003e-07,4.5955898379452716e-07,1.1779557934568272e-07,2.9543833198251488e-06,4.42866213928512e-06,-7.180400978167926e-07,-4.949299124062314e-07,3.6310520138016575e-06,7.06836320269446e-06,-7.306209504439989e-07,-2.864829201783235e-07,7.0633173268534265e-06,1.1092081039898213e-05,-2.237006586785811e-06,-1.6302730319166753e-06,4.146130816197628e-06,-2.990295638343018e-06,-3.54237511327335e-06,6.426855728954363e-07
0.004,1.3584394395920175e-07,-3.3824983356151338e-06,-9.937556491379656e-07,1.4632935491219084e-06,1.2691389797909828e-06,7.970456933404206e-07,2.3914744586123395e-07,7.304876658757147e-06,1.0922826648287641e-05,-1.2737239679146617e-06,-8.899461584190844e-07,9.027956726509378e-06,1.8473343179932586e-05,-1.312454255687113e-06,-5.26358969378666e-07,1.728119678619642e-05,2.9898858338599304e-05,-4.0144620526937355e-06,-2.9281858629415224e-06,9.095959590524957e-06,-9.321486455787869e-06,-6.814529084614774e-06,8.677964373109597e-07
0.006,3.4626104529426937e-07,-4.439566438774896e-06,-1.3133667751424827e-06,1.770204582809108e-06,1.397304392323571e-06,1.0189478959039314e-06,3.425171746252881e-07,1.2804838876625931e-05,1.9130901096564856e-05,-1.697594238257372e-06,-1.2018468337328523e-06,1.588501451306183e-05,3.342272519427988e-05,-1.7702111962732587e-06,-7.255701016173386e-07,3.0118327723231506e-05,5.495964720088071e-05,-5.4092935845232085e-06,-3.951125639917514e-06,1.4711516971062747e-05,-1.8301365162264494e-05,-9.834314245449565e-06,8.308623869539952e-07
0.008,5.948938981650193e-07,-5.184834908054261e-06,-1.5439991683372575e-06,1.901114850538395e-06,1.3475939256708858e-06,1.1412313306790586e-06,4.1893912436422535e-07,1.925051290615713e-05,2.876034362843182e-05,-2.0146778461053907e-06,-1.4447017140559126e-06,2.394943293122955e-05,5.126874380889924e-05,-2.1246650088885993e-06,-8.893564659827935e-07,4.512967543818815e-05,8.508906545880547e-05,-6.4861628711482066e-06,-4.746677529287237e-06,2.0884579778087287e-05,-2.9378159662398946e-05,-1.2619760074348494e-05,6.342994416209451e-07
0.01,8.564409412437362e-07,-5.682701485093554e-06,-1.702970249408706e-06,1.9093394652980247e-06,1.194024775297009e-06,1.1829575594372492e-06,4.6672433159216584e-07,2.647366378767047e-05,3.9567764039378066e-05,-2.2454703028530397e-06,-1.6302936500878781e-06,3.301206029094224e-05,7.148154796785501e-05,-2.393286223611542e-06,-1.0223398853414253e-06,6.194512778368503e-05,0.0001193249308664775,-7.2994150292670925e-06,-5.354341743383152e-06,2.7528313401837778e-05,-4.2112667512525105e-05,-1.5188501002225726e-05,3.4565280067884923e-07
0.012,1.1146380364859672e-06,-5.985633058762315e-06,-1.8046102759851024e-06,1.8340233987189267e-06,9.866464331788173e-07,1.1629062242873486e-06,4.88099380018505e-07,3.433546157797527e-05,5.135069239146429e-05,-2.406745224507168e-06,-1.7684882943736402e-06,4.2899773185874575e-05,9.362759386878035e-05,-2.590770239766309e-06,-1.1285957514766341e-06,8.02567920577131e-05,0.00015688607059214548,-7.89471107757678e-06,-5.8069394972546374e-06,3.457170799748613e-05,-5.615573390144005e-05,-1.755743576537689e-05,9.388114851366786e-09
0.014,1.3342844619490315e-06,-6.1360373659733985e-06,-1.8606915049407247e-06,1.692298339359144e-06,7.685967627942726e-07,1.097286437662535e-06,4.859736952315485e-07,4.272301307497542e-05,6.394011094444093e-05,-2.512033308195683e-06,-1.8674124301922497e-06,5.346875236345757e-05,0.00011735015176257625,-2.7294582867838565e-06,-1.211701396452842e-06,9.980735591626457e-05,0.00019713641907993237,-8.310536509225096e-06,-6.131859643768916e-06,4.195490049738444e-05,-7.123152172820262e-05,-1.9742973579364315e-05,-3.47678130332963e-07
0.016,1.5193102906335293e-06,-6.168699341442254e-06,-1.881066734624331e-06,1.5122139020648115e-06,5.558707949548525e-07,1.0000333829808372e-06,4.6531613487273885e-07,5.1541097517191716e-05,7.719642886804366e-05,-2.5726406570351156e-06,-1.9340424105898084e-06,6.460060010995516e-05,0.00014235987931712497,-2.8197313020405383e-06,-1.2748204198851178e-06,0.00012038432559112935,0.000239561822802519,-8.578965744854636e-06,-6.35175485643504e-06,4.961890137365093e-05,-8.712163710095425e-05,-2.1757947253067443e-05,-6.561422775453379e-07
0.018,1.673530816117878e-06,-6.11153707327129e-06,-1.8736537503377219e-06,1.3132253637528357e-06,3.5807958005225775e-07,8.829103186502858e-07,4.3101025064157727e-07,6.0711349040853006e-05,9.100340042871652e-05,-2.597798077536258e-06,-1.974210198414971e-06,7.619703185215832e-05,0.00016841950431511753,-2.870343421990034e-06,-1.3207450293752738e-06,0.0001418105468166219,0.00028374435047632347,-8.726958652670161e-06,-6.485519514948324e-06,5.7527092155576444e-05,-0.00010365014736948986,-2.361685203434569e-05,-9.190550547305283e-07
0.02,1.8004513368726837e-06,-5.987022125651102e-06,-1.8449246553408927e-06,1.1087264151861756e-06,1.8060890724174377e-07,7.553722453303147e-07,3.8743983443540714e-07,7.016938249699385e-05,0.00010526438613586909,-2.5950112265209134e-06,-1.992778556413178e-06,8.81765633630605e-05,0.00019533454616652807,-2.888641302966194e-06,-1.351926261560033e-06,0.0001639384590522244,0.0003293443175761685,-8.777111797765197e-06,-6.5489036518871305e-06,6.564696658918355e-05,-0.00012067809253938092,-2.5332975756868436e-05,-1.1398685388296729e-06
0.022,1.9032740917849293e-06,-5.813164589216722e-06,-1.80014700282256e-06,9.077847884560947e-07,2.5951049051609517e-08,6.247056258298571e-07,3.383117491660828e-07,7.986230002097452e-05,0.00011989908245773848,-2.5703790683143617e-06,-1.9938022669048936e-06,0.00010047163130332149,0.00022294560353259567,-2.8807856259542676e-06,-1.3705138510689294e-06,0.0001866451577034078,0.0003760856239203185,-8.748341316592783e-06,-6.555039826409286e-06,7.394978715388605e-05,-0.0001380957856053895,-2.6918467633195597e-05,-1.3222269024912848e-06
0.024,1.9849104520319108e-06,-5.6043274293546435e-06,-1.7435880527200854e-06,7.163655257573438e-07,-1.0534380908551352e-07,4.963018809762432e-07,2.8661976654000643e-07,8.974664398777023e-05,0.00013484079427021365,-2.5288529940799608e-06,-1.980661871811869e-06,0.00011302621124690881,0.00025112203548634704,-2.8519371019300934e-06,-1.378391309313372e-06,0.0002098282825121061,0.0004237438450580301,-8.656459478509724e-06,-6.514879236032043e-06,8.24102412384172e-05,-0.00015581670239321843,-2.8384412214402333e-05,-1.4698138355730114e-06
0.026,2.047996289852697e-06,-5.371898610249747e-06,-1.678686860877344e-06,5.38203894447829e-07,-2.1398882375087516e-07,3.7397149801350725e-07,2.3468542900315079e-07,9.97867157116902e-05,0.00015003415977520124,-2.4744478678016223e-06,-1.956174793799772e-06,0.0001257938459686412,0.0002797567831156756,-2.806412985634657e-06,-1.3772069034915555e-06,0.00023340259285003153,0.00047213655870478584,-8.514661703097043e-06,-6.4375532155514915e-06,9.100610626845473e-05,-0.00017377263532846357,-2.974090560246767e-05,-1.5862438505283122e-06
0.028,2.09490911956244e-06,-5.1248449869458825e-06,-1.6081986701422568e-06,3.7543523880396213e-07,-3.014785275751373e-07,2.602502604533788e-07,1.842362101012951e-07,0.00010995319409326149,0.00016543325285909872,-2.410414057155588e-06,-1.922687789952777e-06,0.00013873601247127475,0.0003087621248250493,-2.7478189743440218e-06,-1.3684010785685342e-06,0.00025729711450990283,0.0005211154855450134,-8.333938042421752e-06,-6.330673294752096e-06,9.971793023884945e-05,-0.00019190985179006191,-3.099713165973592e-05,-1.6749873112500148e-06
0.03,2.127786055358597e-06,-4.870168091487003e-06,-1.534315667693049e-06,2.290537138261317e-07,-3.697494885316117e-07,1.566747046171444e-07,1.3649716558050188e-07,0.00012022200042397798,0.00018100000042292814,-2.3393777575456193e-06,-1.8821539659391706e-06,0.00015182076896664415,0.00033806619634060153,-2.6791604891360113e-06,-1.35323076341731e-06,0.0002814527622210827,0.0005705601031736025,-8.123420879569355e-06,-6.200580582982665e-06,0.00010852873183647817,-0.00021018605054589677,-3.216143653437592e-05,-1.7393211536553024e-06
0.032,2.1485419339844973e-06,-4.613278640227599e-06,-1.4587677074341882e-06,9.924881271273031e-08,-4.209445673844152e-07,6.401820923815235e-08,9.22824985103651e-08,0.00013057336531195382,0.00019670286261219631,-2.2634555206657014e-06,-1.83619699780335e-06,0.0001650216334059047,0.00036761013720196207,-2.6029366407150144e-06,-1.3327909297539807e-06,0.00030582035831917164,0.0006203724563321482,-7.890678729422436e-06,-6.052553301159985e-06,0.00011742372258182364,-0.0002285679519079329,-3.324140030151828e-05,-1.7822989794111632e-06
0.034,2.158887158593233e-06,-4.358303794993133e-06,-1.3829061293896113e-06,-1.4346565202500074e-08,-4.5725241085931715e-07,-1.7513205448490507e-08,5.2079887796908384e-08,0.00014099106163593277,0.00021251573250437368,-2.1843477783669993e-06,-1.7861647388217667e-06,0.00017831665364418308,0.00039734575064298376,-2.521219623456764e-06,-1.3080337185338232e-06,0.0003303589814050814,0.0006704729387853323,-7.641964475351763e-06,-5.8909796990141295e-06,0.00012639005209056552,-0.00024702939083879976,-3.4243904909526425e-05,-1.8067355763691262e-06
