iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.7598826885223389,-549.4048296879281,4.91696265779002,-539.4021494757056,-566.5120805849199,0.0,0.41692591993116873,0.1,0.01981949806213379,0.12368130683898926,0.051303893,0.22564,-549.4048296879281,-0.1568065231697465,-2.538173993428325,0.0,1708,0.2688460350036621,0.9998473277657963,0.9758046595327096,-618.7199795930226,0.0
1,1.573380708694458,-548.5149024771482,4.48092294677487,-540.4893798024301,-562.7038580689165,0.0,0.5249277717178634,0.1,0.02746295928955078,0.34026503562927246,0.047499686,0.18073007,-549.3158369668502,-0.15713192834836273,-2.533715275425384,0.0,1684,0.22314238548278809,0.9757538744698566,0.7519308946320743,-609.7468672667927,0.0
2,1.6193506717681885,-549.1608415499525,5.529176767110756,-538.4106682364769,-574.1939007515806,0.0,0.5319644714118186,0.1,0.09887003898620605,0.272036075592041,0.053152073,0.18365584,-549.3003374251605,-0.15910881069336466,-2.53702698761782,0.0,1697,0.12410259246826172,0.75141894023081,0.205092395261207,-603.837716593235,0.0
3,1.5331625938415527,-549.0004641927818,4.073069370432752,-541.2854648573168,-560.6959874232222,0.0,0.6380874356220763,0.1,0.04868674278259277,0.18053913116455078,0.047843784,0.13901353,-549.2703501019226,-0.15515652975330618,-2.5361969005917775,0.0,1697,0.20932674407958984,0.20722732040109293,0.020967891279070904,-629.9514818240549,0.0
4,1.2627325057983398,-548.3926149374571,4.836539111239866,-539.4194267422491,-561.1061580302539,0.0,0.6028285211171172,0.1,0.0284426212310791,0.34481215476989746,0.05577164,0.15365104,-549.1825765854761,-0.15231668805938647,-2.5330876153198445,0.0,1710,0.2988417148590088,0.02073855833460644,0.01900307310568153,-674.4361577666217,0.0
5,1.592529058456421,-548.2913705812874,4.924454519289565,-540.4873635728779,-566.1739418606608,0.0,0.5410478185471416,0.1,0.010892629623413086,0.27454209327697754,0.051413752,0.13958594,-549.0934559850573,-0.1543979038477774,-2.5326431721293408,0.0,1710,0.18877363204956055,0.018789646762172835,0.01717581288780133,-616.650684804293,0.0
6,1.2357661724090576,-548.682717995459,4.301403675113564,-539.8435492880068,-563.4287675418677,0.0,0.5906224943785958,0.1,0.010048389434814453,0.3654344081878662,0.053374488,0.14678563,-549.0523821860975,-0.15636855609500475,-2.534514357498244,0.0,1696,0.2302722930908203,0.017615924497012977,0.01568489216458771,-676.6362372819817,0.0
7,1.7039711475372314,-550.4881168533926,5.531344447655095,-536.4578390365027,-564.6454114929558,0.0,0.5822353750413157,0.1,0.07686638832092285,0.23730969429016113,0.053105228,0.15318516,-549.195955652827,-0.16097831544759697,-2.5434760228515056,0.0,1747,0.2809913158416748,0.016360762115675935,0.01379611071359028,-622.4519221782093,0.0
8,1.5829691886901855,-550.2739487620194,5.792124099512475,-540.8644778586053,-569.7392696849422,0.0,0.6332759862558117,0.1,0.0502622127532959,0.25465869903564453,0.05232979,0.15340056,-549.3037549637463,-0.1635720631809464,-2.542517316403085,0.0,1714,0.24312496185302734,0.01424726224139574,0.01139200868208116,-568.0566617428863,0.0
9,1.3125295639038086,-548.7447462991855,6.515312037079266,-536.5180047392347,-589.9679199903526,0.0,0.5722776119235499,0.1,0.012812137603759766,0.327847957611084,0.04871605,0.12490636,-549.2478540972902,-0.15660591153352957,-2.5348415440402188,0.0,1733,0.2842133045196533,0.01082803566341486,0.008097109766593703,-569.0924837819309,0.0
10,1.5879039764404297,-547.3313386179158,4.233690843275492,-539.0189248969104,-557.8812510501547,0.0,0.6040718443743534,0.1,0.03514575958251953,0.21276259422302246,0.04962966,0.11397571,-549.0562025493527,-0.15254128784329643,-2.527911124053168,0.0,1675,0.20789027214050293,0.008146350916130371,0.00587727554624743,-568.8393576366269,0.0
11,1.5698208808898926,-547.9131014355736,4.981126317819949,-539.8477210179793,-563.8297603303048,0.0,0.5468342894681473,0.1,0.08492040634155273,0.3171215057373047,0.052415453,0.13698517,-548.9418924379748,-0.15032060968324248,-2.530849472430487,0.0,1703,0.13095736503601074,0.005767029474547059,0.003973200682015064,-590.1173533927264,0.0
12,1.6505310535430908,-547.312535066974,6.872557138782944,-539.756891899972,-598.6370209546795,0.0,0.5183359802663492,0.1,0.028681278228759766,0.3359212875366211,0.05178351,0.15073584,-548.7789567008748,-0.1530269073991575,-2.5277773491700923,0.0,1702,0.14099502563476562,0.003949255135389999,0.002696022048450491,-564.749103955322,0.0
13,1.5519304275512695,-547.7282201950198,4.329903638345304,-539.4316393238091,-560.6576222465956,0.0,0.5741902298260402,0.1,0.01134943962097168,0.29764533042907715,0.047688726,0.147399,-548.6738830502893,-0.15970646608865738,-2.529891231163502,0.0,1687,0.1883072853088379,0.0027733490760658355,0.0017766795024360758,-562.4387455905706,0.0
14,1.7336835861206055,-547.4432049713777,5.589883908980351,-537.8439873568026,-579.1728608448426,0.0,0.5855137601706492,0.1,0.06009554862976074,0.27971529960632324,0.052489538,0.14069898,-548.5508152423981,-0.1535436878507478,-2.528403594562213,0.0,1713,0.19039392471313477,0.0017412675817340979,0.001133044132330923,-564.1499110435361,0.0
15,1.403365135192871,-547.7765854625723,5.188152744154101,-537.5030291939024,-566.3481931703353,0.0,0.5560824943520764,0.1,0.005071163177490234,0.21177959442138672,0.05105209,0.14907649,-548.4733922644156,-0.1524457154944846,-2.530174949586907,0.0,1727,0.2656998634338379,0.00113802968239627,0.0007593662526699788,-567.7944604524309,0.0
16,1.719918966293335,-547.0136137957953,4.793182827443959,-536.9331411057696,-560.9967292332801,0.0,0.5880280930383659,0.1,0.07109999656677246,0.3047177791595459,0.05030696,0.16139881,-548.3274144175535,-0.15638036459688645,-2.5263435024276153,0.0,1703,0.28267526626586914,0.0007537573731608579,0.0005371816424581257,-562.9806487273389,0.0
17,1.8046188354492188,-546.4393313250283,4.468428948058557,-537.5825022528094,-560.326892323765,0.0,0.6055426674618186,0.1,0.05363035202026367,0.23616719245910645,0.05035028,0.15914157,-548.138606108301,-0.15284498797166055,-2.523380291228378,0.0,1742,0.1604015827178955,0.0005891104674723734,0.00045967333840612014,-566.5433697934415,0.0
18,1.7716054916381836,-547.0641650803344,4.83565606921853,-537.3497250107586,-561.1533250633432,0.0,0.568789929805166,0.1,0.012470722198486328,0.2092418670654297,0.0507445,0.16573079,-548.0311620055044,-0.1517975490426473,-2.5265283796112725,0.0,1722,0.24916744232177734,0.00041000426670993224,0.00033728336833012607,-559.7944983566175,0.0
19,1.3659987449645996,-546.9643339183673,5.323306684332094,-535.5341050807679,-561.574869050311,0.0,0.5725894876996259,0.1,0.0739583969116211,0.24467897415161133,0.05038461,0.18129292,-547.9244791967907,-0.15750175122893526,-2.526094297401107,0.0,1685,0.24216127395629883,0.00033602205077334804,0.0002887984959587051,-563.5112088807538,0.0
20,1.3902404308319092,-546.3832883843005,5.235028259517959,-534.2278431839854,-560.1317420750077,0.0,0.5584305554337429,0.1,0.052223920822143555,0.23476552963256836,0.049265828,0.18268074,-547.7703601155417,-0.15453024180224356,-2.5231256479923005,0.0,1708,0.2718009948730469,0.0003277960718975547,0.000286319860883501,-555.7802488350917,0.0
21,1.57279634475708,-545.1278296286703,5.009075288947639,-533.0643051729879,-559.9205037437706,0.0,0.5308357068968356,0.1,0.030390024185180664,0.3385353088378906,0.0502346,0.18961495,-547.5061070668546,-0.1507397143289154,-2.5169685316302925,0.0,1690,0.19266414642333984,0.0003322117755899175,0.00029853120551072616,-552.6835337078508,0.0
22,1.5467567443847656,-545.4060566627742,5.116267203182579,-532.7009635162493,-564.0331899471045,0.0,0.5481111739065475,0.1,0.027170658111572266,0.2714962959289551,0.051586315,0.18748744,-547.2961020264465,-0.14820591421060383,-2.518278190116382,0.0,1713,0.24317240715026855,0.00025166645928223713,0.00023198064293707572,-547.3310492300085,0.0
23,1.6397161483764648,-545.1457815100442,5.140572023531508,-536.7403668599342,-568.5559643033563,0.0,0.5570433476839063,0.1,0.06098604202270508,0.32515454292297363,0.049969036,0.18058166,-547.0810699748063,-0.15329616031992607,-2.516976463579429,0.0,1704,0.2382802963256836,0.0002735774815137943,0.00024567466091061804,-546.3027050374918,0.0
24,1.543351173400879,-544.558793910493,5.200346039557092,-537.4260345763471,-574.7012506961007,0.0,0.5602652550268516,0.1,0.010795354843139648,0.2802622318267822,0.051458508,0.20256706,-546.8288423683749,-0.14707730322616805,-2.5140544398398332,0.0,1708,0.24915671348571777,0.00021064474645503576,0.0001926117114239238,-549.4532131745439,0.0
25,1.5720829963684082,-543.7594459727305,4.329614139813016,-535.0402723906752,-553.8942546075629,0.0,0.5517016211933279,0.1,0.040171146392822266,0.33847951889038086,0.049211044,0.1891269,-546.5219027288105,-0.14694644358252498,-2.51008967498441,0.0,1668,0.11777925491333008,0.00017451804445108412,0.00016117305479785684,-544.798667132502,0.0
