rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss
100.0,63843,8441,201.59988409,640,7,60842,-135.9184112548828,0.07365121692419052,0.7327262759208679,0.00073,9.36048412322998
100.0,64843,8580,220.46987572999998,650,7,61842,-129.44703674316406,0.07627209275960922,0.43904417753219604,0.00073,8.894804000854492
100.0,65843,8721,210.48267665999995,660,7,62842,-128.36521911621094,0.07613497227430344,-1.347215175628662,0.00073,10.95595932006836
100.0,66843,8859,207.14575600999996,670,7,63842,-127.27777862548828,0.08003508299589157,0.33881324529647827,0.00073,9.910453796386719
100.0,67843,8998,197.29500895,680,7,64842,-130.3595733642578,0.08271757513284683,-0.18686959147453308,0.00073,14.372100830078125
100.0,68843,9138,186.75802881999996,690,7,65842,-140.85037231445312,0.08127503842115402,0.26518189907073975,0.00073,11.032827377319336
100.0,69843,9276,190.92074485999999,700,7,66842,-138.3009490966797,0.08346951752901077,0.4897248148918152,0.00073,11.152289390563965
100.0,70843,9417,177.10948778,710,7,67842,-141.9083709716797,0.07899720966815948,-0.2717474102973938,0.00073,11.642724990844727
100.0,71843,9555,191.47942558999995,720,7,68842,-135.62240600585938,0.07959850132465363,0.6270504593849182,0.00073,11.777999877929688
100.0,72843,9696,207.21451657,730,7,69842,-142.5759735107422,0.0792846754193306,0.16601774096488953,0.00073,10.396549224853516
100.0,73843,9835,229.88851092999997,740,7,70842,-128.26449584960938,0.07939660549163818,0.019942134618759155,0.00073,12.47073745727539
100.0,74843,9975,218.73355901,750,7,71842,-148.70391845703125,0.08212162554264069,0.00884440541267395,0.00073,13.057506561279297
99.92,75835,10115,217.13891579000006,760,7,72834,-143.77239990234375,0.08396672457456589,0.6682616472244263,0.00073,11.408202171325684
99.92,76835,10256,232.11329619,770,7,73834,-135.61830139160156,0.08189954608678818,0.2987618148326874,0.00073,11.968801498413086
99.92,77835,10397,251.82308291000004,780,7,74834,-139.108642578125,0.08723314851522446,-0.4306716024875641,0.00073,13.163761138916016
99.92,78835,10536,247.25865511,790,7,75834,-139.90286254882812,0.08592277765274048,-0.8564767837524414,0.00073,10.922337532043457
99.92,79835,10675,258.86904129000004,800,7,76834,-149.48695373535156,0.0877884104847908,0.1482153832912445,0.00073,15.396976470947266
99.92,80835,10814,255.37293765000007,810,7,77834,-149.0784149169922,0.08535918593406677,0.5857349634170532,0.00073,13.35035514831543
99.92,81835,10953,227.76140404999998,820,7,78834,-146.05361938476562,0.08004359155893326,-0.4727409780025482,0.00073,10.92317008972168
99.92,82835,11095,227.16030483999998,830,7,79834,-138.91976928710938,0.08422839641571045,0.4211747646331787,0.00073,14.34496784210205
99.92,83835,11236,205.77630740999996,840,7,80834,-149.95008850097656,0.08543374389410019,-0.2535697817802429,0.00073,12.197495460510254
99.92,84835,11378,214.59475247999998,850,7,81834,-145.05548095703125,0.08501411974430084,1.047696828842163,0.00073,13.433626174926758
100.0,85835,11517,221.5694139,860,7,82834,-147.78749084472656,0.08646511286497116,-0.35144758224487305,0.00073,15.105566024780273
100.0,86835,11657,212.41688396000006,870,7,83834,-153.6212158203125,0.08740388602018356,-0.08490827679634094,0.00073,11.176240921020508
100.0,87835,11798,200.51803567,880,7,84834,-155.5518341064453,0.08726554363965988,2.103325843811035,0.00073,15.378135681152344
100.0,88835,11940,225.5490317,890,7,85834,-159.75421142578125,0.08890499174594879,0.36395272612571716,0.00073,9.805663108825684
100.0,89835,12080,221.79698478000006,900,7,86834,-155.07411193847656,0.09088734537363052,-0.046463191509246826,0.00073,12.346500396728516
99.57,90792,12214,222.22384778000003,910,7,87791,-144.30812072753906,0.08735640347003937,-0.33399057388305664,0.00073,13.938546180725098
99.57,91792,12355,214.56049239000004,920,7,88791,-149.01828002929688,0.08555227518081665,0.3604799807071686,0.00073,14.342012405395508
99.57,92792,12496,214.79318931,930,7,89791,-138.20968627929688,0.08163949102163315,-0.7842508554458618,0.00073,12.171403884887695
99.57,93792,12636,206.70065246999994,940,7,90791,-144.39996337890625,0.08288194239139557,-0.03846129775047302,0.00073,11.727640151977539
99.57,94792,12775,199.49296696000002,950,7,91791,-154.27288818359375,0.07757493108510971,-0.5337488055229187,0.00073,13.846524238586426
99.57,95792,12916,198.34405757000002,960,7,92791,-145.5441131591797,0.07882525026798248,-0.44194281101226807,0.00073,13.00864028930664
99.57,96792,13059,200.53952569,970,7,93791,-144.47772216796875,0.07832558453083038,0.5339568853378296,0.00073,10.314842224121094
99.57,97792,13203,214.66674894999997,980,7,94791,-142.9287872314453,0.08033835142850876,-0.20460784435272217,0.00073,9.739826202392578
99.57,98792,13344,210.88185416,990,7,95791,-147.2328643798828,0.08063605427742004,0.8303619623184204,0.00073,11.712597846984863
99.57,99792,13485,209.69563365999994,1000,7,96791,-138.30490112304688,0.08102404326200485,0.09732423722743988,0.00073,11.029775619506836
100.0,100792,13626,231.93137603999995,1010,7,97791,-148.28012084960938,0.08089057356119156,-0.3192299008369446,0.00073,14.06269359588623
100.0,101792,13767,268.48535238000005,1020,7,98791,-148.6548614501953,0.08084757626056671,-0.11543601751327515,0.00073,14.754192352294922
100.0,102792,13906,265.91327007,1030,7,99791,-139.72035217285156,0.08023951202630997,0.32036274671554565,0.00073,11.974205017089844
100.0,103792,14046,261.13659415999996,1040,7,100791,-147.94546508789062,0.07860468327999115,1.7499442100524902,0.00073,12.749763488769531
100.0,104792,14187,255.30777165,1050,7,101791,-148.87689208984375,0.08415541052818298,1.042351245880127,0.00073,11.422647476196289
100.0,105792,14328,274.97016801999996,1060,7,102791,-150.6927032470703,0.08412584662437439,-0.5601810216903687,0.00073,13.922508239746094
100.0,106792,14472,279.63699849,1070,7,103791,-158.79110717773438,0.07794252783060074,0.5064328908920288,0.00073,12.430099487304688
100.0,107792,14613,270.70276151,1080,7,104791,-153.7332763671875,0.07838749885559082,-0.6368816494941711,0.00073,11.588850021362305
100.0,108792,14753,262.23913795999994,1090,7,105791,-150.216064453125,0.07565086334943771,-0.4562116265296936,0.00073,10.983606338500977
100.0,109792,14895,256.69134375,1100,7,106791,-145.35528564453125,0.07752366364002228,-0.03950691223144531,0.00073,10.919464111328125
100.0,110792,15035,235.56286544,1110,7,107791,-148.26953125,0.08065515011548996,0.06312970817089081,0.00073,12.998516082763672
100.0,111792,15177,211.77876066000002,1120,7,108791,-135.306640625,0.07655587792396545,-0.9227916598320007,0.00073,10.887247085571289
