time/fps,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/ent_coef,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss
10,760,-1.8410282299999994,8589,39.37,814,2.170780658721924,-3866.086669921875,5588,-0.004566892981529236,0.00073,25822.107421875
10,770,-10.852453090000001,8635,32.68,820,2.2065465450286865,-3853.507568359375,5634,-2.88755202293396,0.00073,128855.46875
10,780,-17.29972415,8706,28.03,829,2.2139267921447754,-3769.265869140625,5705,-1.696474313735962,0.00073,43095.59375
10,790,-21.335968279999996,8961,26.96,863,2.1782724857330322,-3779.94921875,5960,1.1890333890914917,0.00073,18562.25390625
10,800,-18.127928049999998,9483,29.33,932,2.1719305515289307,-4089.40576171875,6482,-1.349130392074585,0.00073,36220.1484375
10,810,-22.152022450000004,9748,27.33,966,2.24556827545166,-4172.0859375,6747,-0.0813177078962326,0.00073,18072.61328125
9,820,-13.676743150000002,10279,30.06,1036,2.3220019340515137,-4555.6552734375,7278,0.14227822422981262,0.00073,17539.837890625
9,830,-11.0973365,10654,33.14,1087,2.3370914459228516,-4680.728515625,7653,-0.004715248942375183,0.00073,38941.19921875
9,840,-19.773951120000003,11007,29.37,1134,2.5899553298950195,-4915.3583984375,8006,-1.0314340591430664,0.00073,99187.734375
9,850,-23.26945976,11355,28.18,1180,2.3533732891082764,-4981.875,8354,1.3388749361038208,0.00073,44509.359375
9,860,-21.484835430000004,11642,30.53,1218,2.3281474113464355,-4880.892578125,8641,-0.13766339421272278,0.00073,43637.6484375
9,870,-13.55626348,12441,38.06,1325,2.240525960922241,-4956.97412109375,9440,0.32173359394073486,0.00073,24509.33203125
9,880,-7.8027807000000005,12957,42.51,1393,2.219536304473877,-5092.3740234375,9956,0.7668288946151733,0.00073,22012.9140625
9,890,-6.6976841799999995,13298,43.37,1439,2.199298620223999,-5085.02587890625,10297,-0.5775671005249023,0.00073,106460.7578125
9,900,-9.066400680000001,13709,42.26,1494,2.1194205284118652,-5028.7119140625,10708,0.905616044998169,0.00073,21301.52734375
9,910,-1.8106236400000022,14245,44.97,1566,2.1099236011505127,-5044.6943359375,11244,0.47319525480270386,0.00073,25251.66796875
9,920,-3.961185139999999,14923,46.44,1655,2.089829444885254,-5133.26123046875,11922,-1.5240956544876099,0.00073,24913.314453125
8,930,1.7526692300000009,15488,48.34,1731,2.0303592681884766,-5170.2802734375,12487,0.5458692908287048,0.00073,25725.97265625
8,940,7.97851169,16064,50.57,1807,1.9820770025253296,-5106.93798828125,13063,-0.9749119877815247,0.00073,19860.74609375
8,950,6.561927719999999,16260,49.05,1833,1.9828234910964966,-5127.8056640625,13259,0.5240181088447571,0.00073,20948.884765625
8,960,8.071853889999998,16415,47.73,1854,2.0421690940856934,-5099.103515625,13414,-1.9724698066711426,0.00073,37163.6953125
8,970,1.0533005299999976,16712,42.71,1894,1.9487736225128174,-4952.08056640625,13711,-2.5159285068511963,0.00073,30697.88671875
8,980,-1.7007058400000004,17080,41.23,1943,2.0332634449005127,-4987.56591796875,14079,0.4624221622943878,0.00073,27124.576171875
8,990,5.231002020000001,17912,46.14,2055,2.0042693614959717,-5187.40771484375,14911,0.49326860904693604,0.00073,33071.7265625
8,1000,11.764815950000003,18674,49.65,2158,1.946882963180542,-5288.34765625,15673,-0.31932273507118225,0.00073,34116.71875
8,1010,8.50063383,19274,50.29,2239,2.0891647338867188,-5362.87451171875,16273,0.2560337781906128,0.00073,27687.26171875
8,1020,7.5682350199999995,19905,49.82,2324,1.9826819896697998,-5362.71337890625,16904,0.5538340210914612,0.00073,23802.3515625
8,1030,10.503642969999998,20463,49.75,2399,2.0497820377349854,-5382.95849609375,17462,-0.5272315144538879,0.00073,27778.98828125
8,1040,6.20844862,21044,49.8,2477,2.0268826484680176,-5334.9208984375,18043,-0.1314503401517868,0.00073,23475.51171875
8,1050,11.41712676,21788,55.28,2576,1.987844705581665,-5445.50927734375,18787,0.626370906829834,0.00073,21962.412109375
8,1060,16.423691459999997,22572,61.57,2682,1.9956427812576294,-5316.65185546875,19571,1.3572778701782227,0.00073,26276.43359375
8,1070,22.814733739999994,23301,65.89,2779,2.040408134460449,-5341.17041015625,20300,0.6911553740501404,0.00073,25747.28515625
8,1080,31.208973139999998,23892,68.12,2858,1.9413881301879883,-5244.66064453125,20891,-2.082125186920166,0.00073,32247.2734375
8,1090,27.468805900000003,24551,66.39,2946,1.9307122230529785,-5154.6162109375,21550,-0.3305286169052124,0.00073,22026.53515625
8,1100,26.80688617,25222,65.48,3037,1.8620082139968872,-5153.4814453125,22221,-0.4354340136051178,0.00073,20586.34375
8,1110,28.68524763,25707,64.33,3100,1.7975523471832275,-5001.16943359375,22706,1.0403584241867065,0.00073,39990.921875
8,1120,27.130902579999997,26331,64.26,3183,1.7643115520477295,-5006.7197265625,23330,-0.9581973552703857,0.00073,51222.640625
8,1130,20.990893730000003,27072,66.09,3283,1.6839268207550049,-4841.7041015625,24071,1.0614298582077026,0.00073,29844.685546875
8,1140,27.772902910000003,27932,68.88,3401,1.56723952293396,-4786.05859375,24931,0.37003058195114136,0.00073,17245.642578125
8,1150,31.200591380000002,28752,69.64,3510,1.4851185083389282,-4492.35205078125,25751,-0.13547275960445404,0.00073,16442.828125
8,1160,23.665975249999995,29001,64.29,3543,1.45928955078125,-4405.50927734375,26000,0.3105153739452362,0.00073,22801.97265625
8,1170,20.524279280000005,29536,62.35,3615,1.3590863943099976,-4203.4560546875,26535,0.34012794494628906,0.00073,80750.625
8,1180,14.764209960000002,30090,61.98,3689,1.3290432691574097,-4224.3212890625,27089,0.6335486173629761,0.00073,11299.22265625
8,1190,10.418123580000007,30492,59.41,3743,1.2961124181747437,-4045.960693359375,27491,-0.7022541761398315,0.00073,45647.515625
8,1200,2.5344516400000003,30851,56.29,3790,1.2190510034561157,-3989.604736328125,27850,-0.08473469316959381,0.00073,12550.1494140625
8,1210,-3.689162289999999,31054,53.47,3818,1.230713129043579,-3944.297119140625,28053,0.11100327968597412,0.00073,29489.484375
8,1220,-9.456420439999999,31293,49.62,3850,1.1953402757644653,-3889.206787109375,28292,-0.1776222586631775,0.00073,13379.0078125
8,1230,-7.1369656500000005,31929,48.57,3934,1.1680110692977905,-3702.084716796875,28928,0.33595457673072815,0.00073,13118.92578125
8,1240,-13.656029859999999,32665,47.33,4033,1.0704997777938843,-3513.52490234375,29664,0.22165286540985107,0.00073,12431.119140625
8,1250,-23.70377451,32833,40.81,4056,1.0701237916946411,-3482.555908203125,29832,0.02289430797100067,0.00073,11101.880859375
8,1260,-20.820090989999997,33233,42.32,4109,1.0147204399108887,-3368.73193359375,30232,0.0012907767668366432,0.00073,9399.6142578125
8,1270,-16.275957860000002,33864,43.28,4194,0.9681820869445801,-3206.945068359375,30863,0.009872508235275745,0.00073,8713.099609375
8,1280,-18.36118297,34440,43.5,4271,0.9650335907936096,-3108.52734375,31439,-0.03159395977854729,0.00073,13180.7265625
8,1290,-10.789572039999998,35222,47.3,4375,0.9219258427619934,-3012.52001953125,32221,0.06284456700086594,0.00073,5591.38525390625
8,1300,2.745047920000001,36005,51.54,4481,0.8279868364334106,-2846.8525390625,33004,-0.20397138595581055,0.00073,7343.46337890625
8,1310,11.24767936,36613,55.59,4562,0.7840257287025452,-2701.37255859375,33612,-0.07505427300930023,0.00073,17657.685546875
8,1320,20.176757070000004,37376,60.83,4666,0.7126871943473816,-2576.269287109375,34375,-0.14670252799987793,0.00073,4342.40234375
7,1330,20.62631994,38025,60.96,4754,0.6143630146980286,-2401.7763671875,35024,0.7939860224723816,0.00073,6771.1181640625
7,1340,26.647796449999998,38804,61.39,4859,0.5440487861633301,-2232.888427734375,35803,-1.0977227687835693,0.00073,5410.1064453125
7,1350,34.80224214999999,39474,66.41,4949,0.4981846511363983,-2038.2103271484375,36473,0.12696713209152222,0.00073,3289.50927734375
7,1360,37.64407498,40160,69.27,5043,0.4415622651576996,-1877.8934326171875,37159,1.669947862625122,0.00073,4031.640380859375
7,1370,35.630438489999996,40630,67.66,5106,0.4231956899166107,-1793.5115966796875,37629,0.04702812433242798,0.00073,2947.26904296875
7,1380,41.791831099999996,41355,69.15,5205,0.37869563698768616,-1614.659423828125,38354,-0.37679219245910645,0.00073,1747.923095703125
7,1390,39.26825268,41911,66.89,5280,0.3271062672138214,-1482.869873046875,38910,-0.6158303022384644,0.00073,2508.310302734375
7,1400,38.95485711,42802,67.97,5401,0.28623026609420776,-1322.6134033203125,39801,-0.8271327614784241,0.00073,1162.3221435546875
7,1410,35.29910915,43424,68.11,5485,0.25239667296409607,-1214.565185546875,40423,0.14408338069915771,0.00073,962.6820068359375
7,1420,32.988431150000004,43945,65.69,5556,0.23359283804893494,-1113.93115234375,40944,0.09202134609222412,0.00073,900.618896484375
7,1430,40.48842854,44736,67.11,5663,0.20030738413333893,-993.7196655273438,41735,0.14063239097595215,0.00073,1319.410888671875
7,1440,49.105922969999995,45614,68.1,5781,0.168436661362648,-866.554443359375,42613,-4.167448043823242,0.00073,424.875
7,1450,51.88403503000001,46450,69.76,5895,0.14887017011642456,-764.8107299804688,43449,-2.1184003353118896,0.00073,466.01788330078125
7,1460,52.31665697,47095,69.35,5982,0.12608185410499573,-683.0948486328125,44094,-1.428720235824585,0.00073,422.9012145996094
7,1470,63.39126256999999,47762,71.32,6073,0.11377857625484467,-616.7678833007812,44761,-2.5885672569274902,0.00073,479.09820556640625
7,1480,68.78460486,48761,74.06,6208,0.09624245762825012,-537.4697265625,45760,-6.091425895690918,0.00073,289.68731689453125
7,1490,65.67323483999999,49075,71.64,6250,0.09398435801267624,-508.16656494140625,46074,-0.4708309471607208,0.00073,753.692626953125
7,1500,64.47456960000001,49897,70.95,6363,0.08110104501247406,-447.3828125,46896,4.489306926727295,0.00073,115.77980041503906
7,1510,75.16274508000001,50760,73.36,6480,0.0715123862028122,-402.4524230957031,47759,-2.798250198364258,0.00073,198.47146606445312
7,1520,88.37948990999999,51662,77.17,6604,0.06095355004072189,-352.51116943359375,48661,-2.185472249984741,0.00073,166.24639892578125
7,1530,93.33928742999997,52570,78.34,6727,0.051380522549152374,-311.5950927734375,49569,-6.347475528717041,0.00073,194.68389892578125
7,1540,96.06230696000003,53472,78.58,6850,0.04458159953355789,-282.3871765136719,50471,-3.423999309539795,0.00073,50.36189651489258
7,1550,107.59484651999999,54472,80.22,6984,0.0406949557363987,-246.69544982910156,51471,11.999736785888672,0.00073,229.4368438720703
7,1560,125.28293838000002,55472,83.77,7118,0.037406668066978455,-224.41481018066406,52471,5.000863552093506,0.00073,70.08900451660156
7,1570,132.73291859,56471,87.09,7253,0.035965029150247574,-205.85360717773438,53470,-3.833747625350952,0.00073,67.9982681274414
7,1580,150.36278187,57471,87.1,7388,0.03129999712109566,-192.8328399658203,54470,-8.230875968933105,0.00073,47.01888656616211
7,1590,172.24013957,58471,93.96,7524,0.030828680843114853,-183.53585815429688,55470,-9.622088432312012,0.00073,30.098628997802734
7,1600,194.27773960000005,59471,95.74,7659,0.02997899241745472,-177.44216918945312,56470,6.647995471954346,0.00073,23.030118942260742
7,1610,211.61882628000004,60471,97.11,7794,0.02935621701180935,-170.95347595214844,57470,-7.565155982971191,0.00073,110.03904724121094
7,1620,232.28329887999996,61471,98.09,7930,0.02960231527686119,-170.40756225585938,58470,-2.027782917022705,0.00073,30.69164276123047
7,1630,243.51376532999998,62471,99.01,8065,0.029720088467001915,-166.37083435058594,59470,-5.628459930419922,0.00073,44.731910705566406
7,1640,256.31693949,63436,99.64,8197,0.028047222644090652,-169.12413024902344,60435,1.855718731880188,0.00073,31.668540954589844
7,1650,270.06734598,64436,99.64,8333,0.027973229065537453,-175.12770080566406,61435,7.732319355010986,0.00073,86.23529052734375
7,1660,280.00679548,65338,98.66,8457,0.02843926101922989,-173.291748046875,62337,-7.217058181762695,0.00073,18.86832046508789
7,1670,289.00302978999997,66338,98.67,8593,0.028533929958939552,-175.69625854492188,63337,4.042238712310791,0.00073,20.242420196533203
7,1680,291.10970651,67291,98.2,8723,0.027921050786972046,-178.6734161376953,64290,-0.20030874013900757,0.00073,25.82292938232422
7,1690,305.40418366,68291,98.2,8860,0.028915060684084892,-175.09210205078125,65290,-10.812938690185547,0.00073,101.71073150634766
7,1700,306.81849029,69291,98.2,8997,0.027668973430991173,-180.86285400390625,66290,2.1122119426727295,0.00073,19.145673751831055
7,1710,306.28858958999996,70291,98.2,9134,0.028194904327392578,-178.1121368408203,67290,-5.360538482666016,0.00073,16.200069427490234
7,1720,298.89269213,71291,98.2,9273,0.02808401919901371,-181.2466583251953,68290,-4.052989482879639,0.00073,87.87694549560547
7,1730,302.4576505,72291,98.2,9410,0.027190646156668663,-178.97763061523438,69290,-1.8285353183746338,0.00073,15.032502174377441
7,1740,300.69107388,73291,98.55,9549,0.02609049528837204,-183.74639892578125,70290,8.888128280639648,0.00073,35.460968017578125
7,1750,298.07297251999995,74291,98.55,9688,0.02582407370209694,-182.35394287109375,71290,-9.959853172302246,0.00073,105.96683502197266
7,1760,298.19829314000003,75291,99.53,9827,0.025242947041988373,-183.89187622070312,72290,17.067546844482422,0.00073,66.0660171508789
7,1770,296.75862307,76193,98.55,9954,0.025690536946058273,-181.20547485351562,73192,-14.389017105102539,0.00073,17.425031661987305
7,1780,294.41345418000003,77193,99.02,10093,0.024915801361203194,-182.8785858154297,74192,6.624070167541504,0.00073,19.905426025390625
7,1790,290.57811833,78095,98.04,10220,0.02514226734638214,-180.95074462890625,75094,-7.031066417694092,0.00073,18.517900466918945
7,1800,292.07554846,79095,98.04,10361,0.024538876488804817,-183.09596252441406,76094,-11.264511108398438,0.00073,16.6704158782959
7,1810,298.37339092,80047,97.56,10493,0.025253836065530777,-186.3966522216797,77046,-4.032641410827637,0.00073,95.23223114013672
7,1820,306.11446304000003,81047,97.56,10633,0.02511614002287388,-186.59291076660156,78046,-3.030971050262451,0.00073,16.72345542907715
7,1830,308.79697066,82047,97.56,10775,0.02524501085281372,-183.70791625976562,79046,3.0203399658203125,0.00073,25.740446090698242
7,1840,319.11799599,83047,97.56,10918,0.025217056274414062,-183.24063110351562,80046,6.807204246520996,0.00073,25.1794376373291
7,1850,323.52955473,84047,97.56,11059,0.024930186569690704,-187.79859924316406,81046,-12.236071586608887,0.00073,29.803651809692383
7,1860,319.36820576,84949,96.58,11188,0.024499451741576195,-182.44189453125,81948,2.8177483081817627,0.00073,17.485864639282227
7,1870,320.26530454,85753,95.6,11305,0.023726793006062508,-186.3406982421875,82752,-7.176350116729736,0.00073,16.085796356201172
7,1880,328.03149734000004,86753,95.6,11448,0.024290651082992554,-189.76478576660156,83752,3.102354049682617,0.00073,33.917823791503906
7,1890,329.88602298999996,87655,95.6,11575,0.024703461676836014,-188.9854736328125,84654,0.6898181438446045,0.00073,11.865715026855469
7,1900,334.90533986,88655,95.6,11717,0.02485327422618866,-188.17263793945312,85654,3.283280611038208,0.00073,22.262611389160156
7,1910,340.93518166000007,89655,96.08,11857,0.02388090454041958,-189.03732299804688,86654,11.294515609741211,0.00073,21.16811752319336
7,1920,339.08995383000007,90561,95.14,11986,0.02498552016913891,-186.41830444335938,87560,-10.838716506958008,0.00073,46.13700485229492
7,1930,343.94853101,91561,95.14,12129,0.023997126147150993,-193.0786590576172,88560,7.669875144958496,0.00073,15.083927154541016
7,1940,341.57146503999996,92561,95.14,12272,0.025027062743902206,-193.73045349121094,89560,1.125516653060913,0.00073,14.66627025604248
7,1950,343.49304843,93561,95.14,12412,0.02474607713520527,-191.95379638671875,90560,-3.8356051445007324,0.00073,35.32198715209961
7,1960,353.87364300999997,94561,96.12,12557,0.024369429796934128,-193.8687744140625,91560,4.844727516174316,0.00073,23.636096954345703
7,1970,351.73544946999993,95463,97.1,12685,0.024723095819354057,-194.3480682373047,92462,3.704956531524658,0.00073,21.009614944458008
7,1980,353.85233408999994,96463,97.1,12828,0.024430885910987854,-192.57760620117188,93462,12.147045135498047,0.00073,17.501272201538086
7,1990,354.04399990999997,97463,98.08,12968,0.02453746646642685,-196.07235717773438,94462,1.7687138319015503,0.00073,10.859996795654297
7,2000,350.59603035,98463,98.08,13111,0.024265581741929054,-198.9170684814453,95462,-3.104785919189453,0.00073,34.70681381225586
7,2010,350.8017443,99463,98.08,13251,0.02456001192331314,-194.0148162841797,96462,-5.293382167816162,0.00073,14.496419906616211
7,2020,341.5626259,100365,98.04,13381,0.02443985641002655,-194.69415283203125,97364,-7.084734916687012,0.00073,13.761462211608887
7,2030,338.44611325000005,101365,98.04,13523,0.023341260850429535,-198.16220092773438,98364,3.85103702545166,0.00073,33.564056396484375
7,2040,336.00364374000003,102267,97.06,13651,0.02267850749194622,-199.85829162597656,99266,-8.672913551330566,0.00073,10.967985153198242
7,2050,332.61306568,103267,97.06,13793,0.023326391354203224,-197.53883361816406,100266,1.051159381866455,0.00073,12.763570785522461
7,2060,333.52644509000004,104267,97.06,13935,0.022543111816048622,-197.0337371826172,101266,1.5367138385772705,0.00073,21.086448669433594
7,2070,344.84975932999987,105267,98.04,14076,0.023217789828777313,-198.57321166992188,102266,3.703562021255493,0.00073,16.455286026000977
7,2080,343.22243080999993,106267,98.04,14219,0.02311050519347191,-199.97120666503906,103266,5.461671829223633,0.00073,26.225894927978516
7,2090,349.7858051299999,107267,98.04,14360,0.023547116667032242,-199.35906982421875,104266,-1.1634955406188965,0.00073,10.231897354125977
7,2100,348.69944529999987,108169,97.06,14488,0.022632282227277756,-199.60694885253906,105168,10.979253768920898,0.00073,18.5004940032959
