rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
41.75,2567,21869,61.25274423999999,640,8,0.00073,5.286421775817871,1523.0625,0.19200938940048218,-879.0994262695312,18868
41.81,2630,22345,35.46037903,650,8,0.00073,-0.046831488609313965,358.976806640625,0.1922847181558609,-861.50390625,19344
41.16,2676,22694,61.35152946999999,660,8,0.00073,1.2587835788726807,203.03250122070312,0.19739006459712982,-885.7694702148438,19693
39.75,2716,22994,89.13274677,670,8,0.00073,3.505126714706421,237.38426208496094,0.20159141719341278,-821.763427734375,19993
39.9,2772,23417,88.27701316999999,680,8,0.00073,-1.1132203340530396,236.17593383789062,0.20395272970199585,-860.6500244140625,20416
39.83,2831,23852,103.79110391999998,690,8,0.00073,-3.5195846557617188,297.2821044921875,0.20534023642539978,-848.2027587890625,20851
40.13,2892,24291,112.79977759999998,700,8,0.00073,-5.791869640350342,230.41915893554688,0.20525802671909332,-895.1183471679688,21290
40.81,2948,24715,152.50513402999997,710,8,0.00073,1.770084023475647,210.60699462890625,0.2058178037405014,-959.0093383789062,21714
40.17,2988,25017,163.28783323000002,720,8,0.00073,1.2404487133026123,280.9013366699219,0.20474831759929657,-974.178466796875,22016
40.39,3047,25468,165.14138075999995,730,8,0.00073,-3.673182964324951,237.617431640625,0.20442083477973938,-920.4481811523438,22467
40.99,3114,25968,164.68042997000003,740,8,0.00073,2.740204334259033,226.25448608398438,0.20203803479671478,-944.656494140625,22967
40.93,3176,26438,161.98508478000002,750,8,0.00073,-1.0834436416625977,251.32220458984375,0.20337626338005066,-928.9485473632812,23437
41.86,3234,26880,167.27596581999998,760,8,0.00073,0.8258532285690308,298.9310607910156,0.20476050674915314,-897.1578979492188,23879
41.77,3273,27171,141.29445163999998,770,8,0.00073,1.4676942825317383,241.94296264648438,0.198590949177742,-895.8826904296875,24170
42.26,3337,27643,169.46305381000002,780,8,0.00073,-4.480371952056885,227.08779907226562,0.19364501535892487,-884.943359375,24642
42.62,3399,28114,148.69497537,790,8,0.00073,-1.3706620931625366,208.925048828125,0.19068178534507751,-905.5712280273438,25113
41.96,3448,28487,128.35584153999997,800,8,0.00073,3.4695487022399902,270.9986572265625,0.19336558878421783,-899.2250366210938,25486
42.71,3513,28986,91.46304843000001,810,8,0.00073,-0.747613787651062,362.2951965332031,0.19656988978385925,-932.2283325195312,25985
44.01,3570,29418,66.30274355000002,820,8,0.00073,-0.339424729347229,237.1107635498047,0.19603200256824493,-901.806884765625,26417
43.93,3629,29861,86.08108155,830,8,0.00073,-1.8206284046173096,180.27288818359375,0.19022482633590698,-897.295654296875,26860
43.61,3691,30329,95.68433420000001,840,8,0.00073,-0.3052310347557068,206.64064025878906,0.1841956377029419,-946.8658447265625,27328
42.31,3736,30669,81.33710165,850,8,0.00073,-3.0171844959259033,221.4154052734375,0.18177463114261627,-940.80224609375,27668
41.7,3787,31050,54.49323872000001,860,8,0.00073,1.7081272602081299,461.8926086425781,0.17758941650390625,-898.4513549804688,28049
42.27,3834,31398,62.59976211999999,870,8,0.00073,3.0297248363494873,242.2208709716797,0.17540022730827332,-892.3460083007812,28397
42.55,3900,31898,48.1302769,880,8,0.00073,0.07847034931182861,211.24948120117188,0.1797913759946823,-933.7201538085938,28897
42.6,3964,32374,60.762408369999996,890,8,0.00073,-3.6339197158813477,217.6962432861328,0.1730308085680008,-862.9719848632812,29373
43.81,4029,32868,56.297239489999995,900,8,0.00073,2.427675485610962,224.39352416992188,0.1751818209886551,-862.1489868164062,29867
42.96,4083,33282,73.13125994,910,8,0.00073,-0.8304811716079712,210.88272094726562,0.1754727065563202,-833.4937744140625,30281
42.7,4136,33688,73.87580501000001,920,8,0.00073,3.710825204849243,238.21365356445312,0.17492258548736572,-969.87109375,30687
43.27,4202,34188,72.75536653,930,8,0.00073,2.78348970413208,259.28271484375,0.17024679481983185,-915.709716796875,31187
43.42,4267,34671,114.34411162,940,8,0.00073,-0.8280133008956909,226.91831970214844,0.1785098910331726,-882.6927490234375,31670
45.02,4333,35171,192.95333296,950,8,0.00073,-2.575641632080078,178.9732666015625,0.18258769810199738,-882.7879638671875,32170
46.21,4399,35671,233.97430577000003,960,8,0.00073,-3.9835238456726074,216.0053253173828,0.1753954440355301,-792.8336791992188,32670
47.64,4463,36162,264.56207727,970,8,0.00073,-4.844911098480225,156.33932495117188,0.17504484951496124,-826.111083984375,33161
46.46,4514,36544,261.23190633,980,8,0.00073,-0.766827404499054,203.98956298828125,0.1762794703245163,-928.8204956054688,33543
45.55,4565,36929,278.09052299000007,990,8,0.00073,1.726893663406372,7351.970703125,0.1745615452528,-920.47021484375,33928
44.99,4622,37367,282.74182526000004,1000,8,0.00073,0.931678056716919,272.1159362792969,0.17190426588058472,-922.7196044921875,34366
45.35,4682,37817,301.84015173,1010,8,0.00073,-2.508389472961426,424.476318359375,0.17017316818237305,-891.9996337890625,34816
45.99,4745,38287,360.05253679000003,1020,8,0.00073,-0.4219329357147217,221.50257873535156,0.17383506894111633,-882.3795166015625,35286
45.99,4811,38787,378.18649170000003,1030,8,0.00073,-2.4684484004974365,285.8507080078125,0.1755446046590805,-860.9210205078125,35786
46.16,4877,39287,351.08458327,1040,8,0.00073,8.164533615112305,341.05535888671875,0.1751399040222168,-942.84765625,36286
46.07,4942,39778,305.8787136700001,1050,8,0.00073,1.255818486213684,242.20428466796875,0.1724458783864975,-889.2020874023438,36777
45.79,5004,40250,274.04380982,1060,8,0.00073,2.455352306365967,267.8742370605469,0.17212457954883575,-926.5792846679688,37249
45.73,5068,40735,235.91454450999993,1070,8,0.00073,0.8441904783248901,305.2509765625,0.16811014711856842,-838.176025390625,37734
46.82,5134,41226,248.43779195,1080,8,0.00073,0.2747076153755188,178.22698974609375,0.16674625873565674,-916.8450927734375,38225
47.47,5193,41676,286.81076620000005,1090,8,0.00073,-4.054098129272461,221.01669311523438,0.16899262368679047,-823.2382202148438,38675
47.14,5248,42081,331.80206290999996,1100,8,0.00073,-2.3981821537017822,179.35394287109375,0.16900183260440826,-919.747802734375,39080
47.29,5310,42546,301.30446873000005,1110,8,0.00073,8.432762145996094,347.53076171875,0.1681186556816101,-932.3355102539062,39545
47.42,5374,43029,256.42532065,1120,8,0.00073,0.8212122917175293,228.37261962890625,0.16661584377288818,-854.893310546875,40028
47.17,5436,43504,274.31445461,1130,8,0.00073,3.730320930480957,230.56826782226562,0.1667359173297882,-899.0343627929688,40503
46.17,5490,43904,272.40529017,1140,7,0.00073,-0.7449886798858643,291.7764892578125,0.16270248591899872,-847.6064453125,40903
46.04,5553,44382,260.09383596,1150,7,0.00073,-0.5985640287399292,237.65345764160156,0.16332878172397614,-830.140625,41381
45.56,5609,44806,324.58909725999996,1160,7,0.00073,-0.3825894594192505,373.265869140625,0.16812944412231445,-878.9179077148438,41805
45.64,5675,45299,323.78548945,1170,7,0.00073,-0.7831058502197266,4421.32080078125,0.16618624329566956,-861.7241821289062,42298
45.57,5740,45783,337.52085557000004,1180,7,0.00073,1.9635628461837769,169.95523071289062,0.1622382253408432,-918.8375244140625,42782
45.85,5804,46261,279.92904767000005,1190,7,0.00073,6.322430610656738,332.14666748046875,0.15926003456115723,-887.8402709960938,43260
45.87,5859,46668,250.97265984,1200,7,0.00073,4.046481609344482,194.8188934326172,0.1602221578359604,-848.9942016601562,43667
44.96,5908,47042,248.88867113999996,1210,7,0.00073,-0.8040900230407715,329.8984069824219,0.1573943793773651,-839.35791015625,44041
44.28,5963,47457,259.4368954899999,1220,7,0.00073,5.190831661224365,243.2358856201172,0.1585981845855713,-865.1687622070312,44456
44.53,6030,47957,251.01256817999993,1230,7,0.00073,-1.4807476997375488,243.87127685546875,0.15169362723827362,-799.6512451171875,44956
44.56,6084,48360,253.16862396999997,1240,7,0.00073,-1.5325223207473755,178.02468872070312,0.15190497040748596,-826.91015625,45359
44.11,6141,48793,258.96860523000004,1250,7,0.00073,3.6195693016052246,208.88999938964844,0.15072979032993317,-882.7693481445312,45792
44.61,6204,49267,205.90350103,1260,7,0.00073,0.5979396104812622,200.2528076171875,0.15064196288585663,-865.2221069335938,46266
44.68,6271,49767,216.96241789000004,1270,7,0.00073,-2.0236639976501465,216.0663299560547,0.14914202690124512,-806.5116577148438,46766
44.73,6335,50256,185.24523250000001,1280,7,0.00073,1.3002023696899414,1017.459228515625,0.1431734412908554,-816.829833984375,47255
44.03,6389,50664,206.36221839999996,1290,7,0.00073,1.366281270980835,220.45773315429688,0.14089852571487427,-804.1272583007812,47663
44.96,6456,51164,207.59651634,1300,7,0.00073,-2.9960074424743652,238.21298217773438,0.14012858271598816,-779.0601806640625,48163
44.79,6503,51521,222.33711437000002,1310,7,0.00073,-5.970890522003174,200.39431762695312,0.1414612978696823,-726.3643188476562,48520
44.11,6549,51868,225.48618946000002,1320,7,0.00073,-4.121519565582275,244.77197265625,0.14019857347011566,-741.2280883789062,48867
43.52,6607,52309,178.20370123,1330,7,0.00073,2.5472190380096436,349.55450439453125,0.14659211039543152,-743.4112548828125,49308
44.21,6669,52781,184.75142421,1340,7,0.00073,0.5469443798065186,773.0662841796875,0.14205577969551086,-786.4398193359375,49780
44.88,6736,53281,227.51083563999998,1350,7,0.00073,0.9267662763595581,847.6622314453125,0.1441352218389511,-843.6482543945312,50280
45.14,6802,53781,201.80218196000004,1360,7,0.00073,-2.2467894554138184,214.56353759765625,0.14612440764904022,-806.4154663085938,50780
45.14,6868,54281,208.57381948999998,1370,7,0.00073,3.0100526809692383,377.6404724121094,0.14136216044425964,-818.389404296875,51280
45.25,6934,54781,224.91641194000005,1380,7,0.00073,1.8114604949951172,194.37440490722656,0.14624463021755219,-834.9588012695312,51780
45.47,6991,55211,206.87927496000003,1390,7,0.00073,0.5803252458572388,228.3934783935547,0.14335019886493683,-771.3685913085938,52210
45.09,7053,55673,216.1280208,1400,7,0.00073,0.39792168140411377,225.40924072265625,0.14406634867191315,-817.0953369140625,52672
45.89,7111,56110,214.5345423,1410,7,0.00073,-0.5669941306114197,168.03404235839844,0.14482374489307404,-816.6708984375,53109
47.18,7176,56586,227.43275804,1420,7,0.00073,-0.7206164598464966,272.61846923828125,0.14124223589897156,-740.9020385742188,53585
47.77,7243,57086,226.95459448999998,1430,7,0.00073,-0.989983320236206,207.2465057373047,0.13757868111133575,-753.2471923828125,54085
47.92,7310,57573,249.54273063,1440,7,0.00073,-4.578645706176758,241.00131225585938,0.14018066227436066,-778.305908203125,54572
47.22,7368,58003,245.85019831000002,1450,7,0.00073,-7.771919250488281,151.05325317382812,0.13700908422470093,-709.61865234375,55002
46.64,7428,58445,275.39101543000004,1460,7,0.00073,-1.3999197483062744,304.49481201171875,0.13467064499855042,-756.2486572265625,55444
46.27,7491,58908,267.42921299,1470,7,0.00073,-8.99618148803711,223.70074462890625,0.1372620314359665,-711.2361450195312,55907
