time/episodes,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
10,1000,100.0,43,23,-112.04723659999999,,,,,,
20,2000,100.0,42,47,-116.79633469999999,,,,,,
30,3000,100.0,42,71,-116.71905269999999,,,,,,
40,4000,100.0,19,205,-113.928486875,1.1792182922363281,0.4862653911113739,-18.570777893066406,0.00073,999,-5.763316631317139
50,5000,100.0,14,342,-72.58720816,1.6604175567626953,0.25623616576194763,-24.76927947998047,0.00073,1999,-5.884807586669922
60,6000,100.0,12,479,-8.683977283333329,2.4925179481506348,0.1737411916255951,-61.61868667602539,0.00073,2999,-3.918703079223633
70,7000,100.0,11,616,38.96549808571429,2.388803005218506,0.1236918643116951,-89.95858001708984,0.00073,3999,-3.135084629058838
80,8000,100.0,10,753,96.74299523750001,2.937443494796753,0.10277988761663437,-121.56163024902344,0.00073,4999,-0.29011571407318115
90,9000,100.0,10,889,150.6277830111111,3.4681029319763184,0.10440366715192795,-159.76841735839844,0.00073,5999,0.4826180934906006
100,10000,100.0,9,1028,205.54735933000003,4.153946399688721,0.12661407887935638,-197.50668334960938,0.00073,6999,0.05080566555261612
110,11000,100.0,9,1169,284.0345182,4.288769721984863,0.14556147158145905,-221.45201110839844,0.00073,7999,0.17569345235824585
120,12000,100.0,9,1307,368.49874421999994,4.292809009552002,0.16416804492473602,-246.2698516845703,0.00073,8999,0.6700308918952942
130,13000,100.0,8,1445,453.40265571000003,3.2014713287353516,0.16768485307693481,-256.7869567871094,0.00073,9999,-0.07001291215419769
140,14000,100.0,8,1584,536.05034702,3.8687667846679688,0.1722106784582138,-270.8777770996094,0.00073,10999,0.3044835329055786
150,15000,100.0,8,1725,599.74930092,4.367671966552734,0.17505940794944763,-277.9577331542969,0.00073,11999,-0.21628493070602417
160,16000,100.0,8,1865,641.60203497,3.146292209625244,0.17570355534553528,-288.29730224609375,0.00073,12999,-0.5155056715011597
170,17000,100.0,8,2005,681.9116316300002,3.1333281993865967,0.17729146778583527,-297.4372863769531,0.00073,13999,-0.27226319909095764
180,18000,100.0,8,2145,705.35061432,3.424687385559082,0.17734959721565247,-299.26116943359375,0.00073,14999,-0.25028499960899353
190,19000,100.0,8,2285,720.07689275,3.7521040439605713,0.17617154121398926,-303.1105041503906,0.00073,15999,0.004464149475097656
200,20000,100.0,8,2425,723.92734063,2.7290377616882324,0.17677545547485352,-306.69903564453125,0.00073,16999,-0.33765673637390137
210,21000,100.0,8,2565,730.1699163199999,2.6839232444763184,0.17229042947292328,-310.09210205078125,0.00073,17999,0.17904502153396606
220,22000,100.0,8,2706,731.45929712,3.6883597373962402,0.17436707019805908,-310.0213928222656,0.00073,18999,-0.4559163451194763
230,23000,100.0,8,2846,732.1474828799999,3.0830135345458984,0.1717442125082016,-317.2335205078125,0.00073,19999,0.24107354879379272
240,24000,100.0,8,2984,733.6719496,2.749767303466797,0.16863378882408142,-317.3554992675781,0.00073,20999,0.02540852129459381
250,25000,100.0,7,3126,733.7514911400001,2.426063299179077,0.16738361120224,-317.2196350097656,0.00073,21999,-0.33128470182418823
260,26000,100.0,7,3268,734.5971701399999,2.4785561561584473,0.163685604929924,-319.4567565917969,0.00073,22999,0.06082062050700188
270,27000,100.0,7,3410,735.1305010399999,2.4060091972351074,0.16608484089374542,-320.07794189453125,0.00073,23999,-0.25648805499076843
280,28000,100.0,7,3550,735.7392739299999,2.339373826980591,0.16022761166095734,-324.0142822265625,0.00073,24999,0.2895944118499756
290,29000,100.0,7,3689,736.75951863,2.312964916229248,0.16104283928871155,-324.73455810546875,0.00073,25999,-0.1449173241853714
300,30000,100.0,7,3830,737.19068295,2.4541866779327393,0.15708917379379272,-328.54779052734375,0.00073,26999,-0.2027132362127304
310,31000,100.0,7,3969,737.63999308,2.183394432067871,0.1576409786939621,-328.7939147949219,0.00073,27999,-0.4902941584587097
320,32000,100.0,7,4112,738.5192501,1.721335768699646,0.1546148955821991,-331.4719543457031,0.00073,28999,-0.032258231192827225
330,33000,100.0,7,4257,738.6453405900002,2.0302810668945312,0.1538480967283249,-328.1705627441406,0.00073,29999,0.20864009857177734
340,34000,100.0,7,4398,739.5472490700001,1.9600415229797363,0.15283125638961792,-335.7201843261719,0.00073,30999,-0.3055742681026459
350,35000,100.0,7,4538,741.06960981,2.072597026824951,0.1503475457429886,-332.19525146484375,0.00073,31999,0.1068292185664177
360,36000,100.0,7,4680,741.4835793399999,1.4258649349212646,0.1507076919078827,-331.3441467285156,0.00073,32999,-1.2426807880401611
370,37000,100.0,7,4821,741.55523279,1.8491361141204834,0.14672669768333435,-334.780029296875,0.00073,33999,-0.6305396556854248
380,38000,100.0,7,4963,741.6983530099999,1.552260398864746,0.14386942982673645,-334.67138671875,0.00073,34999,0.338713675737381
390,39000,100.0,7,5104,742.2784769499999,2.0635592937469482,0.14136935770511627,-336.75787353515625,0.00073,35999,0.037618253380060196
400,40000,100.0,7,5244,742.1501709500001,1.9869500398635864,0.14249075949192047,-336.3874206542969,0.00073,36999,-0.03734958544373512
410,41000,100.0,7,5385,742.73434174,1.5669525861740112,0.13773474097251892,-339.9356384277344,0.00073,37999,0.5114561915397644
420,42000,100.0,7,5527,742.78604246,1.9791431427001953,0.13895978033542633,-340.4006042480469,0.00073,38999,0.02141672372817993
430,43000,100.0,7,5670,743.3765609499999,1.6314774751663208,0.13614627718925476,-341.46966552734375,0.00073,39999,0.3233787417411804
