time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
770,765.2898838599999,100.0,7,77000,10320,-0.4216324985027313,0.11989961564540863,0.006309377960860729,-392.5159912109375,0.00073,73999
780,765.3158430100001,100.0,7,78000,10460,-1.0632708072662354,0.3338143229484558,0.006384728010743856,-393.3955383300781,0.00073,74999
790,764.9867332800001,100.0,7,79000,10599,-0.45291393995285034,0.17238765954971313,0.005995812360197306,-392.46893310546875,0.00073,75999
800,763.6783503599999,100.0,7,80000,10739,-0.6072043180465698,0.24402008950710297,0.006227245554327965,-392.2560729980469,0.00073,76999
810,763.9289375799999,100.0,7,81000,10880,-2.2301747798919678,0.09756942093372345,0.0060436478815972805,-392.8348388671875,0.00073,77999
820,765.38807921,100.0,7,82000,11020,3.3754992485046387,0.14925578236579895,0.005843401420861483,-391.45330810546875,0.00073,78999
830,766.0092571799998,100.0,7,83000,11161,0.5377619862556458,0.1506202518939972,0.005499047692865133,-391.8558044433594,0.00073,79999
840,765.6977913200001,100.0,7,84000,11301,1.6252379417419434,0.24208781123161316,0.005289111286401749,-391.6664733886719,0.00073,80999
850,765.7648283099999,100.0,7,85000,11441,1.1130139827728271,0.16507476568222046,0.005379701033234596,-392.241943359375,0.00073,81999
860,764.41882642,100.0,7,86000,11583,-6.190831661224365,0.2556835412979126,0.005061951931566,-392.9573974609375,0.00073,82999
870,765.2212888500002,100.0,7,87000,11723,1.3838376998901367,0.2960798442363739,0.005483904853463173,-392.6943664550781,0.00073,83999
880,765.3731906799999,100.0,7,88000,11864,1.1356396675109863,0.28701844811439514,0.005469280760735273,-391.654541015625,0.00073,84999
890,764.84352957,100.0,7,89000,12004,-2.5838210582733154,0.1864793598651886,0.0052045173943042755,-392.879150390625,0.00073,85999
900,766.6089580300002,100.0,7,90000,12146,2.337440252304077,0.15051878988742828,0.005099104717373848,-392.64825439453125,0.00073,86999
910,766.7803102299997,100.0,7,91000,12287,-2.3058412075042725,0.17212271690368652,0.00515336450189352,-392.912353515625,0.00073,87999
920,766.0451932799999,100.0,7,92000,12430,-2.1984548568725586,0.3740270733833313,0.004826738499104977,-392.33648681640625,0.00073,88999
930,766.11238546,100.0,7,93000,12573,-1.4970226287841797,0.15920421481132507,0.004784376360476017,-392.67431640625,0.00073,89999
