time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss
4854,7,194.61,200,37326,-1455.2687598799998,0.24033376574516296,380.0433349609375,34325,0.00073,-1359.775146484375,-1.3943315744400024
5131,7,198.68,210,39326,-998.3518878799998,0.18868650496006012,195.11990356445312,36325,0.00073,-1095.856689453125,-0.9053781032562256
5410,7,200.0,220,41326,-732.6953986999999,0.17020517587661743,174.28091430664062,38325,0.00073,-907.727294921875,-3.969839334487915
5692,7,200.0,230,43326,-478.23956447999996,0.15023629367351532,112.16284942626953,40325,0.00073,-782.9892578125,-2.0423548221588135
5972,7,200.0,240,45326,-413.83094652999995,0.12871944904327393,93.68592834472656,42325,0.00073,-660.4680786132812,-1.0845355987548828
6250,7,200.0,250,47326,-207.33832901000005,0.11110755801200867,79.91388702392578,44325,0.00073,-563.2483520507812,-3.1090996265411377
6528,7,200.0,260,49326,25.823135900000008,0.10162685066461563,52.70860290527344,46325,0.00073,-521.8447265625,-2.9121313095092773
6807,7,200.0,270,51326,113.68990240000001,0.09309511631727219,58.726417541503906,48325,0.00073,-455.80743408203125,4.572612762451172
7085,7,200.0,280,53326,146.89708839000002,0.0857241302728653,48.41841506958008,50325,0.00073,-411.8515625,1.1113471984863281
7367,7,200.0,290,55326,217.69662606000006,0.08303999900817871,36.127628326416016,52325,0.00073,-399.1119384765625,-0.08971977233886719
7652,7,200.0,300,57326,292.93387952,0.07549116015434265,32.402122497558594,54325,0.00073,-386.2325439453125,-3.134413242340088
7931,7,200.0,310,59326,305.66886476999997,0.0707988366484642,38.00867462158203,56325,0.00073,-354.0273132324219,3.3157835006713867
8213,7,200.0,320,61326,307.91982188000003,0.06805334985256195,33.52080535888672,58325,0.00073,-345.0222473144531,-4.167758941650391
8495,7,200.0,330,63326,373.1207840099999,0.06648854911327362,32.871665954589844,60325,0.00073,-334.9740905761719,-4.834866046905518
8780,7,200.0,340,65326,498.08541768000003,0.06447842717170715,28.437545776367188,62325,0.00073,-322.39630126953125,-1.1490787267684937
9067,7,200.0,350,67326,555.5266703,0.06400826573371887,28.616641998291016,64325,0.00073,-325.43243408203125,-4.884916305541992
9356,7,200.0,360,69326,652.7111796300001,0.06348146498203278,33.2638053894043,66325,0.00073,-319.63311767578125,0.48836493492126465
9650,7,200.0,370,71326,721.2971333800001,0.06326562166213989,29.88751983642578,68325,0.00073,-322.1045837402344,2.7902605533599854
9955,7,200.0,380,73326,746.8852743800002,0.061114855110645294,28.424068450927734,70325,0.00073,-324.9222717285156,0.7364503145217896
10249,7,200.0,390,75326,795.1406753599999,0.06230933219194412,28.63753890991211,72325,0.00073,-326.4110412597656,-0.040636539459228516
10540,7,200.0,400,77326,846.41571766,0.06007695198059082,29.884916305541992,74325,0.00073,-342.9877014160156,-7.48006010055542
10827,7,200.0,410,79326,926.3870465500003,0.06095536798238754,25.27333641052246,76325,0.00073,-354.57275390625,0.026587247848510742
11118,7,200.0,420,81326,1007.5022793699999,0.05844341963529587,25.71141815185547,78325,0.00073,-360.5795593261719,2.2350845336914062
11406,7,200.0,430,83326,971.9960743400001,0.06125367060303688,29.168264389038086,80325,0.00073,-372.1031188964844,-8.831826210021973
11688,7,200.0,440,85326,990.4973572399999,0.05838300660252571,28.07834815979004,82325,0.00073,-363.1456604003906,7.336121082305908
11973,7,200.0,450,87326,1049.64171373,0.05799006298184395,29.631858825683594,84325,0.00073,-373.2882995605469,-0.6202722787857056
12258,7,200.0,460,89326,1086.43480891,0.0581946037709713,21.44322967529297,86325,0.00073,-389.0957946777344,-6.931420803070068
12541,7,200.0,470,91326,1145.52443516,0.058711957186460495,30.48712921142578,88325,0.00073,-403.448974609375,-0.857124924659729
12828,7,200.0,480,93326,1063.92951054,0.05351144075393677,27.08138656616211,90325,0.00073,-388.2194519042969,2.853614091873169
13119,7,200.0,490,95326,1121.5958489699997,0.05169011652469635,25.719402313232422,92325,0.00073,-391.62200927734375,1.2507058382034302
13411,7,200.0,500,97326,1126.4266866,0.05312565714120865,29.86597442626953,94325,0.00073,-388.9332275390625,-2.242027759552002
13704,7,200.0,510,99326,1165.67119334,0.05107517167925835,24.011411666870117,96325,0.00073,-376.6954040527344,8.05130672454834
13989,7,200.0,520,101326,1233.00855795,0.05181027948856354,23.630962371826172,98325,0.00073,-404.2984924316406,4.9312005043029785
14283,7,200.0,530,103326,1327.4540576599998,0.05252818390727043,25.416690826416016,100325,0.00073,-379.048095703125,11.02547836303711
14583,7,200.0,540,105326,1371.3423520699998,0.052182458341121674,20.556793212890625,102325,0.00073,-407.35223388671875,-2.6236696243286133
