time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
11,6677,-9.277585669999999,280,574,43.01,0.3775408864021301,903.1591186523438,-1069.092529296875,0.00073,3676,2.5306665897369385
10,7504,-2.1644309500000007,290,684,50.09,0.4137510657310486,358.9644775390625,-1240.3448486328125,0.00073,4503,0.6799036264419556
10,8425,5.366653060000001,300,807,57.7,0.41974592208862305,1035.0716552734375,-1307.27099609375,0.00073,5424,0.07836157083511353
10,9306,14.06395778,310,924,65.11,0.40749141573905945,340.6307373046875,-1337.3392333984375,0.00073,6305,-0.25166553258895874
9,10058,17.22589151,320,1027,71.39,0.4359910786151886,506.1177673339844,-1421.24951171875,0.00073,7057,-0.47124946117401123
9,11008,28.085537019999997,330,1154,79.56,0.40363314747810364,505.9559631347656,-1432.872314453125,0.00073,8007,0.5192276239395142
9,11810,30.44362736,340,1261,83.74,0.37609800696372986,541.554443359375,-1402.779052734375,0.00073,8809,1.964285969734192
9,12595,32.302815329999994,350,1367,84.96,0.37002426385879517,3971.71728515625,-1399.1561279296875,0.00073,9594,-0.9736747741699219
9,13595,24.762158479999997,360,1501,85.83,0.3332363963127136,412.36376953125,-1361.414306640625,0.00073,10594,2.2769548892974854
8,14567,21.27927746,370,1631,87.19,0.31146901845932007,316.7627258300781,-1316.345703125,0.00073,11566,-1.8268592357635498
