iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
22,1.3624589443206787,-545.1766578218435,5.29541185570501,-532.5065198483239,-561.9709906488753,0.0,0.568541279080771,0.1,0.010192394256591797,0.2370588779449463,0.051464163,0.17232916,-547.3397251616335,-0.1503902254241722,-2.5171042992377495,0.0,1717,0.2173919677734375,0.00022077046413861016,0.00020166845089498116,-544.9592353633225,0.0
23,1.6829414367675781,-544.5746557826233,6.019536667486683,-535.4180095214961,-581.1189978862678,0.0,0.5357999752662184,0.1,0.05307173728942871,0.31581592559814453,0.0505348,0.21284306,-547.0632182237325,-0.15349999197307543,-2.514137968083579,0.0,1694,0.16187214851379395,0.0002144819892650697,0.0001964913818425879,-543.0324821829711,0.0
24,1.341081142425537,-543.451864710274,4.1941846123879944,-535.2706009613293,-556.5582284110181,0.0,0.5175103782318665,0.1,0.01085209846496582,0.2381761074066162,0.051462717,0.20106421,-546.7020828723867,-0.14950527744526806,-2.508325778829972,0.0,1656,0.11842846870422363,0.00015095405400726423,0.00013815936672174268,-544.6290826700013,0.0
25,1.5072340965270996,-543.6563209306456,4.509932881106262,-534.9773380402386,-557.6871330474701,0.0,0.5205732656586718,0.1,0.010264873504638672,0.2157139778137207,0.049731035,0.19094554,-546.3975066782125,-0.14896403620490697,-2.509506206124611,0.0,1685,0.22457599639892578,0.00014192888815779212,0.00013198664579292056,-540.4987718093533,0.0
26,1.3420684337615967,-542.1948763098749,4.078775873624253,-532.6816716797782,-560.5238310549013,0.0,0.494422797183767,0.1,0.009830474853515625,0.20305633544921875,0.04874703,0.21228857,-545.9772436413787,-0.14648429827760598,-2.5022969876071066,0.0,1636,0.14742565155029297,0.00013920347211278614,0.000129139478692429,-538.7150748913532,0.0
27,1.59238600730896,-543.1406929811834,4.870324056806799,-534.3469842522387,-573.7807311379296,0.0,0.5618802127467657,0.1,0.02009725570678711,0.27464747428894043,0.050699383,0.1862136,-545.6935885753592,-0.1476904941739467,-2.5068622559379583,0.0,1687,0.1588582992553711,0.00015972194316578035,0.0001492160955577599,-537.2399825365095,0.0
28,1.3860554695129395,-542.879834052798,5.644763601889264,-532.0216300258057,-568.0270087065834,0.0,0.5508368498912124,0.1,0.027155399322509766,0.2939424514770508,0.050809216,0.17767423,-545.412213123103,-0.14585989940705057,-2.5057085601407176,0.0,1704,0.20915722846984863,0.00016427076201829625,0.00014942131734204552,-534.9024065303596,0.0
29,1.6959643363952637,-541.5734777500415,4.457744689555775,-530.1191856011619,-556.6681987824105,0.0,0.5438499446383841,0.1,0.027556180953979492,0.35622358322143555,0.049774926,0.18867183,-545.0283395857969,-0.1473438009020975,-2.4991102918840546,0.0,1648,0.2613039016723633,0.0001516765930389631,0.00013303593395846974,-537.3673391861491,0.0
30,1.6144962310791016,-540.9991110105233,4.285813953221268,-533.2004382896721,-561.6170004317999,0.0,0.5335289794920781,0.1,0.043686866760253906,0.2476208209991455,0.04963446,0.20389476,-544.6254167282696,-0.14120848700810537,-2.496302074897112,0.0,1651,0.22415494918823242,0.0001338772680000914,0.0001245512398967571,-541.26911376606,0.0
31,1.2715835571289062,-541.0039775492611,5.063785166245077,-531.1341272454705,-573.4895330418459,0.0,0.5250645824438009,0.1,0.01740574836730957,0.24608540534973145,0.050408524,0.1891752,-544.2632728103687,-0.1435646860002812,-2.4962705832401237,0.0,1658,0.24354338645935059,0.00013358099698429805,0.00012196947865747504,-552.6470978758913,0.0
32,1.3693804740905762,-541.3703758139981,3.7529761455953934,-533.094714986712,-553.4876051422341,0.0,0.5253735489968664,0.1,0.028972864151000977,0.23383116722106934,0.05035418,0.19518927,-543.9739831107316,-0.14267163823635043,-2.4981126646468996,0.0,1685,0.3105027675628662,0.00011086357282182563,0.00010020870540320224,-545.5927241437039,0.0
33,1.3499648571014404,-540.5305518444587,4.066862071029097,-531.151065855948,-568.7691890279386,0.0,0.5383073904533117,0.1,0.042235612869262695,0.13864469528198242,0.049891137,0.19972639,-543.6296399841043,-0.14212608651225847,-2.493898818317575,0.0,1667,0.2796473503112793,0.00011610697183507703,0.00010417599001917466,-538.5362662697125,0.0
34,1.51192307472229,-540.8362272628717,4.021767805687278,-531.645004984728,-560.789604439746,0.0,0.515044257227881,0.1,0.03859114646911621,0.2969675064086914,0.051111065,0.19788095,-543.350298711981,-0.14267084350307127,-2.4954795789118234,0.0,1678,0.30236315727233887,9.940357139715337e-05,9.372079827302429e-05,-542.2733222619744,0.0
35,1.476682424545288,-540.1107705870755,3.9866031356044256,-530.7250814887353,-550.9572559522926,0.0,0.4782112716478774,0.1,0.03553318977355957,0.24863123893737793,0.050228953,0.19573504,-543.0263458994905,-0.14119537313766187,-2.4918452332546472,0.0,1665,0.370941162109375,0.00012398943601079333,0.00011751671689769524,-541.1815034100708,0.0
36,1.371563196182251,-540.2275255804784,3.902297115839293,-532.02053140596,-555.5274618081032,0.0,0.5210880904831204,0.1,0.05830097198486328,0.31593847274780273,0.05046693,0.18979321,-542.7464638675892,-0.14150914618672775,-2.4924254837654067,0.0,1682,0.37602686882019043,8.824815781054931e-05,8.206106068729033e-05,-539.5695791616496,0.0
37,1.3884649276733398,-540.9813859030047,4.347600898202579,-532.7672318996405,-566.4386992947063,0.0,0.5280990899235095,0.1,0.0505063533782959,0.29314136505126953,0.051970493,0.19789308,-542.5699560711308,-0.14551927833167158,-2.49617654133366,0.0,1708,0.41570210456848145,8.195801197031241e-05,7.767403721200242e-05,-538.504109349734,0.0
38,1.5045263767242432,-539.7134545033637,3.058211685596054,-531.5954453830576,-546.2171307682017,0.0,0.5250256953252519,0.1,0.03931236267089844,0.19931626319885254,0.04912523,0.18494278,-542.2843059143541,-0.1380431755014139,-2.489813436727885,0.0,1679,0.31380462646484375,8.997582707470432e-05,8.374271959068913e-05,-538.0464622569359,0.0
39,1.417492151260376,-540.2686661951345,4.429526865969645,-533.0099787504275,-561.4208045580947,0.0,0.49401810388189366,0.1,0.03496670722961426,0.24102044105529785,0.050925735,0.21402177,-542.0827419424322,-0.14502409214638481,-2.492521276649153,0.0,1678,0.2879314422607422,0.00010143095178528975,9.299423857551302e-05,-538.7714368939323,0.0
40,1.6017658710479736,-539.6705330377904,4.415512866560194,-531.4540803071839,-557.2852156181066,0.0,0.5168310046480833,0.1,0.023871898651123047,0.3620760440826416,0.05030675,0.18990551,-541.8415210519681,-0.14123133526371628,-2.4895805760636853,0.0,1685,0.31607747077941895,0.00011188128822645818,0.00010182295669053291,-536.2827848507336,0.0
41,1.3267407417297363,-539.3229084694492,3.186647867087799,-531.704163752948,-546.8425041533297,0.0,0.5144663877091699,0.1,0.02136540412902832,0.24558758735656738,0.04990164,0.18257597,-541.5896597937162,-0.13779567936333859,-2.4878765548760584,0.0,1668,0.37642741203308105,0.00010237018329528012,9.540997215138268e-05,-537.4827460409813,0.0
42,1.2825515270233154,-539.1636514505805,3.6514672475842067,-531.8240017847279,-554.7577983975923,0.0,0.5619280102451205,0.1,0.014850616455078125,0.22993183135986328,0.048314534,0.17288147,-541.3470589594027,-0.13927845261874874,-2.4870775801942258,0.0,1682,0.4083397388458252,0.00010630839354674718,8.950966459756947e-05,-537.6868184968382,0.0
