time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss
10,-21.5469396,1000,22,44,100.0,,,,,,
20,-21.979476950000006,2000,48,41,100.0,,,,,,
30,-22.602262600000003,3000,72,41,100.0,,,,,,
40,-20.176436075,4000,206,19,100.0,-34.13035202026367,0.4829955995082855,0.00073,999,0.1116601973772049,-6.057522773742676
50,-14.315225940000003,5000,340,14,100.0,-36.39845275878906,0.23444344103336334,0.00073,1999,0.349003404378891,-11.767538070678711
60,41.66016765,6000,479,12,100.0,-42.3858528137207,0.12785057723522186,0.00073,2999,1.7637748718261719,-8.407435417175293
70,120.13426519999999,7000,611,11,100.0,-93.49101257324219,0.11550188064575195,0.00073,3999,2.4486279487609863,-0.06897127628326416
80,189.2231393625,8000,745,10,100.0,-139.23719787597656,0.12040792405605316,0.00073,4999,2.129378080368042,0.2846696972846985
90,250.18794762222223,9000,879,10,100.0,-183.67050170898438,0.13189606368541718,0.00073,5999,2.856299877166748,0.5891196131706238
100,298.87953252,10000,1014,9,100.0,-223.5780487060547,0.14910723268985748,0.00073,6999,2.6702466011047363,0.6551571488380432
110,375.95493597,11000,1149,9,100.0,-250.3379364013672,0.1556975543498993,0.00073,7999,2.4052627086639404,-0.8766155242919922
120,453.4854549899999,12000,1284,9,100.0,-272.6788024902344,0.15571728348731995,0.00073,8999,2.1960105895996094,0.513623833656311
130,531.6821086900001,13000,1420,9,100.0,-290.59844970703125,0.15598969161510468,0.00073,9999,1.9541912078857422,-1.2176682949066162
140,608.5445436599999,14000,1555,9,100.0,-302.7470703125,0.15113317966461182,0.00073,10999,1.8014559745788574,-0.3242913484573364
150,683.4448954,15000,1690,8,100.0,-312.47283935546875,0.14692622423171997,0.00073,11999,1.7378650903701782,0.302030473947525
160,727.50689735,16000,1825,8,100.0,-322.8187255859375,0.14450840651988983,0.00073,12999,1.5492819547653198,-1.105283260345459
170,744.9461914999998,17000,1960,8,100.0,-328.643310546875,0.1357611119747162,0.00073,13999,1.3458021879196167,0.44974464178085327
180,754.1180213,18000,2096,8,100.0,-329.94342041015625,0.1291409134864807,0.00073,14999,1.2489795684814453,-0.07978174835443497
190,757.0653566799998,19000,2231,8,100.0,-335.9908142089844,0.12929408252239227,0.00073,15999,1.1690621376037598,-0.02031015232205391
200,760.0919320500001,20000,2367,8,100.0,-343.4426574707031,0.12033029645681381,0.00073,16999,1.51530122756958,-0.26640284061431885
210,761.79003696,21000,2504,8,100.0,-346.520751953125,0.11970532685518265,0.00073,17999,1.2837889194488525,0.25120556354522705
220,763.4001862600002,22000,2641,8,100.0,-345.0953063964844,0.11250289529561996,0.00073,18999,1.22308349609375,0.014654085040092468
230,764.32795586,23000,2779,8,100.0,-349.72412109375,0.1102137416601181,0.00073,19999,0.9510833621025085,-0.08226993680000305
240,765.6545150799998,24000,2916,8,100.0,-354.97308349609375,0.1064426377415657,0.00073,20999,0.9570668935775757,0.4066750407218933
250,766.53911655,25000,3051,8,100.0,-353.8378601074219,0.1029321551322937,0.00073,21999,1.3328747749328613,0.3878437280654907
260,767.2625503600002,26000,3188,8,100.0,-356.6272277832031,0.09853732585906982,0.00073,22999,0.8751959204673767,-0.46807074546813965
270,767.6653648400002,27000,3324,8,100.0,-359.12750244140625,0.09868928045034409,0.00073,23999,0.7860854268074036,0.21369460225105286
280,768.1490094699999,28000,3461,8,100.0,-360.2437744140625,0.09309877455234528,0.00073,24999,1.2115731239318848,0.3670109212398529
290,768.4301379000001,29000,3598,8,100.0,-362.3746032714844,0.0901322290301323,0.00073,25999,1.1396455764770508,0.403866708278656
300,768.5518552499999,30000,3735,8,100.0,-362.1705322265625,0.08873016387224197,0.00073,26999,0.782976508140564,0.11497443169355392
310,769.0733839200001,31000,3871,8,100.0,-363.9709167480469,0.08374785631895065,0.00073,27999,0.7355286478996277,0.07428506016731262
320,769.11402107,32000,4008,7,100.0,-367.00079345703125,0.07954110950231552,0.00073,28999,0.9055519700050354,-0.23240016400814056
330,769.35482796,33000,4145,7,100.0,-366.0496520996094,0.07900691032409668,0.00073,29999,0.7837533950805664,-0.4818582534790039
340,756.3020456700001,34000,4282,7,100.0,-369.00689697265625,0.07681933045387268,0.00073,30999,1.1226768493652344,0.6423959732055664
350,756.14182601,35000,4419,7,100.0,-363.4068298339844,0.08572985231876373,0.00073,31999,1.349938988685608,0.7539607286453247
360,754.9329084299998,36000,4556,7,100.0,-364.86541748046875,0.08624137938022614,0.00073,32999,1.8845702409744263,-0.7649576663970947
370,754.6515690199999,37000,4694,7,100.0,-369.82513427734375,0.07347386330366135,0.00073,33999,2.1740570068359375,-0.7724793553352356
380,754.5322108100002,38000,4830,7,100.0,-368.88250732421875,0.06871867179870605,0.00073,34999,0.9669100046157837,0.7711426615715027
390,754.4140646400001,39000,4968,7,100.0,-366.9164123535156,0.06517938524484634,0.00073,35999,1.5217987298965454,1.217754602432251
400,754.6174041200002,40000,5108,7,100.0,-372.9253234863281,0.06576751917600632,0.00073,36999,1.1212992668151855,0.43071359395980835
410,754.45741935,41000,5246,7,100.0,-372.707275390625,0.0630553588271141,0.00073,37999,1.1248631477355957,-0.9209084510803223
420,754.5789958299999,42000,5384,7,100.0,-370.24932861328125,0.06427455693483353,0.00073,38999,0.9671504497528076,0.42629098892211914
430,754.54184116,43000,5522,7,100.0,-371.97528076171875,0.06328371167182922,0.00073,39999,0.8088003396987915,0.8254076242446899
