time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates
480,100.0,48000,5904,-349.7095178900001,8,0.12802940607070923,0.00073,61.581905364990234,-785.8511962890625,2.078914165496826,44999
490,100.0,49000,6035,-346.43025947999996,8,0.11558885127305984,0.00073,46.926780700683594,-669.037353515625,-2.267747163772583,45999
500,100.0,50000,6167,-347.70979176000003,8,0.10002968460321426,0.00073,40.90837860107422,-575.9119262695312,0.7938988208770752,46999
510,100.0,51000,6296,-344.48875485,8,0.08505184948444366,0.00073,29.49854278564453,-487.5543212890625,3.226294755935669,47999
520,100.0,52000,6428,-345.60421205000006,8,0.07080349326133728,0.00073,22.0676326751709,-403.8641357421875,-7.658783912658691,48999
530,100.0,53000,6557,-345.45016598999996,8,0.059294261038303375,0.00073,18.851478576660156,-331.29052734375,5.193898677825928,49999
540,100.0,54000,6687,-343.27873846,8,0.04963880404829979,0.00073,15.336305618286133,-271.70819091796875,-1.2205772399902344,50999
550,100.0,55000,6817,-342.03621318999996,8,0.04230138286948204,0.00073,11.039596557617188,-215.78001403808594,-6.766959190368652,51999
560,100.0,56000,6947,-341.50667417,8,0.034424733370542526,0.00073,8.918335914611816,-164.56053161621094,-0.7007310390472412,52999
570,100.0,57000,7078,-341.59409058999995,8,0.028767826035618782,0.00073,7.022286415100098,-121.65972900390625,-0.5243484973907471,53999
580,100.0,58000,7208,-339.8602964100001,8,0.023965684697031975,0.00073,5.850813865661621,-85.13201904296875,0.2734489440917969,54999
590,100.0,59000,7339,-338.7737707699999,8,0.02000730112195015,0.00073,4.294334411621094,-56.53876495361328,-11.940059661865234,55999
600,100.0,60000,7470,-336.15020179,8,0.016653303056955338,0.00073,3.94309401512146,-29.169729232788086,10.150262832641602,56999
610,100.0,61000,7601,-335.19751181,8,0.014519370160996914,0.00073,3.5068140029907227,-6.649905681610107,-0.7260680198669434,57999
620,100.0,62000,7730,-330.24324255,8,0.012576148845255375,0.00073,2.4706759452819824,8.918395042419434,2.480053424835205,58999
630,100.0,63000,7861,-326.19687787999993,8,0.011644421145319939,0.00073,2.578075408935547,22.936817169189453,1.2666147947311401,59999
640,100.0,64000,7993,-323.63675257,8,0.010191145353019238,0.00073,2.5390818119049072,35.742855072021484,9.450109481811523,60999
650,100.0,65000,8125,-319.86636032999996,7,0.00926556158810854,0.00073,1.7829437255859375,42.23016357421875,-2.9924263954162598,61999
660,100.0,66000,8256,-316.04062178,7,0.008717767894268036,0.00073,1.6444636583328247,50.50955581665039,1.4511172771453857,62999
670,100.0,67000,8387,-312.33319704,7,0.008151594549417496,0.00073,1.8127217292785645,56.08042907714844,-3.404005289077759,63999
680,100.0,68000,8518,-309.1582567,7,0.007457594387233257,0.00073,1.7236837148666382,61.373435974121094,2.978163719177246,64999
690,100.0,69000,8649,-309.45273654000005,7,0.007445971481502056,0.00073,1.4713339805603027,66.12019348144531,-7.694255828857422,65999
700,100.0,70000,8780,-305.9982774399999,7,0.00713129760697484,0.00073,1.4158225059509277,70.69688415527344,-7.505282878875732,66999
710,100.0,71000,8911,-304.13180156000004,7,0.006689433939754963,0.00073,1.3501534461975098,71.63739013671875,-3.615093946456909,67999
720,100.0,72000,9042,-302.66953499999994,7,0.006664635147899389,0.00073,1.1123757362365723,74.6584243774414,-8.995112419128418,68999
730,100.0,73000,9173,-301.08205336000003,7,0.0063789342530071735,0.00073,1.1166926622390747,77.52203369140625,0.48692888021469116,69999
740,100.0,74000,9304,-297.09359337,7,0.006058010738343,0.00073,0.9765638709068298,78.53978729248047,0.7479021549224854,70999
