rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
78.6649424,23,42,100.0,1000,10,,,,,,
66.39604119999998,48,41,100.0,2000,20,,,,,,
38.87887786666667,73,41,100.0,3000,30,,,,,,
188.30834092499998,205,19,100.0,4000,40,-3.2588727474212646,999,0.5589503645896912,4.204070091247559,-128.6685333251953,0.00073
297.85830616,339,14,100.0,5000,50,-4.405638217926025,1999,0.3067871928215027,3.6238746643066406,-216.5247802734375,0.00073
371.85610890000004,474,12,100.0,6000,60,-4.8031744956970215,2999,0.17601701617240906,1.8746356964111328,-272.7686462402344,0.00073
425.5563552428571,611,11,100.0,7000,70,-4.742076873779297,3999,0.10884500294923782,1.8433259725570679,-309.89166259765625,0.00073
466.94373225,748,10,100.0,8000,80,-3.75292706489563,4999,0.0815836489200592,1.7015622854232788,-334.9340515136719,0.00073
499.34531816666663,884,10,100.0,9000,90,-0.871379554271698,5999,0.06234655901789665,1.1635996103286743,-352.7940368652344,0.00073
524.26672749,1022,9,100.0,10000,100,-2.3271334171295166,6999,0.05369356647133827,1.138230800628662,-365.17022705078125,0.00073
591.3277150600001,1161,9,100.0,11000,110,0.6275888681411743,7999,0.04938594996929169,0.9888185262680054,-373.05792236328125,0.00073
661.1106740600001,1302,9,100.0,12000,120,-0.5622824430465698,8999,0.039842382073402405,0.9414907097816467,-376.99688720703125,0.00073
737.93750058,1441,9,100.0,13000,130,-0.9873412251472473,9999,0.041437067091464996,0.9070120453834534,-381.049072265625,0.00073
748.8672985300001,1579,8,100.0,14000,140,-0.2766989469528198,10999,0.03283800557255745,0.8784449100494385,-382.0638122558594,0.00073
750.57712147,1718,8,100.0,15000,150,-1.3493353128433228,11999,0.029119571670889854,0.5969301462173462,-384.9205017089844,0.00073
751.3012951300001,1857,8,100.0,16000,160,0.21193113923072815,12999,0.027386708185076714,0.5181194543838501,-384.9063720703125,0.00073
752.1616030600001,1996,8,100.0,17000,170,1.8816308975219727,13999,0.025933578610420227,0.5008251667022705,-384.2583312988281,0.00073
751.5689695900002,2134,8,100.0,18000,180,-3.525728702545166,14999,0.023312591016292572,0.4366733431816101,-385.3749084472656,0.00073
751.3040800399999,2273,8,100.0,19000,190,1.4190223217010498,15999,0.021401820704340935,0.591640830039978,-383.99798583984375,0.00073
751.38643042,2414,8,100.0,20000,200,0.08569411933422089,16999,0.018562451004981995,0.470961332321167,-385.84027099609375,0.00073
751.9888549300001,2552,8,100.0,21000,210,-1.1972756385803223,17999,0.016435343772172928,0.36825960874557495,-386.60504150390625,0.00073
752.7945185200001,2691,8,100.0,22000,220,-3.3493871688842773,18999,0.015175909735262394,0.3034070134162903,-386.8416442871094,0.00073
754.0846299,2829,8,100.0,23000,230,2.644024133682251,19999,0.01434987224638462,0.3372459411621094,-387.0585632324219,0.00073
755.14812388,2968,8,100.0,24000,240,2.3760507106781006,20999,0.013570827431976795,0.2674102783203125,-386.9759521484375,0.00073
756.0142717499999,3108,8,100.0,25000,250,2.149672508239746,21999,0.012876931577920914,0.2689953148365021,-387.1623229980469,0.00073
757.4247211400001,3248,8,100.0,26000,260,3.376333713531494,22999,0.012075371108949184,0.30146557092666626,-387.0444641113281,0.00073
758.10035909,3395,7,100.0,27000,270,7.4639153480529785,23999,0.01122395321726799,0.24786277115345,-388.3617248535156,0.00073
759.0146030000001,3536,7,100.0,28000,280,0.5986624956130981,24999,0.012227089144289494,0.20310553908348083,-389.4239807128906,0.00073
759.3787791,3675,7,100.0,29000,290,-2.4068992137908936,25999,0.012784273363649845,0.26281824707984924,-387.88543701171875,0.00073
759.0064369599999,3815,7,100.0,30000,300,0.881230890750885,26999,0.00983915850520134,0.20493671298027039,-388.9927978515625,0.00073
759.81680251,3954,7,100.0,31000,310,0.6487345695495605,27999,0.00970818754285574,0.26087379455566406,-389.0958251953125,0.00073
760.5366249399998,4094,7,100.0,32000,320,0.34192416071891785,28999,0.008907569572329521,0.2445749044418335,-389.09173583984375,0.00073
759.01670387,4233,7,100.0,33000,330,-0.36202287673950195,29999,0.008480238728225231,0.13389240205287933,-389.3238525390625,0.00073
758.8059446299999,4373,7,100.0,34000,340,-5.4747314453125,30999,0.008334321901202202,0.13900886476039886,-389.7098083496094,0.00073
758.4157042499999,4511,7,100.0,35000,350,-0.12569069862365723,31999,0.007947574369609356,0.254989355802536,-389.2291564941406,0.00073
759.1907462800002,4650,7,100.0,36000,360,1.0531128644943237,32999,0.007953215390443802,0.17772850394248962,-389.5003662109375,0.00073
759.0291998699998,4790,7,100.0,37000,370,-1.9565398693084717,33999,0.007754793390631676,0.21802093088626862,-390.5135192871094,0.00073
759.6487005599997,4930,7,100.0,38000,380,0.8534618616104126,34999,0.007952411659061909,0.169884592294693,-390.09576416015625,0.00073
761.26528879,5069,7,100.0,39000,390,-0.17310574650764465,35999,0.0076811122708022594,0.16899019479751587,-390.51983642578125,0.00073
763.1346044999998,5210,7,100.0,40000,400,-0.021594703197479248,36999,0.007145985495299101,0.149187833070755,-390.74896240234375,0.00073
763.1716853199999,5351,7,100.0,41000,410,1.6773250102996826,37999,0.007155191618949175,0.209926038980484,-389.9833984375,0.00073
762.9083808299999,5490,7,100.0,42000,420,-0.200698584318161,38999,0.006828736048191786,0.1185980886220932,-391.3001708984375,0.00073
763.48513798,5629,7,100.0,43000,430,-4.580938816070557,39999,0.006312926299870014,0.18318796157836914,-391.4747619628906,0.00073
