rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss
31.2,312,42,10,-350.1632058,7,,,,,,
32.25,645,37,20,-372.65734209999994,17,,,,,,
31.766666666666666,953,36,30,-368.4526671666666,26,,,,,,
31.35,1254,32,40,-360.41998125,38,,,,,,
31.32,1566,30,50,-364.68150682,50,,,,,,
31.066666666666666,1864,30,60,-363.3564861833334,61,,,,,,
30.885714285714286,2162,31,70,-362.6901971857142,69,,,,,,
30.8,2464,31,80,-363.1966945125,77,,,,,,
30.833333333333332,2775,31,90,-364.00558814444446,86,,,,,,
30.81,3081,29,100,-365.69667748000006,103,0.00073,-3.780611038208008,0.9439190030097961,80,25.395116806030273,-45.54160690307617
31.1,3422,23,110,-372.47860671999996,147,0.00073,-19.689205169677734,0.7367275357246399,421,3.896869421005249,-73.5634536743164
31.35,3780,19,120,-368.17762698999996,194,0.00073,-35.03507614135742,0.5698537230491638,779,5.2108306884765625,-50.71739959716797
32.47,4200,16,130,-367.62541002,248,0.00073,-48.115028381347656,0.4268738925457001,1199,5.466279983520508,-28.900611877441406
34.02,4656,15,140,-372.66787923,307,0.00073,-57.71696090698242,0.31677937507629395,1655,5.523122787475586,-3.88704514503479
35.9,5156,13,150,-368.95248938,373,0.00073,-69.87284851074219,0.23015698790550232,2155,4.496196269989014,13.833209991455078
37.63,5627,12,160,-379.35290526000006,435,0.00073,-78.94490051269531,0.17047148942947388,2626,3.5980682373046875,31.828811645507812
38.39,6001,12,170,-378.15265027999993,484,0.00073,-79.3966064453125,0.13482807576656342,3000,5.588262557983398,51.292362213134766
39.53,6417,11,180,-379.2168558000001,538,0.00073,-80.09109497070312,0.1051068976521492,3416,4.440930366516113,62.012237548828125
40.91,6866,11,190,-371.97969313,598,0.00073,-79.14860534667969,0.08166312426328659,3865,3.681295394897461,68.61133575439453
41.97,7278,11,200,-371.1255611300001,651,0.00073,-76.82178497314453,0.06538224965333939,4277,4.326733589172363,69.75337219238281
42.54,7676,10,210,-366.9458575599999,704,0.00073,-59.96929931640625,0.05355081334710121,4675,4.309967994689941,77.38932800292969
43.02,8082,10,220,-367.45132581000007,758,0.00073,-50.177913665771484,0.04455282539129257,5081,3.265280246734619,79.26952362060547
43.3,8530,10,230,-366.04618217,818,0.00073,-36.627655029296875,0.037060901522636414,5529,3.4626293182373047,80.47129821777344
42.79,8935,10,240,-362.08453571999996,872,0.00073,-37.99397277832031,0.03168914094567299,5934,3.2991714477539062,77.46849822998047
41.89,9345,10,250,-363.02569177,926,0.00073,-32.28350067138672,0.027454711496829987,6344,3.078735113143921,82.28313446044922
41.24,9751,9,260,-355.19592942,981,0.00073,-25.39027214050293,0.024727139621973038,6750,2.899308681488037,84.796630859375
41.64,10165,9,270,-353.9830842599999,1035,0.00073,-20.691177368164062,0.02278745360672474,7164,3.2721614837646484,84.95647430419922
41.88,10605,9,280,-351.57614563000004,1094,0.00073,-18.18294334411621,0.021753637120127678,7604,2.687736988067627,85.98036193847656
41.49,11015,9,290,-360.98932967,1148,0.00073,-14.481243133544922,0.020759910345077515,8014,4.167901992797852,83.30978393554688
41.37,11415,9,300,-362.31320012000003,1201,0.00073,-15.694366455078125,0.020000532269477844,8414,4.765617370605469,86.68598937988281
41.28,11804,9,310,-361.0973085499999,1254,0.00073,1.8841745853424072,0.0196631271392107,8803,2.783444881439209,95.78990173339844
41.6,12242,9,320,-361.15518811999993,1312,0.00073,3.062635660171509,0.019911156967282295,9241,2.877614974975586,93.01805114746094
41.59,12689,9,330,-360.0320970700001,1373,0.00073,2.03484845161438,0.02011341042816639,9688,2.7455015182495117,88.86588287353516
41.89,13124,9,340,-361.4243907399999,1430,0.00073,-12.597698211669922,0.02001049742102623,10123,5.749028205871582,94.47708129882812
41.94,13539,9,350,-363.24145496999995,1486,0.00073,-5.582680702209473,0.019848071038722992,10538,3.25950288772583,92.16975402832031
42.35,13986,9,360,-359.18287451000003,1547,0.00073,-1.4808073043823242,0.020148903131484985,10985,3.5506210327148438,97.51475524902344
42.45,14410,8,370,-360.49819805,1603,0.00073,2.4689807891845703,0.020559461787343025,11409,2.9533748626708984,92.47745513916016
42.56,14861,8,380,-361.11815910000007,1663,0.00073,-2.50097393989563,0.019932463765144348,11860,2.962338924407959,99.3907470703125
43.21,15336,8,390,-351.33408339999994,1726,0.00073,-2.5803041458129883,0.020871629938483238,12335,3.286804437637329,94.25997161865234
43.84,15799,8,400,-351.76804873000003,1788,0.00073,8.511889457702637,0.02007283829152584,12798,4.154469013214111,99.10697174072266
44.36,16240,8,410,-353.3187335699999,1846,0.00073,0.9349787831306458,0.019990164786577225,13239,3.6261415481567383,96.25526428222656
43.82,16624,8,420,-353.94953243000003,1897,0.00073,-3.387791872024536,0.01985018327832222,13623,3.769090175628662,100.19091796875
43.37,17026,8,430,-356.6128273599999,1951,0.00073,-0.06175863742828369,0.019090358167886734,14025,3.9297595024108887,102.75274658203125
43.23,17447,8,440,-353.4943286,2008,0.00073,-7.705784797668457,0.019139302894473076,14446,2.9267964363098145,100.12515258789062
43.94,17933,8,450,-355.69869478999993,2072,0.00073,4.178950786590576,0.019149290397763252,14932,3.68160343170166,99.42646789550781
44.11,18397,8,460,-359.9714738800001,2135,0.00073,-3.258420467376709,0.019045569002628326,15396,3.2196760177612305,101.40087127685547
