time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
10,-23.413376969999998,38.33,8738,864,760,0.00073,5737,1.9562606811523438,-3232.26806640625,10297.171875,-1.4336739778518677
9,-23.201714809999995,38.49,9023,903,770,0.00073,6022,1.9872139692306519,-3223.7119140625,12583.64453125,-1.478975772857666
9,-21.646096590000003,42.2,9452,959,780,0.00073,6451,1.919906735420227,-3237.85791015625,69077.9609375,-0.6780673265457153
9,-18.100116850000003,43.63,10037,1038,790,0.00073,7036,1.9710102081298828,-3433.7822265625,31828.4375,1.2799334526062012
9,-13.150023860000001,43.82,10442,1093,800,0.00073,7441,2.001157760620117,-3537.1865234375,31180.0,-1.2756441831588745
9,-14.00882789,46.88,11114,1183,810,0.00073,8113,2.0194034576416016,-3735.52734375,23008.46875,0.6107615232467651
9,-15.45989467,46.02,11408,1223,820,0.00073,8407,2.0458104610443115,-3822.1689453125,28155.13671875,0.347003310918808
9,-19.14279895,44.04,11730,1266,830,0.00073,8729,1.9984161853790283,-3964.361083984375,30804.904296875,1.1187875270843506
9,-18.68315647,41.68,11884,1287,840,0.00073,8883,2.075761318206787,-3864.3828125,33239.3828125,0.2821197211742401
9,-18.09289103,41.22,12079,1314,850,0.00073,9078,2.0814924240112305,-3977.771728515625,26045.958984375,0.6095095872879028
9,-20.0961661,39.2,12658,1392,860,0.00073,9657,2.143138885498047,-4239.25634765625,17831.541015625,1.8771905899047852
8,-18.30620809,42.44,13267,1474,870,0.00073,10266,2.23740291595459,-4448.5,54443.3359375,-2.5837180614471436
8,-15.470688610000002,41.94,13646,1526,880,0.00073,10645,2.2509443759918213,-4512.13232421875,20219.78515625,-0.728906512260437
8,-18.99426522,40.57,14094,1587,890,0.00073,11093,2.425381660461426,-4719.2490234375,28593.7265625,0.2804364860057831
8,-23.627511500000004,41.53,14595,1655,900,0.00073,11594,2.407029867172241,-4937.6201171875,41731.98828125,1.1879593133926392
8,-26.78907154,38.9,15004,1709,910,0.00073,12003,2.6152350902557373,-5159.4130859375,30467.009765625,2.1233136653900146
8,-27.17386091,37.61,15169,1732,920,0.00073,12168,2.686577558517456,-5231.5263671875,53685.1953125,-0.06834596395492554
8,-25.006645420000005,39.49,15679,1801,930,0.00073,12678,2.6841726303100586,-5407.87841796875,79387.015625,2.5250449180603027
8,-19.669930669999996,42.78,16162,1866,940,0.00073,13161,2.7593021392822266,-5610.8642578125,38069.984375,-0.4156804084777832
8,-17.430290749999998,48.78,16957,1972,950,0.00073,13956,2.9289908409118652,-6083.806640625,51639.0703125,1.4644516706466675
8,-19.83599047,46.83,17341,2024,960,0.00073,14340,2.848689317703247,-5957.5166015625,38007.2890625,-0.2661050260066986
8,-22.967109170000004,42.42,17509,2046,970,0.00073,14508,2.8670902252197266,-6017.662109375,45039.82421875,0.3416978716850281
8,-24.84538795,43.98,18044,2119,980,0.00073,15043,2.823995351791382,-5925.4716796875,89558.671875,-0.3754309415817261
8,-20.808033849999997,47.78,18872,2232,990,0.00073,15871,2.8570756912231445,-6235.271484375,102605.25,-0.288979709148407
8,-13.07044832,48.46,19441,2309,1000,0.00073,16440,2.832296133041382,-6197.4052734375,87054.3828125,-2.7722911834716797
8,-13.189062740000002,50.19,20023,2388,1010,0.00073,17022,2.773162364959717,-6340.18408203125,37124.1875,1.766865849494934
8,-8.06220528,54.89,20658,2474,1020,0.00073,17657,2.7617077827453613,-6127.77392578125,55567.7109375,-0.14910733699798584
8,-10.845293109999998,53.08,20987,2519,1030,0.00073,17986,2.6879494190216064,-6274.52099609375,84690.046875,-0.25262412428855896
8,-12.501882979999996,53.84,21546,2596,1040,0.00073,18545,2.5348060131073,-6159.7890625,37046.578125,-0.9909202456474304
8,-10.877044359999998,50.3,21987,2656,1050,0.00073,18986,2.593160629272461,-6125.7880859375,42078.65625,-0.18318206071853638
8,-10.0700716,50.76,22417,2714,1060,0.00073,19416,2.76289439201355,-6180.9267578125,31598.33984375,0.257700651884079
8,-7.57198222,55.09,23018,2795,1070,0.00073,20017,2.520746946334839,-6125.25048828125,51182.29296875,-1.7829740047454834
8,-4.658703219999999,57.14,23758,2895,1080,0.00073,20757,2.4453301429748535,-6207.86083984375,48667.890625,-0.67251056432724
8,-6.212916029999999,55.11,24383,2981,1090,0.00073,21382,2.460597515106201,-5967.62060546875,31798.58203125,-0.7719200849533081
8,-8.94600921,54.91,24932,3057,1100,0.00073,21931,2.3792898654937744,-5934.3974609375,31109.03515625,-0.3003743588924408
8,-2.938342349999997,55.97,25620,3150,1110,0.00073,22619,2.1739985942840576,-5775.68212890625,34977.0078125,0.9002216458320618
8,-2.4195380299999996,57.32,26390,3255,1120,0.00073,23389,2.0910751819610596,-5562.083984375,24235.1171875,0.7675375938415527
8,4.128164030000001,63.35,27322,3383,1130,0.00073,24321,1.9223895072937012,-5361.9580078125,26703.625,-0.14473851025104523
8,10.721031499999999,66.01,28147,3496,1140,0.00073,25146,1.7926796674728394,-5072.8583984375,18438.5546875,0.12798351049423218
8,10.591993249999998,66.96,28683,3568,1150,0.00073,25682,1.6713290214538574,-4824.7783203125,20070.2734375,0.4618000090122223
8,9.27646329,65.1,28927,3601,1160,0.00073,25926,1.63760244846344,-4830.46923828125,32006.181640625,-0.25340354442596436
8,11.59390214,67.8,29798,3719,1170,0.00073,26797,1.4199198484420776,-4386.77783203125,45790.9765625,0.26208892464637756
