iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
13,1.5996315479278564,-547.7592498797703,5.029945224055825,-538.6323803839527,-573.5497419567358,0.0,0.5800305188590312,0.1,0.13544082641601562,1.1391246318817139,0.04769341,0.14911732,-548.2873961019684,-0.15833796091537697,-2.530066759144217,0.0,1692,0.28353142738342285,0.002140264057818923,0.0014640743407873008,-565.9877473350926,0.0
14,1.829671859741211,-546.6349164930774,4.000037682395405,-540.1480045877572,-561.578059517079,0.0,0.5711698594089446,0.1,0.054198503494262695,0.1384129524230957,0.052821536,0.16249801,-548.1221481410794,-0.15396168350436434,-2.5244516937557315,0.0,1682,0.17346429824829102,0.0014226258190597671,0.0010334698254132182,-561.0026096350261,0.0
15,1.4263019561767578,-547.259520998485,5.083104321117753,-537.598954340311,-564.4132410550219,0.0,0.5393486208641869,0.1,0.12784337997436523,0.6311471462249756,0.051129986,0.18044186,-548.03588542682,-0.1552663624699506,-2.527512908068941,0.0,1693,0.1763603687286377,0.0010137235065072684,0.000766296595628038,-558.9169645797351,0.0
16,1.7658569812774658,-546.3918332548106,5.427032801734664,-536.2784463177834,-569.9253741087623,0.0,0.5752805016962306,0.1,0.22628164291381836,1.1535675525665283,0.05054557,0.17111818,-547.871480209619,-0.15454296296217962,-2.5230265388579967,0.0,1689,0.3014075756072998,0.0007767587714447976,0.0006354604561574291,-558.9110543059764,0.0
17,1.5062294006347656,-546.1260720713063,5.716191807187877,-536.5262017724616,-571.7074291365217,0.0,0.5947064758686208,0.1,0.06596112251281738,0.7200391292572021,0.05153719,0.16949475,-547.6969393957878,-0.1501434121893784,-2.521791719510888,0.0,1748,0.2577834129333496,0.0006942749737247754,0.0006002601515324332,-561.8222229967528,0.0
18,1.752110481262207,-546.034628341207,4.119635757198341,-536.4790340073026,-557.6220736106341,0.0,0.5441294755599673,0.1,0.07319188117980957,0.6059863567352295,0.050609175,0.18425676,-547.5307082903298,-0.15155359982078073,-2.521418749037477,0.0,1686,0.11812019348144531,0.0005016337206677618,0.0004424996413420377,-559.1651424832194,0.0
19,1.4653949737548828,-546.2911180115542,4.957148048668648,-535.4151625703495,-560.7117092797782,0.0,0.5428444904672041,0.1,0.1857466697692871,0.36661338806152344,0.051520836,0.19638292,-547.4067492624522,-0.15929520385000653,-2.5227033171448126,0.0,1666,0.11499190330505371,0.0004878787346415473,0.0004353965233792671,-556.6853238722528,0.0
20,1.5695669651031494,-545.9364285656798,5.994991759818816,-534.4762996226281,-585.478441622452,0.0,0.5238383859226226,0.1,0.04390573501586914,0.9656665325164795,0.050110728,0.20368306,-547.2597171927749,-0.15844099940020978,-2.520728869238965,0.0,1688,0.3240833282470703,0.0004411961585936354,0.00039852307067715366,-563.1955125156453,0.0
21,1.466428518295288,-545.1259143783769,5.640709637844507,-533.6126411388751,-574.687127397862,0.0,0.5247012182558989,0.1,0.18039870262145996,1.716158390045166,0.05076202,0.19867553,-547.0463369113352,-0.15319947720104424,-2.5166665801277683,0.0,1689,0.2871699333190918,0.00042509872160814347,0.0003727171209776389,-563.5950118664878,0.0
22,1.599351406097412,-544.3797539188234,4.567573809381789,-532.8305545888948,-555.115034104795,0.0,0.5467412831513806,0.1,0.04933929443359375,0.5840175151824951,0.049490318,0.19342661,-546.779678612084,-0.15246372406088143,-2.5131979147177854,0.0,1664,0.25815844535827637,0.0003616246624820191,0.00031575919692327726,-570.0597645747807,0.0
