time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss,train/n_updates
10654,37.93,-26.98534806,9,1065,360,0.00073,-6.229612827301025,-169.719482421875,0.04399821534752846,6.909494400024414,7653
11085,39.21,-28.27209468,9,1122,370,0.00073,-14.248103141784668,-161.96121215820312,0.039230722934007645,9.014832496643066,8084
11439,39.46,-30.46938923999999,9,1168,380,0.00073,-4.51815128326416,-148.6209259033203,0.03670330345630646,12.703085899353027,8438
11810,39.25,-30.636601989999996,9,1217,390,0.00073,19.899709701538086,-140.3104705810547,0.032575055956840515,11.410725593566895,8809
12200,38.15,-29.91977441,9,1269,400,0.00073,-17.538610458374023,-130.14932250976562,0.029994871467351913,4.778316974639893,9199
12700,38.45,-28.600408149999993,9,1336,410,0.00073,-1.721052646636963,-117.40748596191406,0.027847489342093468,2.914501667022705,9699
13200,38.45,-29.66279049,9,1401,420,0.00073,3.7488651275634766,-105.15333557128906,0.025301814079284668,4.379096031188965,10199
13700,40.66,-31.4981324,9,1467,430,0.00073,-8.155081748962402,-94.48704528808594,0.02317587472498417,2.559286117553711,10699
14101,43.08,-31.716756029999996,9,1520,440,0.00073,10.080120086669922,-87.36428833007812,0.020345941185951233,15.757457733154297,11100
14332,41.78,-31.106367320000004,9,1550,450,0.00073,3.1626791954040527,-83.9765396118164,0.01923549361526966,2.7136154174804688,11331
14658,40.04,-28.239704479999997,9,1593,460,0.00073,-3.6246893405914307,-76.72235870361328,0.018489183858036995,2.6430742740631104,11657
15135,40.5,-26.076810229999996,9,1656,470,0.00073,-4.1235809326171875,-68.89375305175781,0.016419801861047745,1.6286914348602295,12134
15603,41.64,-26.782942809999998,9,1718,480,0.00073,-1.7285172939300537,-61.492069244384766,0.015157714486122131,1.8495423793792725,12602
15976,41.66,-25.454104250000004,9,1767,490,0.00073,-1.5898480415344238,-55.154205322265625,0.013539427891373634,1.6206390857696533,12975
16424,42.24,-25.208231639999997,8,1827,500,0.00073,-8.652514457702637,-48.909786224365234,0.012056614272296429,1.9944541454315186,13423
