time/total_timesteps,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/ent_coef,train/critic_loss
68000,680,9281,7,763.24196612,100.0,0.00073,64999,-0.5818309783935547,-392.6017761230469,0.006171523593366146,0.11437876522541046
69000,690,9424,7,762.7819232200001,100.0,0.00073,65999,-2.6851344108581543,-391.68670654296875,0.0065007940866053104,0.19480085372924805
70000,700,9566,7,762.68550271,100.0,0.00073,66999,1.5963952541351318,-391.5795593261719,0.006166678387671709,0.30640915036201477
71000,710,9707,7,763.21062451,100.0,0.00073,67999,-0.1343136429786682,-392.2078857421875,0.005134176462888718,0.1890902817249298
72000,720,9849,7,762.0063466600001,100.0,0.00073,68999,-0.16117030382156372,-392.393310546875,0.0053124516271054745,0.13690662384033203
73000,730,9992,7,763.2083357500001,100.0,0.00073,69999,4.844623565673828,-391.8253173828125,0.005206056404858828,0.26620423793792725
74000,740,10134,7,762.6823519000001,100.0,0.00073,70999,0.8104630708694458,-392.87677001953125,0.005256860051304102,0.107164666056633
75000,750,10276,7,762.5295603699998,100.0,0.00073,71999,-1.726315975189209,-392.8298034667969,0.004928466398268938,0.08289496600627899
76000,760,10418,7,761.9779176599998,100.0,0.00073,72999,-0.5527220964431763,-392.8748779296875,0.0048927017487585545,0.14621523022651672
77000,770,10560,7,761.5717128999999,100.0,0.00073,73999,4.075686454772949,-391.4270935058594,0.0048424978740513325,0.2175222933292389
78000,780,10703,7,763.33081221,100.0,0.00073,74999,-0.6769982576370239,-392.9368896484375,0.005206351634114981,0.1814342737197876
79000,790,10846,7,763.4181752,100.0,0.00073,75999,3.11358642578125,-392.98486328125,0.004688286688178778,0.15689177811145782
80000,800,10988,7,762.63440591,100.0,0.00073,76999,-2.098487138748169,-393.4580078125,0.004754207096993923,0.09935398399829865
81000,810,11134,7,762.66092722,100.0,0.00073,77999,0.7440052032470703,-392.6502990722656,0.004805342294275761,0.1744731366634369
82000,820,11277,7,763.1409254499999,100.0,0.00073,78999,-1.7840349674224854,-393.3118591308594,0.004662901628762484,0.14893177151679993
83000,830,11421,7,762.5840197200002,100.0,0.00073,79999,-4.7954630851745605,-393.6938171386719,0.004873664118349552,0.11526437103748322
84000,840,11563,7,761.6895511900002,100.0,0.00073,80999,1.8758649826049805,-393.17816162109375,0.00482785003259778,0.13904768228530884
