time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
3000,8,25253,49.8,-285.39168721000004,650,0.09564056992530823,0.00073,22252,-79.9835433959961,-6.380780220031738,118.06596374511719
3082,8,25871,51.17,-278.33475359,660,0.10045208036899567,0.00073,22870,-80.07105255126953,-2.600229263305664,114.66455841064453
3163,8,26490,53.74,-276.7058209,670,0.10186511278152466,0.00073,23489,-93.49856567382812,-3.345580577850342,104.6466064453125
3214,8,26886,53.64,-270.76563386000004,680,0.10400045663118362,0.00073,23885,-113.50076293945312,4.018784046173096,125.27995300292969
3276,8,27359,52.13,-281.19405294,690,0.10710763186216354,0.00073,24358,-108.71340942382812,4.113437175750732,155.05465698242188
3349,8,27919,52.09,-285.15730805,700,0.11079873889684677,0.00073,24918,-107.95341491699219,0.7967034578323364,96.024169921875
3412,8,28398,52.36,-279.86966466000007,710,0.10954072326421738,0.00073,25397,-120.2762451171875,3.099703788757324,134.2720947265625
3498,8,29041,53.52,-272.00148968999997,720,0.11817283928394318,0.00073,26040,-111.32510375976562,2.4152309894561768,128.0432891845703
3553,8,29461,51.94,-279.7927799,730,0.12292086333036423,0.00073,26460,-137.15213012695312,-10.309798240661621,156.1404571533203
3623,8,29993,52.32,-280.34586336000007,740,0.12060947716236115,0.00073,26992,-128.9987030029297,-3.3095006942749023,133.0678253173828
3684,8,30460,52.07,-281.14762243999996,750,0.11771482229232788,0.00073,27459,-144.85684204101562,3.1172595024108887,167.58322143554688
3754,8,30994,51.23,-291.13259852,760,0.11640152335166931,0.00073,27993,-134.57554626464844,-2.586190700531006,170.1690673828125
3836,8,31615,51.25,-288.40988134,770,0.12449666857719421,0.00073,28614,-143.69281005859375,-5.356932163238525,174.44952392578125
3916,8,32224,53.38,-306.32111288,780,0.1320371776819229,0.00073,29223,-155.56507873535156,0.737393319606781,230.65757751464844
4000,8,32860,55.01,-300.38444322,790,0.13558536767959595,0.00073,29859,-187.4601593017578,-3.014448642730713,200.82931518554688
4063,8,33332,54.13,-295.38873932999996,800,0.1417478621006012,0.00073,30331,-154.12274169921875,-2.4769625663757324,182.12893676757812
4127,8,33817,54.19,-300.50587035,810,0.13491974771022797,0.00073,30816,-176.7930908203125,3.186403751373291,228.23435974121094
4205,8,34421,53.8,-306.8919425,820,0.1364251673221588,0.00073,31420,-202.33489990234375,3.1512622833251953,231.80682373046875
4285,8,35025,55.64,-303.91133805,830,0.15055811405181885,0.00073,32024,-197.9866485595703,-2.60823392868042,222.282470703125
4365,8,35629,56.36,-312.35893296999996,840,0.1528429388999939,0.00073,32628,-202.21278381347656,0.7756381034851074,282.82391357421875
4430,8,36120,56.6,-310.01359097000005,850,0.15182578563690186,0.00073,33119,-215.7263946533203,2.4422361850738525,294.28704833984375
4516,8,36745,57.51,-307.49903084,860,0.14560185372829437,0.00073,33744,-216.98477172851562,3.8713326454162598,227.3827667236328
