time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/actor_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss
7,72000,100.0,765.8135827999998,9742,720,-392.0379943847656,0.00073,0.0077054305002093315,0.3972044587135315,68999,-3.191499948501587
7,73000,100.0,766.0603150899999,9883,730,-392.4626770019531,0.00073,0.007672667503356934,0.30655068159103394,69999,1.5567033290863037
7,74000,100.0,767.63849779,10026,740,-392.6570739746094,0.00073,0.007462827488780022,0.2557812035083771,70999,-1.0746413469314575
7,75000,100.0,768.64843968,10169,750,-393.016845703125,0.00073,0.007270101457834244,0.5035812854766846,71999,1.0144786834716797
7,76000,100.0,768.69369572,10310,760,-392.6720886230469,0.00073,0.0068985880352556705,0.17220082879066467,72999,0.18420091271400452
7,77000,100.0,768.0479017199998,10453,770,-392.35986328125,0.00073,0.006740485783666372,0.31064584851264954,73999,-1.443074345588684
7,78000,100.0,767.63565955,10597,780,-392.5721130371094,0.00073,0.0069752950221300125,0.21942555904388428,74999,-2.6854801177978516
7,79000,100.0,768.28829665,10739,790,-392.29388427734375,0.00073,0.006835447158664465,0.23379898071289062,75999,0.947273850440979
7,80000,100.0,768.77280586,10882,800,-392.6394958496094,0.00073,0.006544339470565319,0.14454874396324158,76999,1.984913945198059
7,81000,100.0,768.7875558299999,11025,810,-393.2598876953125,0.00073,0.006193787790834904,0.2637902498245239,77999,-0.5061168074607849
7,82000,100.0,769.0921217200001,11169,820,-392.4416809082031,0.00073,0.005950086284428835,0.20737174153327942,78999,-1.146682620048523
7,83000,100.0,769.7131896000001,11313,830,-392.0537109375,0.00073,0.006100228056311607,0.3684818744659424,79999,0.9031075239181519
7,84000,100.0,768.9202592400001,11456,840,-392.63067626953125,0.00073,0.006045916583389044,0.21695008873939514,80999,-0.07304151356220245
7,85000,100.0,769.44980827,11597,850,-393.237548828125,0.00073,0.006314061116427183,0.21067383885383606,81999,-1.5749174356460571
7,86000,100.0,768.3333237799999,11740,860,-393.322265625,0.00073,0.006118353456258774,0.1229896992444992,82999,-4.530366897583008
7,87000,100.0,769.9082289199999,11885,870,-392.6021423339844,0.00073,0.00615184661000967,0.36950981616973877,83999,2.198103427886963
7,88000,100.0,769.26113274,12030,880,-393.4822082519531,0.00073,0.006225143559277058,0.12815865874290466,84999,0.35739532113075256
7,89000,100.0,768.6235390700002,12175,890,-392.43231201171875,0.00073,0.006110805086791515,0.16158676147460938,85999,-1.5710546970367432
7,90000,100.0,768.8973627499998,12320,900,-393.0250244140625,0.00073,0.005887401290237904,0.16739925742149353,86999,-2.002664089202881
7,91000,100.0,768.1369393900001,12465,910,-392.5877685546875,0.00073,0.006099873222410679,0.19208478927612305,87999,-1.1254172325134277
