time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/actor_loss
9,410,11920,1240,38.96,-216.95278523000002,5.437468528747559,0.00073,8919,9.028696060180664,0.028826240450143814,61.79204559326172
9,420,12281,1289,39.13,-214.80374184999994,4.931015968322754,0.00073,9280,-3.116926670074463,0.02964724414050579,60.419612884521484
9,430,12613,1334,38.96,-211.60903655,11.45085620880127,0.00073,9612,-13.976426124572754,0.02904047816991806,63.48235321044922
9,440,12979,1383,39.51,-211.44444622,6.731049537658691,0.00073,9978,-0.779604434967041,0.02876773662865162,66.18278503417969
9,450,13450,1445,40.84,-210.23791575999996,6.118027210235596,0.00073,10449,-1.3351998329162598,0.030497504398226738,62.160545349121094
9,460,14049,1523,42.77,-209.15914624000004,5.688307285308838,0.00073,11048,-8.720125198364258,0.03001147322356701,63.08202362060547
9,470,14621,1600,44.98,-208.06624266000003,7.129199028015137,0.00073,11620,-2.5538272857666016,0.0321030393242836,60.03492736816406
9,480,15050,1657,45.48,-210.08947421000002,8.442598342895508,0.00073,12049,0.9242528080940247,0.03173298388719559,58.51362228393555
9,490,15445,1710,45.58,-198.36302231999997,7.80905294418335,0.00073,12444,-6.088247299194336,0.03378365933895111,61.0535774230957
8,500,15813,1759,44.65,-198.60198153,11.713630676269531,0.00073,12812,-3.826012372970581,0.035308122634887695,58.18032455444336
8,510,16286,1821,43.66,-189.93838150000002,8.115972518920898,0.00073,13285,0.5329978466033936,0.03555794432759285,54.87037658691406
8,520,16858,1896,45.77,-187.80401337999996,9.88612174987793,0.00073,13857,-0.7889677882194519,0.03683624044060707,47.99242401123047
8,530,17271,1951,46.58,-189.49961383000004,10.005897521972656,0.00073,14270,-4.040268898010254,0.03672778978943825,50.27687454223633
8,540,17892,2032,49.13,-176.42842491,9.408503532409668,0.00073,14891,-7.792079925537109,0.04056119546294212,42.7490119934082
8,550,18429,2103,49.79,-169.18703373,9.453004837036133,0.00073,15428,-8.743950843811035,0.04261916130781174,41.01963806152344
8,560,19012,2179,49.63,-153.30175789999998,11.481489181518555,0.00073,16011,5.663706302642822,0.040700167417526245,37.79791259765625
8,570,19573,2253,49.52,-146.71825468999998,10.678210258483887,0.00073,16572,10.72785758972168,0.043171219527721405,34.38216018676758
8,580,20111,2324,50.61,-131.48473284,12.20628547668457,0.00073,17110,8.471205711364746,0.046985458582639694,39.44942855834961
8,590,20639,2393,51.94,-137.49386623999996,14.094568252563477,0.00073,17638,-1.2119039297103882,0.04638472571969032,23.437477111816406
8,600,21361,2489,55.48,-133.13524977999998,11.950553894042969,0.00073,18360,4.7494707107543945,0.05012674629688263,15.281289100646973
8,610,22053,2580,57.67,-117.21223405000002,11.723060607910156,0.00073,19052,-0.710476279258728,0.052194491028785706,13.266059875488281
8,620,22714,2666,58.56,-97.36631057000001,12.708240509033203,0.00073,19713,3.071774959564209,0.052299052476882935,9.081620216369629
8,630,23401,2757,61.3,-79.29150654,13.65400218963623,0.00073,20400,-2.284682273864746,0.05187864601612091,-4.872912406921387
8,640,23949,2830,60.57,-87.77820406,14.873634338378906,0.00073,20948,-1.1664453744888306,0.054609015583992004,8.611103057861328
8,650,24598,2914,61.69,-68.82326858999998,19.088699340820312,0.00073,21597,2.894193410873413,0.057493992149829865,1.7403638362884521
8,660,25308,3010,62.96,-47.84863604999999,15.202651977539062,0.00073,22307,0.6709835529327393,0.06007392704486847,-10.852823257446289
8,670,25940,3093,63.67,-34.20788898000001,16.802505493164062,0.00073,22939,-2.4783010482788086,0.0607418455183506,-17.079267501831055
8,680,26628,3183,65.17,-21.34153595,17.08361053466797,0.00073,23627,3.552516460418701,0.05930272862315178,-17.922643661499023
8,690,27367,3280,67.28,-3.4844079399999996,17.144012451171875,0.00073,24366,-0.7944386601448059,0.0647343099117279,-22.105289459228516
