time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss
8,21.7621867,2934,25136,480,94.75,0.08085305243730545,22135,1.4566876888275146,-468.0852355957031,0.00073,37.02886199951172
8,30.586429180000003,3063,26136,490,94.75,0.072564996778965,23135,-3.4919185638427734,-420.7175598144531,0.00073,29.086170196533203
8,47.291008090000005,3194,27136,500,97.49,0.06369094550609589,24135,-3.435377359390259,-373.5211181640625,0.00073,17.69593048095703
8,56.99415892000001,3325,28136,510,99.28,0.056205131113529205,25135,-2.954287528991699,-330.3021240234375,0.00073,21.403995513916016
8,55.96383774,3456,29136,520,99.28,0.05005796626210213,26135,1.8512263298034668,-291.1423034667969,0.00073,15.527692794799805
8,72.84565622999999,3587,30136,530,99.28,0.04643366485834122,27135,-3.6118221282958984,-271.44317626953125,0.00073,56.94417190551758
8,100.81047977000001,3717,31136,540,99.28,0.04230285435914993,28135,4.757269382476807,-252.87216186523438,0.00073,10.167231559753418
8,122.8853089,3848,32136,550,99.28,0.04030710831284523,29135,3.6813907623291016,-237.63360595703125,0.00073,9.959970474243164
8,155.4501026,3982,33136,560,99.28,0.03651745617389679,30135,6.154419898986816,-224.1758575439453,0.00073,8.210015296936035
8,191.10372565,4113,34136,570,100.0,0.03450819104909897,31135,-2.981635570526123,-207.7756805419922,0.00073,5.872060775756836
8,223.06093705000004,4245,35136,580,100.0,0.034071918576955795,32135,-2.2488720417022705,-200.55404663085938,0.00073,6.568280220031738
8,247.48417714000004,4377,36136,590,100.0,0.032984085381031036,33135,2.1594460010528564,-193.56045532226562,0.00073,6.518706798553467
8,269.11379853,4508,37136,600,100.0,0.033349618315696716,34135,-6.571145534515381,-193.46115112304688,0.00073,4.706343650817871
8,296.1777865,4640,38136,610,100.0,0.03157367929816246,35135,4.234167098999023,-190.32041931152344,0.00073,6.878633499145508
8,331.69407957999994,4770,39136,620,100.0,0.0319000780582428,36135,-3.6355631351470947,-190.94219970703125,0.00073,7.753039360046387
8,351.81480346999996,4902,40136,630,100.0,0.031535692512989044,37135,7.912267684936523,-192.81256103515625,0.00073,4.30642032623291
8,357.4198237499999,5032,41136,640,100.0,0.031933873891830444,38135,2.70241117477417,-193.0618133544922,0.00073,6.037774085998535
8,365.98809531,5164,42136,650,100.0,0.031922582536935806,39135,1.2743754386901855,-195.00021362304688,0.00073,9.810277938842773
8,369.8720929699999,5295,43136,660,100.0,0.03158285468816757,40135,3.7155799865722656,-197.51097106933594,0.00073,4.6768999099731445
8,372.48328907,5426,44136,670,100.0,0.030013319104909897,41135,-0.07746650278568268,-198.681884765625,0.00073,5.507463455200195
8,374.27490137,5558,45136,680,100.0,0.029456404969096184,42135,11.040183067321777,-195.16212463378906,0.00073,6.1744160652160645
8,378.51348605,5687,46136,690,100.0,0.029196709394454956,43135,-3.889641046524048,-193.72727966308594,0.00073,4.90119743347168
8,380.87542444999997,5818,47136,700,100.0,0.029140885919332504,44135,-3.4443185329437256,-190.23483276367188,0.00073,4.061676979064941
8,382.66159036,5950,48136,710,100.0,0.02870936691761017,45135,1.5065717697143555,-192.8448944091797,0.00073,4.83321475982666
8,374.5066259299999,6082,49136,720,100.0,0.0271055456250906,46135,-4.170825958251953,-191.9175262451172,0.00073,6.356330394744873
8,374.26858407,6214,50136,730,100.0,0.027612555772066116,47135,-0.053420841693878174,-191.38551330566406,0.00073,3.9024181365966797
8,381.86354084,6346,51136,740,100.0,0.027520759031176567,48135,-14.577383995056152,-193.04733276367188,0.00073,4.205601692199707
8,383.74857063999997,6479,52136,750,100.0,0.029231898486614227,49135,-5.992609024047852,-192.98513793945312,0.00073,5.520865440368652
8,386.1175208700001,6611,53136,760,100.0,0.027965834364295006,50135,0.28591012954711914,-196.92050170898438,0.00073,4.000059127807617
8,386.74063933,6741,54136,770,100.0,0.02796163409948349,51135,6.19536828994751,-197.3799285888672,0.00073,4.9502458572387695
8,389.00970179,6874,55136,780,100.0,0.02752266265451908,52135,-0.9511752724647522,-198.55499267578125,0.00073,6.054224967956543
8,386.89869458,7006,56136,790,100.0,0.027244864031672478,53135,-3.916606903076172,-197.78640747070312,0.00073,3.7544007301330566
8,395.38751182999994,7138,57136,800,100.0,0.027395563200116158,54135,-1.0516586303710938,-199.3371124267578,0.00073,4.560294151306152
7,398.5142926300001,7269,58136,810,100.0,0.027353577315807343,55135,9.057937622070312,-200.6260986328125,0.00073,3.802748203277588
7,410.52451551999997,7402,59136,820,100.0,0.02804783172905445,56135,-1.9229300022125244,-197.9149169921875,0.00073,4.336306095123291
7,413.26628956999986,7536,60136,830,100.0,0.027495568618178368,57135,-1.041142463684082,-203.7586212158203,0.00073,14.673171043395996
7,408.81164301999996,7669,61136,840,100.0,0.028025152161717415,58135,4.248936653137207,-205.13250732421875,0.00073,4.008390426635742
7,416.27101490999996,7802,62136,850,100.0,0.028168868273496628,59135,-1.0029326677322388,-205.96627807617188,0.00073,4.252233505249023
7,416.68947905,7935,63136,860,100.0,0.028104005381464958,60135,-2.194702386856079,-206.04623413085938,0.00073,4.270907402038574
7,438.5348111700001,8067,64136,870,100.0,0.029823457822203636,61135,5.395411014556885,-207.82472229003906,0.00073,4.592556476593018
7,458.62589539999993,8199,65136,880,100.0,0.03051375411450863,62135,-1.1119427680969238,-216.1099090576172,0.00073,5.06176233291626
7,482.5116876,8331,66136,890,100.0,0.03136841952800751,63135,-5.24861478805542,-219.43380737304688,0.00073,5.809652328491211
7,502.6588214199999,8463,67136,900,100.0,0.03354116156697273,64135,4.199201583862305,-226.60958862304688,0.00073,6.842270851135254
7,534.40970712,8595,68136,910,100.0,0.0343785397708416,65135,11.233255386352539,-234.382568359375,0.00073,7.55775260925293
7,562.7423579900001,8727,69136,920,100.0,0.03534293174743652,66135,-3.216653823852539,-242.8328857421875,0.00073,5.714031219482422
7,594.4717586,8860,70136,930,100.0,0.036318015307188034,67135,5.4662299156188965,-248.73033142089844,0.00073,5.341592788696289
7,623.8999334999999,8999,71136,940,100.0,0.03570331633090973,68135,-2.2897562980651855,-251.98532104492188,0.00073,5.694175720214844
7,649.34023209,9134,72136,950,100.0,0.03660034015774727,69135,-3.700450897216797,-256.9485168457031,0.00073,4.791672706604004
7,661.69578804,9268,73136,960,100.0,0.035877522081136703,70135,5.449502468109131,-263.9429931640625,0.00073,6.336793899536133
7,653.58669083,9401,74136,970,100.0,0.03487074747681618,71135,-6.669429779052734,-260.3245849609375,0.00073,5.354493141174316
7,665.2852216300001,9534,75136,980,100.0,0.03547238931059837,72135,1.2631957530975342,-261.3663635253906,0.00073,6.108394622802734
7,677.2698198699999,9667,76136,990,100.0,0.035004857927560806,73135,-0.40628501772880554,-260.8104248046875,0.00073,5.489380836486816
7,679.0327344700002,9800,77136,1000,100.0,0.03588596358895302,74135,-5.075525283813477,-262.4750061035156,0.00073,4.9324846267700195
7,668.10065523,9935,78136,1010,100.0,0.036252353340387344,75135,6.285185813903809,-263.9815673828125,0.00073,8.174654006958008
7,668.31911979,10069,79136,1020,100.0,0.03621356561779976,76135,14.136579513549805,-268.9998779296875,0.00073,8.631926536560059
7,670.9859895199999,10204,80136,1030,100.0,0.036605723202228546,77135,2.384438991546631,-267.2502136230469,0.00073,5.771780490875244
7,665.8836186399999,10339,81136,1040,100.0,0.03581729903817177,78135,-0.4249497652053833,-268.08197021484375,0.00073,5.795807361602783
7,667.4885459000001,10485,82136,1050,100.0,0.03715291991829872,79135,4.743579864501953,-268.8076171875,0.00073,6.375252723693848
7,691.2916571700002,10620,83136,1060,100.0,0.03712476044893265,80135,12.210864067077637,-274.1861267089844,0.00073,7.16438627243042
7,714.58617442,10754,84136,1070,100.0,0.03786645084619522,81135,0.5762712359428406,-275.75909423828125,0.00073,4.157726287841797
7,718.0040307300001,10891,85136,1080,100.0,0.03876369819045067,82135,3.6047544479370117,-278.3878173828125,0.00073,12.550284385681152
7,719.63014507,11027,86136,1090,100.0,0.03843273967504501,83135,5.682226657867432,-282.4054260253906,0.00073,5.21541690826416
7,727.92021016,11163,87136,1100,100.0,0.03857699781656265,84135,2.0010454654693604,-280.69354248046875,0.00073,5.155298233032227
7,742.5034140600001,11299,88136,1110,100.0,0.03790442273020744,85135,-5.964019775390625,-283.7269287109375,0.00073,6.264286994934082
7,742.569545,11435,89136,1120,100.0,0.039663542062044144,86135,3.4499692916870117,-287.90838623046875,0.00073,7.58257532119751
7,740.2417468600001,11580,90136,1130,100.0,0.037995584309101105,87135,-1.06783127784729,-287.5126647949219,0.00073,18.034942626953125
7,752.7507623800001,11717,91136,1140,100.0,0.038050029426813126,88135,4.796289443969727,-291.7125244140625,0.00073,4.593353748321533
7,729.3139362800002,11854,92136,1150,100.0,0.03682161122560501,89135,0.2083420753479004,-290.13751220703125,0.00073,5.9615559577941895
7,721.2208834,11990,93136,1160,100.0,0.038067977875471115,90135,1.4147565364837646,-284.0178527832031,0.00073,5.29132080078125
7,722.1362561699998,12127,94136,1170,100.0,0.03894328698515892,91135,0.2740905284881592,-281.16253662109375,0.00073,5.40705680847168
7,722.7040828500001,12264,95136,1180,100.0,0.03802238032221794,92135,5.318636894226074,-283.4397888183594,0.00073,5.293003082275391
7,723.3819938800001,12401,96136,1190,100.0,0.03800181671977043,93135,3.041449785232544,-281.286865234375,0.00073,5.984191417694092
7,723.2158004600001,12538,97136,1200,100.0,0.03837860748171806,94135,-1.7079453468322754,-284.1741027832031,0.00073,6.680902481079102
7,723.5832280799998,12674,98136,1210,100.0,0.037817008793354034,95135,-1.2173206806182861,-284.8031005859375,0.00073,4.495271682739258
