time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/n_updates
380,668,21.16,7426,-12.530180930000002,11,0.05230657011270523,1.4327352046966553,0.00073,-20.889053344726562,-100.39408874511719,4425
390,700,21.26,7663,-12.486637430000004,10,0.045435093343257904,1.1420397758483887,0.00073,-20.98028564453125,-98.27288818359375,4662
400,727,21.1,7864,-12.533919390000001,10,0.040373414754867554,1.183709740638733,0.00073,-17.429527282714844,-107.40483093261719,4863
410,758,21.48,8093,-13.026876640000001,10,0.03534575551748276,1.1588810682296753,0.00073,-16.446889877319336,-92.53523254394531,5092
420,790,21.84,8335,-13.149362520000002,10,0.030982475727796555,0.9239296913146973,0.00073,-13.495047569274902,-96.58494567871094,5334
430,815,21.81,8518,-13.25699927,10,0.0280148908495903,0.9832561016082764,0.00073,-13.181926727294922,-88.78925323486328,5517
440,844,21.33,8737,-12.96871093,10,0.02469312772154808,0.701615571975708,0.00073,-10.89837646484375,-91.89822387695312,5736
450,873,21.29,8955,-12.94808198,10,0.0219110157340765,0.7071583271026611,0.00073,-10.732879638671875,-81.15400695800781,5954
460,900,21.52,9163,-13.04319549,10,0.01971473917365074,0.7861638069152832,0.00073,-9.907997131347656,-71.10160827636719,6162
470,923,21.35,9334,-12.85999657,10,0.01820785365998745,0.6435011625289917,0.00073,-9.437084197998047,-71.47958374023438,6333
480,954,21.42,9568,-13.017546389999998,10,0.01621278189122677,0.7944459915161133,0.00073,-7.049373626708984,-73.33462524414062,6567
490,988,21.61,9824,-13.215272880000002,9,0.014420620165765285,0.5181369185447693,0.00073,-6.769338607788086,-58.679656982421875,6823
500,1017,21.79,10043,-13.169717409999999,9,0.013198375701904297,0.5066949129104614,0.00073,-6.709667682647705,-58.291011810302734,7042
510,1044,21.55,10248,-13.07424065,9,0.012088345363736153,0.4278102517127991,0.00073,-4.727248191833496,-60.28173065185547,7247
520,1076,21.51,10486,-13.29949902,9,0.01092610228806734,0.36316102743148804,0.00073,-5.173033714294434,-53.390777587890625,7485
530,1101,21.61,10679,-13.09576948,9,0.010074769146740437,0.4997391104698181,0.00073,-4.52656888961792,-50.02953338623047,7678
540,1125,21.24,10861,-13.418514169999998,9,0.009254967793822289,0.42615431547164917,0.00073,-4.590117931365967,-32.40275573730469,7860
