time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
30,32,-353.5155681,10,100.0,1000,,,,,,
62,32,-354.862797,20,100.0,2000,,,,,,
93,32,-353.55586916666664,30,100.0,3000,,,,,,
221,18,-355.77044617499996,40,100.0,4000,0.4931941330432892,-40.326690673828125,999,-247.79783630371094,11.681540489196777,0.00073
350,14,-356.60146042,50,100.0,5000,0.27252647280693054,-44.43702697753906,1999,-354.95318603515625,24.529468536376953,0.00073
479,12,-355.7678532666667,60,100.0,6000,0.18887214362621307,-18.70311164855957,2999,-501.9340515136719,45.052757263183594,0.00073
609,11,-355.4644437714286,70,100.0,7000,0.17149439454078674,2.0238053798675537,3999,-654.3050537109375,74.52518463134766,0.00073
740,10,-356.0255340875,80,100.0,8000,0.2023974359035492,9.684596061706543,4999,-847.1322021484375,147.21661376953125,0.00073
869,10,-355.92512418888884,90,100.0,9000,0.2430303394794464,4.464034557342529,5999,-1050.4044189453125,173.29800415039062,0.00073
998,10,-356.78523466999997,100,100.0,10000,0.2675802707672119,2.23032808303833,6999,-1193.363037109375,209.56365966796875,0.00073
1128,9,-358.34579312,110,100.0,11000,0.27365919947624207,-0.7921187877655029,7999,-1317.2860107421875,266.83502197265625,0.00073
1258,9,-358.43748403000006,120,100.0,12000,0.28168800473213196,-0.30015572905540466,8999,-1405.7247314453125,291.0871887207031,0.00073
1389,9,-360.2859739100001,130,100.0,13000,0.30448809266090393,-1.4691543579101562,9999,-1466.125732421875,257.8571472167969,0.00073
1521,9,-360.66720874,140,100.0,14000,0.2813940942287445,-3.7609057426452637,10999,-1490.13818359375,262.25726318359375,0.00073
1653,9,-361.6860201500001,150,100.0,15000,0.2701362669467926,1.6585345268249512,11999,-1460.758544921875,270.9930725097656,0.00073
1785,8,-363.03402909000005,160,100.0,16000,0.25504207611083984,-2.9029455184936523,12999,-1391.9202880859375,272.484375,0.00073
1918,8,-362.25528548999995,170,100.0,17000,0.24061544239521027,1.1416287422180176,13999,-1305.3509521484375,200.70989990234375,0.00073
2049,8,-363.10134659000005,180,100.0,18000,0.22299472987651825,1.3268675804138184,14999,-1234.112060546875,214.26699829101562,0.00073
2181,8,-361.71483443,190,100.0,19000,0.20446692407131195,-1.5744106769561768,15999,-1162.312744140625,185.81826782226562,0.00073
2315,8,-362.0573355499999,200,100.0,20000,0.1839727908372879,-1.8024359941482544,16999,-1059.3731689453125,137.09060668945312,0.00073
2448,8,-359.4085306,210,100.0,21000,0.16718801856040955,2.3655595779418945,17999,-964.1123046875,108.15637969970703,0.00073
2580,8,-359.24122923000004,220,100.0,22000,0.14850085973739624,2.5787301063537598,18999,-842.3558349609375,107.89434051513672,0.00073
2713,8,-359.69286230000006,230,100.0,23000,0.12893985211849213,-8.943151473999023,19999,-727.8704223632812,74.993408203125,0.00073
2846,8,-356.97540277,240,100.0,24000,0.10891000181436539,0.6274480819702148,20999,-615.3484497070312,44.801185607910156,0.00073
2978,8,-356.9371338700001,250,100.0,25000,0.0947604551911354,-1.2912750244140625,21999,-522.0115966796875,41.612586975097656,0.00073
3109,8,-355.35260700000003,260,100.0,26000,0.07966724783182144,-0.5179396867752075,22999,-431.6204833984375,31.207813262939453,0.00073
3242,8,-354.46894559999987,270,100.0,27000,0.06404581665992737,6.1959228515625,23999,-349.98065185546875,20.558917999267578,0.00073
3374,8,-353.05716051999997,280,100.0,28000,0.05209161713719368,-2.904799461364746,24999,-265.2870178222656,12.554473876953125,0.00073
3506,8,-350.28102508999996,290,100.0,29000,0.03933548927307129,-5.507669448852539,25999,-188.79827880859375,10.34153938293457,0.00073
3638,8,-347.95756852,300,100.0,30000,0.028410444036126137,-8.30931282043457,26999,-125.43810272216797,6.427153587341309,0.00073
3771,8,-346.61009038,310,100.0,31000,0.019989201799035072,-8.311464309692383,27999,-69.15872192382812,2.4845662117004395,0.00073
3905,8,-341.3579955900001,320,100.0,32000,0.013571416027843952,-3.101949453353882,28999,-19.635513305664062,2.382167339324951,0.00073
4037,8,-332.1568836099999,330,100.0,33000,0.009820526465773582,8.967277526855469,29999,15.38905143737793,1.8709568977355957,0.00073
4170,8,-327.42089491,340,100.0,34000,0.006735650356858969,-3.267324924468994,30999,37.250328063964844,1.5064263343811035,0.00073
4302,8,-318.90973501,350,100.0,35000,0.005530741065740585,9.831855773925781,31999,55.270790100097656,1.1677314043045044,0.00073
4434,8,-311.53056677,360,100.0,36000,0.004816116765141487,2.658267021179199,32999,64.8660659790039,1.1014388799667358,0.00073
4567,8,-304.88020645999995,370,100.0,37000,0.00428001070395112,15.999889373779297,33999,71.32437896728516,0.8871382474899292,0.00073
4699,8,-297.97851349000007,380,100.0,38000,0.004263562615960836,-2.521728038787842,34999,75.76446533203125,0.8687736988067627,0.00073
4830,8,-292.9807357,390,100.0,39000,0.00413071783259511,-1.2260475158691406,35999,77.13545989990234,0.787194013595581,0.00073
4962,8,-288.34426163999996,400,100.0,40000,0.004033864010125399,7.327169418334961,36999,80.33251190185547,0.8304725885391235,0.00073
5094,8,-282.36997517000003,410,100.0,41000,0.004262800328433514,5.808582305908203,37999,81.26911926269531,0.6846195459365845,0.00073
5227,8,-280.0684015,420,100.0,42000,0.0037808732595294714,-10.94354248046875,38999,82.85337829589844,0.6141104698181152,0.00073
5360,8,-280.0965991499999,430,100.0,43000,0.003612840548157692,-1.328890085220337,39999,85.2067642211914,0.7900038957595825,0.00073
