rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss
-269.20941076,42.01,1182,9,360,11343,0.00073,65.8801040649414,8342,5.729989051818848,0.025045650079846382,-4.937216758728027
-273.51455568999995,43.11,1236,9,370,11750,0.00073,70.37841796875,8749,5.723001956939697,0.023896988481283188,1.0735996961593628
-270.99501179000004,44.04,1302,9,380,12247,0.00073,70.42323303222656,9246,6.858143329620361,0.024970898404717445,-5.305190086364746
-265.53116474,44.76,1372,9,390,12777,0.00073,68.74468231201172,9776,5.06691312789917,0.025219077244400978,5.242431640625
-261.46945671,47.56,1460,9,400,13437,0.00073,68.59507751464844,10436,3.843979597091675,0.025366099551320076,-6.478182792663574
-248.80556046,44.41,1498,9,410,13727,0.00073,65.69279479980469,10726,5.111433029174805,0.024360693991184235,-9.614684104919434
-247.59129989000004,43.01,1538,9,420,14027,0.00073,64.91537475585938,11026,4.530558109283447,0.023220088332891464,-0.05577927827835083
-254.73895554999996,45.42,1612,9,430,14580,0.00073,68.23207092285156,11579,5.984656810760498,0.023555297404527664,-1.5366995334625244
-263.35338425,48.61,1693,8,440,15187,0.00073,69.61079406738281,12186,5.131490707397461,0.02355908416211605,-0.7824819684028625
-262.14194906999995,49.88,1772,8,450,15785,0.00073,69.22154998779297,12784,5.209354400634766,0.023490747436881065,-1.1579560041427612
-262.24229346000004,48.81,1831,8,460,16224,0.00073,73.08654022216797,13223,5.877566814422607,0.02370298281311989,6.030501842498779
-263.0987514,49.87,1899,8,470,16737,0.00073,71.09954833984375,13736,9.110684394836426,0.024481333792209625,3.3813135623931885
-261.32726180000003,51.24,1988,8,480,17371,0.00073,66.61194610595703,14370,8.058517456054688,0.024041982367634773,4.523228168487549
-260.57733946999997,50.85,2059,8,490,17862,0.00073,70.80355072021484,14861,6.25442361831665,0.023884093388915062,4.948613166809082
