time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
10278,7,760.6845463999999,100.0,76000,760,-393.1003723144531,0.00073,72999,0.9607083797454834,0.0032031077425926924,0.14799213409423828
10423,7,760.2157976100002,100.0,77000,770,-393.045166015625,0.00073,73999,-0.6498763561248779,0.0032923815306276083,0.07635977119207382
10567,7,759.9842879699999,100.0,78000,780,-392.6895446777344,0.00073,74999,-3.884124994277954,0.003214683150872588,0.09194421768188477
10713,7,759.96325469,100.0,79000,790,-391.7852783203125,0.00073,75999,4.400923728942871,0.0031155727338045835,0.08998046815395355
10859,7,761.0338785299999,100.0,80000,800,-392.31500244140625,0.00073,76999,-0.9214692115783691,0.0027807580772787333,0.15854263305664062
11003,7,760.20876566,100.0,81000,810,-392.64874267578125,0.00073,77999,-0.8221457004547119,0.0030731086153537035,0.07447144389152527
11149,7,760.3335448800001,100.0,82000,820,-391.92724609375,0.00073,78999,3.892517328262329,0.0029700042214244604,0.11313863098621368
11295,7,760.7852102700001,100.0,83000,830,-392.90789794921875,0.00073,79999,1.2374060153961182,0.0030190241523087025,0.12323342263698578
11439,7,762.04912534,100.0,84000,840,-393.1461181640625,0.00073,80999,-2.2187416553497314,0.003042644588276744,0.09649625420570374
11583,7,763.44015593,100.0,85000,850,-392.74310302734375,0.00073,81999,6.686633586883545,0.002993709174916148,0.16967259347438812
11728,7,764.1028128700002,100.0,86000,860,-392.38153076171875,0.00073,82999,-2.766444206237793,0.003167159855365753,0.16017188131809235
11871,7,764.88512927,100.0,87000,870,-392.3657531738281,0.00073,83999,3.1577963829040527,0.00272469618357718,0.156223863363266
12014,7,764.2341591299999,100.0,88000,880,-393.4488830566406,0.00073,84999,-2.695516347885132,0.0027298720087856054,0.17958900332450867
12156,7,763.10546496,100.0,89000,890,-391.9329528808594,0.00073,85999,2.261371612548828,0.002882462926208973,0.16280753910541534
12297,7,761.38251038,100.0,90000,900,-393.27288818359375,0.00073,86999,-2.325214147567749,0.0024996064603328705,0.1048731878399849
12439,7,761.95965802,100.0,91000,910,-392.8787841796875,0.00073,87999,0.5591906905174255,0.0027098681312054396,0.20695292949676514
12581,7,761.9325084999999,100.0,92000,920,-392.89056396484375,0.00073,88999,-1.303358554840088,0.0027673544827848673,0.13471534848213196
12722,7,763.0273170999999,100.0,93000,930,-393.1340026855469,0.00073,89999,1.0907680988311768,0.002815548563376069,0.1259947419166565
12865,7,763.36467933,100.0,94000,940,-393.3738098144531,0.00073,90999,-1.3016161918640137,0.0023803270887583494,0.07054165750741959
13011,7,761.78277077,100.0,95000,950,-393.2887878417969,0.00073,91999,-2.953895092010498,0.0023216339759528637,0.06599327176809311
13157,7,761.12919797,100.0,96000,960,-392.88726806640625,0.00073,92999,1.7782487869262695,0.0024227455724030733,0.09676031768321991
13304,7,759.6549689600001,100.0,97000,970,-393.529052734375,0.00073,93999,-3.002056121826172,0.002668051514774561,0.05170794203877449
13450,7,761.0727790799999,100.0,98000,980,-393.7430419921875,0.00073,94999,-4.560327529907227,0.0025791628286242485,0.08006466925144196
13594,7,761.26728876,100.0,99000,990,-391.960205078125,0.00073,95999,1.7551367282867432,0.002495421562343836,0.10577598214149475
13737,7,761.50792684,100.0,100000,1000,-392.63201904296875,0.00073,96999,2.910125494003296,0.0023544393479824066,0.11066748946905136
13880,7,761.5638070800001,100.0,101000,1010,-393.3375244140625,0.00073,97999,2.5266053676605225,0.00257312273606658,0.0632409006357193
14023,7,760.42532428,100.0,102000,1020,-393.1875305175781,0.00073,98999,-1.5724878311157227,0.0023930564057081938,0.10221610218286514
14168,7,758.6699779,100.0,103000,1030,-393.5809326171875,0.00073,99999,-3.976311206817627,0.002448140876367688,0.061993636190891266
14312,7,757.7181636300002,100.0,104000,1040,-392.15966796875,0.00073,100999,3.3388633728027344,0.0023741743061691523,0.24459438025951385
14460,7,757.3954673599999,100.0,105000,1050,-393.27386474609375,0.00073,101999,-1.5296331644058228,0.0023283911868929863,0.03056773915886879
14611,7,758.03764285,100.0,106000,1060,-393.6170959472656,0.00073,102999,-0.8758249282836914,0.0022224592976272106,0.060560442507267
14761,7,758.92689383,100.0,107000,1070,-393.3682556152344,0.00073,103999,1.0272634029388428,0.002198600908741355,0.21332234144210815
14907,7,758.2803542799999,100.0,108000,1080,-392.60791015625,0.00073,104999,-1.716579556465149,0.0021877666004002094,0.06895951926708221
15054,7,758.83051134,100.0,109000,1090,-393.0102844238281,0.00073,105999,1.3786276578903198,0.0021814703941345215,0.07889054715633392
15199,7,760.1239456399999,100.0,110000,1100,-392.71282958984375,0.00073,106999,1.3574016094207764,0.002167699160054326,0.049686580896377563
15343,7,760.9499780499998,100.0,111000,1110,-393.37969970703125,0.00073,107999,1.6047515869140625,0.0021911084186285734,0.0544544979929924
15485,7,762.77723309,100.0,112000,1120,-393.71649169921875,0.00073,108999,-2.386993646621704,0.0020475757773965597,0.13379281759262085
15628,7,763.58001376,100.0,113000,1130,-393.4931640625,0.00073,109999,3.163576126098633,0.0019952799193561077,0.051110249012708664
15771,7,763.17073706,100.0,114000,1140,-393.57635498046875,0.00073,110999,-1.4228341579437256,0.002273511840030551,0.1162610575556755
15914,7,765.1050878899998,100.0,115000,1150,-392.9105224609375,0.00073,111999,-2.1257219314575195,0.002205806551501155,0.07102467119693756
16057,7,765.7135991,100.0,116000,1160,-393.6721496582031,0.00073,112999,-0.7586449384689331,0.0020092669874429703,0.05256456881761551
16203,7,765.3955339400001,100.0,117000,1170,-393.2149658203125,0.00073,113999,4.416489601135254,0.0020980366971343756,0.2560803294181824
16345,7,766.0264771399998,100.0,118000,1180,-393.50653076171875,0.00073,114999,2.168121814727783,0.0020449336152523756,0.08466586470603943
16487,7,765.92676483,100.0,119000,1190,-393.34063720703125,0.00073,115999,0.1250005066394806,0.0018442204454913735,0.07344743609428406
16630,7,764.53965742,100.0,120000,1200,-392.8363952636719,0.00073,116999,6.063472747802734,0.0019277919782325625,0.05900171399116516
16772,7,763.1244725600002,100.0,121000,1210,-393.4548645019531,0.00073,117999,0.9314953088760376,0.002090187044814229,0.10789415240287781
16916,7,763.12593794,100.0,122000,1220,-393.17596435546875,0.00073,118999,0.18657028675079346,0.0021029997151345015,0.12207181751728058
17063,7,761.77143069,100.0,123000,1230,-392.2271728515625,0.00073,119999,1.8019195795059204,0.002077999524772167,0.07061029225587845
17211,7,762.8008206400002,100.0,124000,1240,-393.0209045410156,0.00073,120999,5.960196495056152,0.0023228509817272425,0.07623817026615143
17359,7,762.1393514499999,100.0,125000,1250,-392.9245300292969,0.00073,121999,3.470799207687378,0.002157169161364436,0.046607837080955505
17505,7,762.59938208,100.0,126000,1260,-393.5025634765625,0.00073,122999,2.707700729370117,0.002143379533663392,0.07482128590345383
17652,7,762.39141413,100.0,127000,1270,-394.1204528808594,0.00073,123999,-1.2657653093338013,0.001998445950448513,0.1868438422679901
17800,7,761.17080939,100.0,128000,1280,-393.77783203125,0.00073,124999,-1.1112772226333618,0.0021794086787849665,0.039449773728847504
17946,7,761.43833417,100.0,129000,1290,-393.02423095703125,0.00073,125999,-6.059169292449951,0.0018444182351231575,0.07636650651693344
18092,7,762.4624172599998,100.0,130000,1300,-393.54547119140625,0.00073,126999,-1.06732177734375,0.0015715666813775897,0.07982270419597626
18239,7,762.9980941499999,100.0,131000,1310,-393.36181640625,0.00073,127999,-1.0866966247558594,0.0018994153942912817,0.044708773493766785
18386,7,762.3267682699999,100.0,132000,1320,-393.1512756347656,0.00073,128999,-2.69942045211792,0.0018865240272134542,0.059552326798439026
18534,7,762.4757999899999,100.0,133000,1330,-394.07806396484375,0.00073,129999,-1.4346684217453003,0.0016381863970309496,0.0781235620379448
18681,7,761.4416498199997,100.0,134000,1340,-392.6171569824219,0.00073,130999,0.4961533844470978,0.0016900139162316918,0.17915886640548706
18829,7,760.7510317400001,100.0,135000,1350,-393.29107666015625,0.00073,131999,-6.033019065856934,0.00169800512958318,0.03788774088025093
18977,7,758.9659963500001,100.0,136000,1360,-393.5697326660156,0.00073,132999,0.11278337240219116,0.001669358811341226,0.06808854639530182
19125,7,759.34200145,100.0,137000,1370,-393.36419677734375,0.00073,133999,5.030193328857422,0.0016719917766749859,0.12309643626213074
19271,7,760.8589862999999,100.0,138000,1380,-393.53607177734375,0.00073,134999,-4.6405930519104,0.001645913696847856,0.07226690649986267
19418,7,760.2388604999999,100.0,139000,1390,-393.8058166503906,0.00073,135999,-1.0145187377929688,0.0017554913647472858,0.16722869873046875
19564,7,759.2832677999999,100.0,140000,1400,-393.8573303222656,0.00073,136999,-0.39357852935791016,0.0016033105785027146,0.1337692141532898
19709,7,759.2391267400001,100.0,141000,1410,-394.0077209472656,0.00073,137999,-3.0696372985839844,0.0018976835999637842,0.06335640698671341
19854,7,759.61411098,100.0,142000,1420,-392.9737854003906,0.00073,138999,-0.5458310842514038,0.0016920750495046377,0.09654782712459564
19999,7,761.3483023000001,100.0,143000,1430,-394.18963623046875,0.00073,139999,-4.832322120666504,0.0018006720347329974,0.06814073771238327
20145,7,761.4822817600002,100.0,144000,1440,-393.33013916015625,0.00073,140999,-3.507093906402588,0.001861264812760055,0.0829547718167305
20295,7,760.8971582199999,100.0,145000,1450,-392.87261962890625,0.00073,141999,5.090272426605225,0.0017071840120479465,0.07851335406303406
20446,7,761.91635966,100.0,146000,1460,-393.7253112792969,0.00073,142999,2.025798797607422,0.0015697594499215484,0.11817283183336258
