rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
28.12,7,36141,-15.69995469,1490,4566,0.6132157444953918,-2.1888527870178223,0.00073,33140,4.641524791717529,0.007694760337471962
28.23,7,36441,-15.529029199999998,1500,4607,0.6397382020950317,-1.919739007949829,0.00073,33440,8.499250411987305,0.007443305570632219
28.98,7,36720,-15.690306120000002,1510,4645,0.542261004447937,-1.0299100875854492,0.00073,33719,6.231785774230957,0.007267453707754612
30.11,7,37045,-16.07839227,1520,4689,0.46108531951904297,-1.7718093395233154,0.00073,34044,5.941986560821533,0.0071284109726548195
30.99,7,37391,-16.403396170000004,1530,4737,0.5303231477737427,-0.9888523817062378,0.00073,34390,2.0862412452697754,0.006595790386199951
31.33,7,37698,-16.45485398,1540,4780,0.42099371552467346,-0.16153287887573242,0.00073,34697,-14.76478385925293,0.006434657145291567
28.54,7,37993,-14.89980577,1550,4820,0.43038517236709595,-0.4894440174102783,0.00073,34992,7.52728271484375,0.006162724923342466
29.01,7,38322,-15.111532590000001,1560,4864,0.38338688015937805,0.24602636694908142,0.00073,35321,-1.7279672622680664,0.005915459711104631
29.9,7,38622,-14.967567849999998,1570,4904,0.3914843797683716,0.5355240702629089,0.00073,35621,-3.46034836769104,0.00570458872243762
30.15,7,38838,-14.729965559999998,1580,4933,0.37357696890830994,0.381166011095047,0.00073,35837,-7.8815131187438965,0.005490561481565237
29.02,7,39043,-14.203701839999999,1590,4960,0.2998250722885132,0.6077704429626465,0.00073,36042,1.578098177909851,0.005459233652800322
28.53,7,39294,-13.85717583,1600,4994,0.3461970090866089,0.3565484583377838,0.00073,36293,1.9299201965332031,0.005258356686681509
27.72,7,39492,-13.740975250000002,1610,5020,0.38434699177742004,0.6260609030723572,0.00073,36491,1.8787882328033447,0.005226865876466036
26.57,7,39702,-13.09402228,1620,5047,0.3505626320838928,0.7698359489440918,0.00073,36701,17.83780860900879,0.0050927018746733665
25.92,7,39983,-12.724436050000001,1630,5085,0.30197399854660034,1.37580406665802,0.00073,36982,-10.666543006896973,0.005200759042054415
25.71,7,40269,-12.643568089999999,1640,5123,0.28452134132385254,1.423634648323059,0.00073,37268,-21.561986923217773,0.005109136924147606
25.17,7,40510,-12.402097870000002,1650,5156,0.2668858766555786,1.4582188129425049,0.00073,37509,-3.723318576812744,0.004842938855290413
24.16,7,40738,-12.144227660000002,1660,5188,0.30298319458961487,1.2282085418701172,0.00073,37737,-3.908170223236084,0.004498364869505167
24.05,7,41027,-11.958139249999999,1670,5227,0.2621421813964844,1.5030858516693115,0.00073,38026,-22.715377807617188,0.004534355364739895
24.77,7,41315,-12.17194071,1680,5266,0.4127809405326843,1.7606736421585083,0.00073,38314,-2.826277256011963,0.0044068824499845505
25.1,7,41553,-12.349161000000002,1690,5299,0.27851831912994385,1.4747984409332275,0.00073,38552,7.574664115905762,0.004503822885453701
25.11,7,41805,-12.616853010000002,1700,5333,0.25268545746803284,1.7918462753295898,0.00073,38804,-4.297972202301025,0.004496192559599876
