rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates
43.84,6724,1290,7,52597,-278.82906899000005,0.00073,0.014082254841923714,-1.6209981441497803,4.943516731262207,111.4189453125,49596
43.39,6782,1300,7,53021,-282.67765692,0.00073,0.014130678959190845,1.0503180027008057,5.146113395690918,108.62854766845703,50020
43.6,6846,1310,7,53495,-283.82043525999995,0.00073,0.0135910389944911,5.073270320892334,3.5407915115356445,116.20709228515625,50494
43.9,6908,1320,7,53948,-278.33758768,0.00073,0.013672322034835815,-9.701698303222656,3.3312466144561768,111.40345001220703,50947
43.97,6970,1330,7,54404,-276.89018541,0.00073,0.013400832191109657,-3.995305061340332,3.466525077819824,114.49613189697266,51403
44.33,7035,1340,7,54883,-268.46708378000005,0.00073,0.013357577845454216,-3.443251609802246,4.502447128295898,111.26587677001953,51882
44.7,7098,1350,7,55351,-270.38779603,0.00073,0.013378804549574852,0.20480847358703613,3.747506618499756,110.6822738647461,52350
44.46,7154,1360,7,55758,-274.13850334,0.00073,0.013095996342599392,5.272918701171875,4.383370399475098,110.34358978271484,52757
44.27,7219,1370,7,56212,-270.4422155,0.00073,0.013506528921425343,5.816315174102783,4.422521591186523,110.78959655761719,53211
44.63,7286,1380,7,56651,-265.23518222999996,0.00073,0.013881790451705456,-4.28238582611084,3.54496431350708,111.39830780029297,53650
45.15,7349,1390,7,57112,-261.56766824000005,0.00073,0.013725193217396736,1.0885837078094482,3.6121509075164795,112.23555755615234,54111
45.8,7415,1400,7,57601,-252.48219782999996,0.00073,0.013850436545908451,1.8831729888916016,3.910947799682617,114.0245132446289,54600
45.55,7476,1410,7,58050,-253.43633587000005,0.00073,0.013828989118337631,-3.888674259185791,3.0997133255004883,111.77849578857422,55049
45.93,7544,1420,7,58541,-251.84874537,0.00073,0.014217650517821312,3.258852481842041,4.0304789543151855,110.06333923339844,55540
46.18,7609,1430,7,59022,-250.75248779,0.00073,0.013659308664500713,8.335697174072266,3.647130250930786,108.74061584472656,56021
46.19,7673,1440,7,59502,-254.99865449,0.00073,0.013517745770514011,-3.743206024169922,3.396702289581299,111.8756332397461,56501
45.86,7733,1450,7,59937,-249.69740867000004,0.00073,0.014003901742398739,-3.400402545928955,3.4942312240600586,107.69619750976562,56936
46.4,7795,1460,7,60398,-244.23194283,0.00073,0.014200502075254917,-11.181413650512695,4.6852126121521,105.62661743164062,57397
46.54,7858,1470,7,60866,-247.11987231000003,0.00073,0.013671956956386566,-9.293148040771484,3.1337666511535645,110.43928527832031,57865
46.79,7921,1480,7,61330,-249.91176917999996,0.00073,0.01381061039865017,-1.7184749841690063,3.5163676738739014,106.89225006103516,58329
46.98,7987,1490,7,61810,-245.73938735,0.00073,0.013535354286432266,-3.9937119483947754,3.9566268920898438,110.04005432128906,58809
46.62,8049,1500,7,62263,-246.55677718999996,0.00073,0.013743484392762184,-16.990352630615234,3.0187411308288574,108.9067153930664,59262
46.4,8108,1510,7,62690,-243.66083680999998,0.00073,0.01390558760613203,-2.010711193084717,4.887870788574219,111.15156555175781,59689
46.15,8174,1520,7,63156,-249.7862291,0.00073,0.013552804477512836,-5.590391159057617,3.925180435180664,109.74129486083984,60155
45.85,8236,1530,7,63607,-252.37209735,0.00073,0.013764136470854282,-3.813835620880127,3.5188307762145996,110.97980499267578,60606
45.95,8306,1540,7,64097,-250.19928407,0.00073,0.013483240269124508,-9.114114761352539,4.028762340545654,110.7641830444336,61096
46.48,8374,1550,7,64585,-246.96894358999995,0.00073,0.012893895618617535,9.83653450012207,4.269150733947754,112.38976287841797,61584
46.56,8438,1560,7,65054,-245.43251347999998,0.00073,0.012961686588823795,1.443936824798584,3.7902307510375977,110.61024475097656,62053
