rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate
-17.5694451,10,211,3,52,21.1,,,,,,
-17.2002186,20,420,9,45,21.0,,,,,,
-17.871276599999998,30,640,14,42,21.333333333333332,,,,,,
-17.823915825,40,858,20,42,21.45,,,,,,
-17.83100702,50,1077,25,41,21.54,,,,,,
-17.887079083333333,60,1294,31,40,21.566666666666666,,,,,,
-17.973075428571427,70,1515,37,40,21.642857142857142,,,,,,
-17.8894066625,80,1731,43,39,21.6375,,,,,,
-17.837133266666665,90,1943,49,39,21.58888888888889,,,,,,
-17.711531700000002,100,2150,54,39,21.5,,,,,,
-17.559826929999996,110,2353,60,39,21.42,,,,,,
-17.73480561,120,2577,65,39,21.57,,,,,,
-17.633502179999997,130,2797,71,39,21.57,,,,,,
-17.65424586,140,3008,77,38,21.5,0.9956281781196594,-0.28672680258750916,561.913818359375,-27.556865692138672,7,0.00073
-17.555569430000002,150,3205,102,31,21.28,0.863989531993866,-9.072542190551758,117.01840209960938,-93.37532043457031,204,0.00073
-17.439841060000003,160,3399,127,26,21.05,0.7527369856834412,-16.921058654785156,50.208892822265625,-141.326416015625,398,0.00073
-19.5155271,170,3836,183,20,23.21,0.5637306571006775,-28.068832397460938,18.41949462890625,-198.86866760253906,835,0.00073
-21.731195290000002,180,4336,247,17,26.05,0.41493523120880127,-33.90010070800781,16.748916625976562,-241.18460083007812,1335,0.00073
-24.286707930000002,190,4823,310,15,28.8,0.3131391108036041,-40.983341217041016,21.355335235595703,-257.78607177734375,1822,0.00073
-25.721306209999995,200,5154,353,14,30.04,0.2594497501850128,-38.674983978271484,75.33006286621094,-257.5484313964844,2153,0.00073
-27.06223884,210,5473,394,13,31.2,0.21791845560073853,-45.99201583862305,19.32181167602539,-261.05389404296875,2472,0.00073
-26.974687619999994,220,5688,422,13,31.11,0.19324852526187897,-46.397705078125,28.686187744140625,-253.68679809570312,2687,0.00073
-29.524423289999994,230,6163,484,12,33.66,0.15264274179935455,-43.82514572143555,14.771018981933594,-243.0800018310547,3162,0.00073
-31.44808354,240,6636,546,12,36.28,0.12130991369485855,-35.10429763793945,9.829673767089844,-228.00807189941406,3635,0.00073
-30.84760324,250,6807,568,11,36.02,0.11247393488883972,-28.121803283691406,115.52433013916016,-221.06085205078125,3806,0.00073
-30.882198750000008,260,7024,596,11,36.25,0.10303296893835068,-49.15629196166992,14.854022979736328,-210.42860412597656,4023,0.00073
-30.968543410000006,270,7524,661,11,36.88,0.08306968212127686,-23.227642059326172,8.278207778930664,-201.57086181640625,4523,0.00073
-30.11881742,280,7930,715,11,35.94,0.07251926511526108,9.106648445129395,15.961002349853516,-200.59620666503906,4929,0.00073
