rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/actor_loss,train/n_updates
-166.94189446999997,4819,60.34,37871,7,790,-5.035043239593506,0.00073,0.07275889813899994,36.005470275878906,-82.27528381347656,34870
-166.43275937,4903,62.28,38494,7,800,-2.572618007659912,0.00073,0.07172612100839615,52.420921325683594,-78.66254425048828,35493
-161.12388063,4997,62.74,39184,7,810,-4.3597235679626465,0.00073,0.06885655969381332,40.44743347167969,-76.70487976074219,36183
-161.62334542,5083,62.67,39805,7,820,-2.7014479637145996,0.00073,0.06938299536705017,34.11730194091797,-85.20161437988281,36804
-148.73059706,5175,63.22,40486,7,830,2.9091291427612305,0.00073,0.068899966776371,42.326141357421875,-79.13392639160156,37485
-151.20127742000005,5258,63.44,41090,7,840,-3.18649959564209,0.00073,0.06842328608036041,37.66831970214844,-70.73133087158203,38089
-154.76478323999999,5320,62.32,41545,7,850,1.3756474256515503,0.00073,0.067127525806427,41.07013702392578,-64.5738525390625,38544
-152.57311527,5392,60.72,42064,7,860,5.883011341094971,0.00073,0.06526024639606476,50.9705810546875,-75.70894622802734,39063
-143.98203778,5478,59.84,42695,7,870,-2.05500864982605,0.00073,0.06699968874454498,41.34458923339844,-58.53323745727539,39694
-146.88682479000002,5566,60.13,43344,7,880,-1.2188785076141357,0.00073,0.06689102947711945,47.539119720458984,-71.23235321044922,40343
-154.01959151999998,5646,60.59,43930,7,890,3.950530767440796,0.00073,0.0651562511920929,47.870635986328125,-59.2471923828125,40929
-159.58227727000002,5715,59.41,44435,7,900,-2.309279203414917,0.00073,0.0673973560333252,47.56626892089844,-51.059852600097656,41434
-172.56028896,5801,58.89,45073,7,910,8.206853866577148,0.00073,0.06579319387674332,46.574066162109375,-71.10719299316406,42072
-164.95681488000002,5895,59.61,45766,7,920,3.8895606994628906,0.00073,0.06619445979595184,50.73249053955078,-66.98357391357422,42765
-172.92151624,5991,59.85,46471,7,930,0.12107741832733154,0.00073,0.06611946225166321,44.515708923339844,-71.6218490600586,43470
-173.50038826,6064,59.24,47014,7,940,4.847417831420898,0.00073,0.06415862590074539,43.53645706176758,-55.90320587158203,44013
-175.74786181000002,6149,60.97,47642,7,950,-5.060394287109375,0.00073,0.0660233423113823,47.77489471435547,-65.6998291015625,44641
-167.34286244999996,6235,62.14,48278,7,960,-0.5386658906936646,0.00073,0.06550941616296768,42.42535400390625,-65.87089538574219,45277
-176.17341374,6320,61.99,48894,7,970,-6.237945556640625,0.00073,0.06555815041065216,55.621185302734375,-71.5267105102539,45893
-180.21412311999995,6418,62.63,49607,7,980,2.1739375591278076,0.00073,0.06682685017585754,47.791603088378906,-55.8542594909668,46606
-178.10288475000002,6504,63.08,50238,7,990,-0.7600473165512085,0.00073,0.06716929376125336,50.257747650146484,-70.89614868164062,47237
-157.85090681,6596,64.73,50908,7,1000,6.892982482910156,0.00073,0.06648656725883484,43.71985626220703,-81.30059051513672,47907
-147.90498302,6672,64.02,51475,7,1010,-3.3047587871551514,0.00073,0.06914356350898743,46.90240478515625,-69.24459838867188,48474
-143.23150219000001,6760,63.48,52114,7,1020,-0.9707036018371582,0.00073,0.0690264031291008,59.700164794921875,-74.69683074951172,49113
-146.15130932,6848,62.96,52767,7,1030,1.1895020008087158,0.00073,0.06959937512874603,57.77458953857422,-92.8112564086914,49766
-130.46023940999999,6936,64.05,53419,7,1040,-6.592052459716797,0.00073,0.07130242139101028,60.82807922363281,-97.36157989501953,50418
-133.32894651000004,7029,64.64,54106,7,1050,4.499069690704346,0.00073,0.06819134205579758,66.10298156738281,-106.21968078613281,51105
-143.14851294000002,7120,64.95,54773,7,1060,3.737853527069092,0.00073,0.06981015205383301,51.99945068359375,-103.06498718261719,51772
-137.31500400000002,7212,65.48,55442,7,1070,-4.206884384155273,0.00073,0.06825318187475204,63.14942932128906,-83.65333557128906,52441
-140.18481083,7296,64.6,56067,7,1080,5.443043231964111,0.00073,0.06926456838846207,59.060569763183594,-96.3787841796875,53066
-124.46201932,7394,65.37,56775,7,1090,-4.048360824584961,0.00073,0.06997303664684296,59.22798538208008,-89.79194641113281,53774
-137.85125412999997,7480,64.92,57400,7,1100,4.690497875213623,0.00073,0.07186140865087509,71.7950439453125,-100.49137878417969,54399
-133.40101848,7566,65.54,58029,7,1110,-3.525561571121216,0.00073,0.07399608939886093,55.666507720947266,-88.74077606201172,55028
-141.43958716,7645,64.96,58610,7,1120,3.3247766494750977,0.00073,0.07513578981161118,56.828773498535156,-118.39349365234375,55609
-129.47210590999998,7735,64.96,59263,7,1130,5.896977424621582,0.00073,0.07318063080310822,53.62057876586914,-108.01488494873047,56262
-132.68687657,7823,64.77,59896,7,1140,7.786848068237305,0.00073,0.07550046592950821,73.31267547607422,-106.81983947753906,56895
-115.61828303,7918,64.65,60571,7,1150,1.0561823844909668,0.00073,0.07370629906654358,63.71364212036133,-99.15958404541016,57570
-101.03216355999999,8015,65.08,61281,7,1160,5.14884090423584,0.00073,0.07741302996873856,61.99607467651367,-122.70011901855469,58280
-108.78106904999999,8105,64.87,61929,7,1170,-4.84394645690918,0.00073,0.07812712341547012,57.93965148925781,-94.37316131591797,58928
-102.80375839,8190,64.81,62548,7,1180,0.8678127527236938,0.00073,0.07524575293064117,63.98613739013672,-94.33447265625,59547
-114.71074121999999,8268,63.46,63121,7,1190,-4.138278007507324,0.00073,0.07612813264131546,63.47254180908203,-105.51795196533203,60120
-99.33981132000001,8355,63.5,63750,7,1200,-0.45534563064575195,0.00073,0.07993058115243912,70.90088653564453,-95.08429718017578,60749
-107.63231416,8441,63.51,64380,7,1210,-3.413736343383789,0.00073,0.07906600832939148,68.06490325927734,-111.42423248291016,61379
-102.07250307999999,8538,64.71,65081,7,1220,0.3037486970424652,0.00073,0.07821257412433624,69.3590087890625,-124.36408233642578,62080
-95.35865580000001,8634,65.23,65786,7,1230,-1.4208409786224365,0.00073,0.08063836395740509,72.77943420410156,-120.7332992553711,62785
-101.00726739,8719,65.13,66409,7,1240,5.018734455108643,0.00073,0.08326639980077744,74.78932189941406,-145.80397033691406,63408
-99.15390404000001,8804,64.53,67024,7,1250,-1.1487069129943848,0.00073,0.08851756155490875,86.57380676269531,-125.8245849609375,64023
-102.82805354000001,8892,63.79,67660,7,1260,4.720922946929932,0.00073,0.08603838831186295,98.1180191040039,-153.6519012451172,64659
-105.86092591000002,8996,64.81,68410,7,1270,-2.409193992614746,0.00073,0.08665435761213303,78.83058166503906,-134.0648193359375,65409
-111.83807929000002,9091,65.57,69105,7,1280,0.4721813201904297,0.00073,0.08580178767442703,81.97924041748047,-142.01547241210938,66104
-121.6773087,9152,64.22,69543,7,1290,-1.062444806098938,0.00073,0.08606190234422684,85.43060302734375,-131.7127227783203,66542
-124.54979333,9240,64.35,70185,7,1300,0.7421520948410034,0.00073,0.08783970028162003,85.97247314453125,-157.84768676757812,67184
-119.94607597,9333,64.63,70843,7,1310,6.712766647338867,0.00073,0.08201964199542999,72.57652282714844,-138.0758819580078,67842
-126.33229052000003,9423,64.17,71498,7,1320,-2.7225143909454346,0.00073,0.08526304364204407,95.54954528808594,-157.18544006347656,68497
-144.94022326,9516,63.75,72161,7,1330,2.6271023750305176,0.00073,0.08829422295093536,78.38756561279297,-145.78302001953125,69160
-149.95868830999996,9605,63.94,72803,7,1340,0.5742336511611938,0.00073,0.08511408418416977,101.09247589111328,-156.5435028076172,69802
-153.80665283,9700,64.64,73488,7,1350,4.413897514343262,0.00073,0.08368199318647385,81.01646423339844,-141.53878784179688,70487
-156.99701277000003,9793,64.99,74159,7,1360,1.8543154001235962,0.00073,0.07845474779605865,91.66554260253906,-145.45587158203125,71158
-151.80944407,9870,62.97,74707,7,1370,-6.309597015380859,0.00073,0.07662278413772583,70.5205078125,-133.10565185546875,71706
-137.53996694999998,9964,62.82,75387,7,1380,-1.1730238199234009,0.00073,0.08094356954097748,83.04893493652344,-134.12144470214844,72386
-119.60014479,10041,63.99,75942,7,1390,1.8440136909484863,0.00073,0.07687854766845703,72.57036590576172,-129.93893432617188,72941
-125.38435806000001,10127,63.83,76568,7,1400,-4.0758280754089355,0.00073,0.07733925431966782,82.57262420654297,-127.00556945800781,73567
-108.66346597,10215,63.59,77202,7,1410,1.9371449947357178,0.00073,0.07680191844701767,89.3529281616211,-134.7058868408203,74201
-88.00891266999999,10305,63.28,77826,7,1420,4.019449710845947,0.00073,0.07499415427446365,76.24540710449219,-133.56478881835938,74825
-76.95228702000001,10407,63.79,78540,7,1430,7.605090618133545,0.00073,0.0728020891547203,78.20356750488281,-153.82101440429688,75539
-73.50157258,10499,64.05,79208,7,1440,0.6943467855453491,0.00073,0.07346934080123901,61.7903938293457,-134.80555725097656,76207
-70.48043010999999,10580,63.0,79788,7,1450,-2.40712308883667,0.00073,0.07779289036989212,92.1220932006836,-119.49679565429688,76787
-62.90146748,10673,62.93,80452,7,1460,-2.7585039138793945,0.00073,0.07716446369886398,75.64693450927734,-148.13067626953125,77451
-65.11576808000001,10758,63.57,81064,7,1470,-2.1029789447784424,0.00073,0.07856082171201706,80.26631164550781,-139.34307861328125,78063
-64.39952887,10844,62.87,81674,7,1480,4.312702178955078,0.00073,0.07541227340698242,79.10964965820312,-154.14144897460938,78673
-65.39711256000001,10942,64.31,82373,7,1490,2.075172185897827,0.00073,0.07502955943346024,78.5318374633789,-150.02239990234375,79372
-69.23409310999999,11026,64.13,82981,7,1500,7.03604793548584,0.00073,0.07521174103021622,74.58294677734375,-142.35079956054688,79980
-74.86668498,11126,64.86,83688,7,1510,3.259066581726074,0.00073,0.07053002715110779,77.36396789550781,-153.36380004882812,80687
-86.04620716000001,11208,64.55,84281,7,1520,2.1970787048339844,0.00073,0.0755147710442543,75.58602142333984,-132.9248504638672,81280
-83.03056163,11301,64.08,84948,7,1530,-4.219490051269531,0.00073,0.07988538593053818,71.23750305175781,-155.50021362304688,81947
-67.97727076999999,11395,64.15,85623,7,1540,2.8116226196289062,0.00073,0.07202179729938507,77.89892578125,-131.1016387939453,82622
-77.43908569999999,11480,64.48,86236,7,1550,-0.47690892219543457,0.00073,0.072659932076931,72.31707763671875,-137.45884704589844,83235
-79.98132578,11566,63.95,86847,7,1560,0.6780503988265991,0.00073,0.07157843559980392,81.44392395019531,-152.12777709960938,83846
-56.82986416,11672,65.06,87570,7,1570,-3.7990760803222656,0.00073,0.07241953909397125,75.8094711303711,-122.10227966308594,84569
-61.21685953,11769,65.87,88261,7,1580,-7.1236572265625,0.00073,0.07143168151378632,83.86121368408203,-133.7577362060547,85260
-58.694006599999994,11866,65.85,88958,7,1590,-2.7157511711120605,0.00073,0.07547429203987122,80.42082214355469,-143.85568237304688,85957
-66.30534429,11953,66.0,89581,7,1600,2.6527652740478516,0.00073,0.07260363548994064,74.02876281738281,-142.76467895507812,86580
-45.28420331,12051,66.03,90291,7,1610,0.595513105392456,0.00073,0.07533212751150131,100.55696105957031,-153.46221923828125,87290
-30.21700416,12147,67.13,90994,7,1620,0.555557906627655,0.00073,0.07417215406894684,67.64688873291016,-134.02645874023438,87993
-35.74285114,12241,67.24,91672,7,1630,5.0019636154174805,0.00073,0.07245881110429764,67.32151794433594,-147.4288330078125,88671
-28.15291984000001,12345,67.99,92422,7,1640,3.2418100833892822,0.00073,0.071283720433712,59.025535583496094,-136.15701293945312,89421
-9.50945093,12433,68.2,93056,7,1650,-1.1743621826171875,0.00073,0.07331730425357819,66.25640869140625,-142.09193420410156,90055
-7.816798589999996,12528,69.0,93747,7,1660,-3.905607223510742,0.00073,0.0708085224032402,70.50230407714844,-139.04788208007812,90746
-19.697683940000005,12628,69.0,94470,7,1670,-1.419365406036377,0.00073,0.06832737475633621,75.33587646484375,-145.0582275390625,91469
-27.60906714,12724,69.03,95164,7,1680,-0.7167465090751648,0.00073,0.0701548159122467,63.99888229370117,-112.4671401977539,92163
-29.474281070000004,12808,68.04,95762,7,1690,-7.112249374389648,0.00073,0.06837356090545654,76.05084228515625,-130.4380340576172,92761
-20.627186570000003,12895,68.04,96385,7,1700,2.007668972015381,0.00073,0.07120278477668762,69.17013549804688,-152.58375549316406,93384
-46.182979589999995,12988,67.69,97060,7,1710,-4.650778770446777,0.00073,0.07377530634403229,61.948829650878906,-121.57691955566406,94059
-48.56350370999999,13083,67.53,97747,7,1720,-3.242046356201172,0.00073,0.07003524154424667,66.16685485839844,-141.2052459716797,94746
-45.04286946000001,13165,66.75,98347,7,1730,-3.3340272903442383,0.00073,0.07040026783943176,70.47135925292969,-131.52667236328125,95346
-63.64410140000001,13251,65.42,98964,7,1740,1.863324761390686,0.00073,0.06848280131816864,78.79725646972656,-123.06221008300781,95963
-67.03166689999999,13346,66.05,99661,7,1750,1.605243444442749,0.00073,0.06862293928861618,74.11614990234375,-131.26397705078125,96660
-62.35584482000001,13444,66.14,100361,7,1760,-2.3950486183166504,0.00073,0.0717417299747467,75.12896728515625,-140.88742065429688,97360
-56.04626868,13546,66.24,101094,7,1770,7.372783660888672,0.00073,0.07005418092012405,60.42659378051758,-148.52783203125,98093
-51.77475015000001,13642,66.19,101783,7,1780,-5.968414783477783,0.00073,0.06686465442180634,59.37383270263672,-135.85914611816406,98782
-47.51186667000001,13734,66.84,102446,7,1790,2.635650873184204,0.00073,0.06837398558855057,73.71871948242188,-152.85574340820312,99445
-35.41341729,13822,66.91,103076,7,1800,0.5218700170516968,0.00073,0.06900881230831146,73.26158905029297,-145.04672241210938,100075
-28.39326878,13915,66.74,103734,7,1810,-3.798394203186035,0.00073,0.06626176089048386,63.19179916381836,-122.8214111328125,100733
-34.37636809,14005,66.35,104382,7,1820,4.764610290527344,0.00073,0.06580157577991486,61.86566925048828,-136.34381103515625,101381
-31.63531585999999,14097,67.02,105049,7,1830,5.0752482414245605,0.00073,0.06547806411981583,65.22769165039062,-157.93515014648438,102048
-8.839085049999994,14201,68.35,105799,7,1840,1.4350740909576416,0.00073,0.06483552604913712,64.15880584716797,-135.39773559570312,102798
-21.154815449999997,14275,66.51,106312,7,1850,-6.907354831695557,0.00073,0.06313116103410721,54.3120002746582,-127.28721618652344,103311
-17.784175989999994,14370,66.17,106978,7,1860,-0.9830922484397888,0.00073,0.06423161178827286,69.55526733398438,-142.6468048095703,103977
-11.820713969999996,14462,65.5,107644,7,1870,-5.1136474609375,0.00073,0.06800615042448044,56.828224182128906,-123.96648406982422,104643
-2.3289813200000036,14555,65.27,108310,7,1880,-6.390852451324463,0.00073,0.06587439030408859,64.52297973632812,-146.328857421875,105309
2.212224929999999,14643,65.0,108946,7,1890,4.165196895599365,0.00073,0.06752628833055496,81.42402648925781,-139.1984100341797,105945
-6.911830199999998,14736,65.35,109611,7,1900,2.459782123565674,0.00073,0.06430904567241669,58.48749542236328,-142.6312255859375,106610
-8.939804340000004,14818,64.77,110211,7,1910,-2.898336887359619,0.00073,0.06584477424621582,54.93373107910156,-140.8248291015625,107210
